sample,Shannon,dataset
SAMP1-S1,7.2403191737473005,ASV
SAMP1-S2,7.618487205450037,ASV
SAMP1-S3,7.514288663812831,ASV
SAMP1-S4,7.436456505731282,ASV
SAMP2-S1,7.436933508712653,ASV
SAMP2-S2,7.573794212998378,ASV
SAMP2-S3,7.174998785269773,ASV
SAMP2-S4,7.308662188599137,ASV
SAMP3-S1,7.418004121707882,ASV
SAMP3-S2,7.15706583429376,ASV
SAMP3-S3,7.536950199457514,ASV
SAMP3-S4,7.206788355850789,ASV
SAMP4-S1,7.407375282357739,ASV
SAMP4-S2,7.331244866694843,ASV
SAMP4-S3,7.568705498439437,ASV
SAMP4-S4,7.364655204176965,ASV
SAMP5-S1,7.257991243524015,ASV
SAMP5-S2,7.562292234070397,ASV
SAMP5-S3,7.42606891442676,ASV
SAMP5-S4,7.393993431122543,ASV
SAMP6-S1,7.038034790860325,ASV
SAMP6-S2,7.278210543776298,ASV
SAMP6-S3,7.331283477405059,ASV
SAMP6-S4,7.2508408905181385,ASV
SAMP7-S1,7.446238781329057,ASV
SAMP7-S2,7.386412583513245,ASV
SAMP7-S3,7.638366324957761,ASV
SAMP7-S4,7.493302100535647,ASV
SAMP8-S1,7.533607468596309,ASV
SAMP8-S2,7.4835493662820065,ASV
SAMP8-S3,7.517190730240454,ASV
SAMP8-S4,7.345731651691929,ASV
