ID,Name,Category_1,Category_2,Definition
ExDef00001_001,carbon dioxide => formate,Reductive glycine pathway,Carbon fixation,"K05299+K15022,K22015+K25123+K25124"
ExDef00001_002,formate+THF => formyl-H4MPT,Reductive glycine pathway,Carbon fixation,K01938
ExDef00001_003,"5,10_methenyl_H4F => 5,10_methylene_H4F",Reductive glycine pathway,Carbon fixation,K01491
ExDef00001_004,"5,10_methylene_H4F+ammonium+carbon-dioxide => glycine",Reductive glycine pathway,Carbon fixation,"K02437+(K00282+K00283,K00281)+K00605+K00382"
ExDef00001_005,"5,10_methylene_H4F+glycine => serine",Reductive glycine pathway,Carbon fixation,K00600
ExDef00001_006,serine => pyruvate+ammonium,Reductive glycine pathway,Carbon fixation,"K01752,K01754"
ExDef00001_007,glycine => acetyl-P+ammonium,Reductive glycine pathway,Carbon fixation,K10670+K10671+K10672+K21576+K21577
ExDef00001_008,acetyl-CoA => acetyl-P,Reductive glycine pathway,Carbon fixation,"K00625,K13788,K04020"
ExDef00001_009,acetyl-P => acetate,Reductive glycine pathway,Carbon fixation,"K01512,K00925"
ExDef00001_010,acetate => acetyl-CoA,Reductive glycine pathway,Carbon fixation,K01895
ExDef00001_011,acetyl-CoA+carbon-dioxide => pyruvate,Reductive glycine pathway,Carbon fixation,"(K00169+K00170+K00171+K00172),(K00169+K00170+K00171+K00189),(K03737)"
ExDef00002_001,PEP => pyruvate-PO3,anabolic_phosphate_reduction,phosphorous_redox,"K01841,K23999"
ExDef00002_002,pyruvate-PO3 => acetaldehyde-PO3,anabolic_phosphate_reduction,phosphorous_redox,K09459
ExDef00003_001,phosphite=>phosphate,phosphite_oxidation,phosphorous_redox,K18916
ExDef00004_001,methyl-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,"(K06166+K06165+K06164+K06162+K05780+K06163+K05781),(K23996+K05915)"
ExDef00004_002,pyruvate-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,K19669
ExDef00004_003,acetate-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,K19670
ExDef00004_004,acetaldehyde-phosphonate => phosphate,assimilatory_phosphonate_oxidation,phosphorous_redox,K05306
ExDef00005_001,glycerone => glycerone-P,glycerone_degradation,glycerol_degradation,"(K05878+K05879+K05881),(K00863)"
ExDef00005_002,glycerone-P => glyceraldehyde-3-P,glycerone_degradation,glycerol_degradation,K01803
ExDef00006_001,glycerol => glycerol-3-P,glycerol_degradation,glycerol_degradation,K00864
ExDef00006_002,glycerol-3-P => glycerone-P,glycerol_degradation,glycerol_degradation,"(K00111+K00112+K00113),(K00057)"
ExDef00006_003,glycerone-P => glyceraldehyde-3-P,glycerol_degradation,glycerol_degradation,K01803
ExDef00009_001,pyruvate => acetyl-CoA,ethanol_fermentation,Fermentation,"(K00163+K00627),(K00161+K00162+K00627),(K00169+K00170+K00171+K00172),(K00169+K00170+K00171+K00189),(K03737),(K00174+K00175),(K00656)"
ExDef00009_002,acetyl-CoA => acetaldehyde,ethanol_fermentation,Fermentation,"K00132,K04072,K04073,K18366"
ExDef00009_003,acetaldehyde => ethanol,ethanol_fermentation,Fermentation,"K13953,K13954,K00001,K00121,K04072,K00002,K12957,K13979,K14028+K14029,K00114"
ExDef00009_004,pyruvate => acetaldehyde,ethanol_fermentation,Fermentation,K01568
ExDef00009_005,ethanol => acetaldehyde,ethanol_fermentation,Fermentation,K22473+K22474
ExDef00010_001,pyruvate => L-lactate,lactate_fermentation,Fermentation,"K00016,K00101"
ExDef00010_002,pyruvate => D-lactate,lactate_fermentation,Fermentation,"K03777,K03778,K00102,K18930,K21836"
ExDef00011_001,succinyl-CoA => R-methylmalonyl-CoA,propionate_fermentation_succinate_pathway,Fermentation,"K01847,(K01848+K01849)"
ExDef00011_002,R-methylmalonyl-CoA => S-methylmalonyl-CoA,propionate_fermentation_succinate_pathway,Fermentation,K05606
ExDef00011_003,S-methylmalonyl-CoA => propionyl-CoA,propionate_fermentation_succinate_pathway,Fermentation,"K11264,K03416"
ExDef00011_004,propionyl-CoA => propionate,propionate_fermentation_succinate_pathway,Fermentation,"K01026,(K01905+K22224),K24012"
ExDef00012_001,pyruvate => lactate,propionate_fermentation_acrylate_pathway,Fermentation,"K00016,K00101,K03777,K03778,K00102,K18930,K21836"
ExDef00012_002,lactate => lactoyl-CoA,propionate_fermentation_acrylate_pathway,Fermentation,K01026
ExDef00012_003,lactoyl-CoA => acryloyl-CoA,propionate_fermentation_acrylate_pathway,Fermentation,K20626+K20627
ExDef00012_004,acryloyl-CoA => propionyl-CoA,propionate_fermentation_acrylate_pathway,Fermentation,"K20143,K19745,K00248,K00232"
ExDef00013_001,succinyl-CoA => succinate semialdehyde,butanoate_fermentation_succinate_pathway,Fermentation,K18119
ExDef00013_002,succinate semialdehyde => 4-hydroxybutanoate,butanoate_fermentation_succinate_pathway,Fermentation,"K18120,K00043,K08318"
ExDef00013_003,4-hydroxybutanoate => 4-hydroxybutanoyl-CoA,butanoate_fermentation_succinate_pathway,Fermentation,K18122
ExDef00013_004,4-hydroxybutanoyl-CoA => crotonoyl-CoA,butanoate_fermentation_succinate_pathway,Fermentation,K14534
ExDef00013_005,crotonoyl-CoA => butanoyl-CoA,butanoate_fermentation_succinate_pathway,Fermentation,"K17829,K00209"
ExDef00013_006,butanoyl-CoA => butanoate,butanoate_fermentation_succinate_pathway,Fermentation,"(K01034+K01035),K19709"
ExDef00013_007,butanoyl-CoA => butanoyl-P,butanoate_fermentation_succinate_pathway,Fermentation,K00634
ExDef00013_008,butanoyl-P => butanoate,butanoate_fermentation_succinate_pathway,Fermentation,K00929
ExDef00014_001,pyruvate => acetyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,"(K00163+K00627),(K00161+K00162+K00627),(K00169+K00170+K00171+K00172),(K00169+K00170+K00171+K00189),(K03737),(K00174+K00175),(K00656)"
ExDef00014_002,acetyl-CoA => acetatoacetyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,K00626
ExDef00014_003,acetatoacetyl-CoA => 3-hydroxybutanoyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,"K07516,K00022,K00074,K00023"
ExDef00014_004,3-hydroxybutanoyl-CoA => crotonoyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,"K01825,K01782,K01715,K01692,K17865"
ExDef00014_005,crotonoyl-CoA => butanoyl-CoA,butanoate_fermentation_acetyl_coa_pathway,Fermentation,"K17829,K00209"
ExDef00014_006,butanoyl-CoA => butanoate,butanoate_fermentation_acetyl_coa_pathway,Fermentation,"(K01034+K01035),K19709"
ExDef00014_007,butanoyl-CoA => butanoyl-P,butanoate_fermentation_acetyl_coa_pathway,Fermentation,K00634
ExDef00014_008,butanoyl-P => butanoate,butanoate_fermentation_acetyl_coa_pathway,Fermentation,K00929
ExDef00015_001,alpha amylase,starch_degradation,polysaccharide_degradation,"K01176,K05343,K07405"
ExDef00015_002,beta amylase,starch_degradation,polysaccharide_degradation,K01177
ExDef00015_003,limit dextrinase,starch_degradation,polysaccharide_degradation,"K01182,K01203"
ExDef00015_004,pullulanase,starch_degradation,polysaccharide_degradation,K01200
ExDef00016_001,alpha-arabinofuranosidase,hemicellulose_degradation,polysaccharide_degradation,K06113
ExDef00016_002,alpha-galactosidase,hemicellulose_degradation,polysaccharide_degradation,"K01189,K07406,K07407"
ExDef00016_003,alpha-glucuronidase,hemicellulose_degradation,polysaccharide_degradation,K01235
ExDef00016_004,"endo-1,4-beta-mannase",hemicellulose_degradation,polysaccharide_degradation,"K01218,K19355"
ExDef00016_005,"endo-1,4-beta-xylanase",hemicellulose_degradation,polysaccharide_degradation,"K01181,K13465"
ExDef00016_006,"endo-1,4-betagalactase",hemicellulose_degradation,polysaccharide_degradation,K01224
ExDef00016_007,"endo-alpha-1,5-arabinanase",hemicellulose_degradation,polysaccharide_degradation,K06113
ExDef00016_008,"exo-1,4-beta-mannosidase",hemicellulose_degradation,polysaccharide_degradation,K01192
ExDef00016_009,"exo-1,4-beta-xylosidase",hemicellulose_degradation,polysaccharide_degradation,"K01198,K15920,K22268"
