ko_id,gene_name,gene_abb,Category_1,Category_2
K14467,4-hydroxybutyrate---CoA ligase (AMP-forming),4hbl,Dicarboxylate-hydroxybutyrate cycle,Carbon fixation
K14534,4-Hydroxybutyryl-CoA dehydratase,abfD,Dicarboxylate-hydroxybutyrate cycle,Carbon fixation
K01962,acetyl-CoA carboxylase carboxyl transferase subunit alpha,accA,3-Hydroxypropionate bi-cycle,Carbon fixation
K02160,acetyl-CoA carboxylase biotin carboxyl carrier protein,accB,3-Hydroxypropionate bi-cycle,Carbon fixation
K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit",accC,3-Hydroxypropionate bi-cycle,Carbon fixation
K01963,acetyl-CoA carboxylase carboxyl transferase subunit beta,accD,3-Hydroxypropionate bi-cycle,Carbon fixation
K18472,acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit,accD6,Hydroxypropionate-hydroxybutylate cycle,Carbon fixation
K01637,isocitrate/methylisocitrate lyase,aceA,,Glyoxylate bypass
K01638,malate synthase,glcB,,Glyoxylate bypass
K19282,bifunctional (S)-malyl-CoA lyase/thioesterase,aceB,,Glyoxylate bypass
K00163,pyruvate dehydrogenase E1 component,aceE,,Piruvate oxidation
K00925,acetate kinase,ackA,Phosphate acetyltransferase-acetate kinase pathway,Carbon fixation
K15230,ATP-citrate lyase,aclA,Reductive TCA (rTCA) Cycle,Carbon fixation
K15231,ATP-citrate lyase,aclB,Reductive TCA (rTCA) Cycle,Carbon fixation
K01681,aconitate hydrolase,aco,,TCA
K00198,anaerobic carbon-monoxide dehydrogenase catalytic subunit,acsA,Wood-Ljungdahl pathway,Carbon fixation
K14138,Acetyl-CoA synthase,acsB,Wood-Ljungdahl pathway,Carbon fixation
K00197,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma",acsC,Wood-Ljungdahl pathway,Carbon fixation
K00194,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta",acsD,Wood-Ljungdahl pathway,Carbon fixation
K14260,alanine-synthesizing transaminase,alaA,AA,Nitrogen metabolism
K28059,"MFS transporter, DHA2 family, low affinity ammonium transporter",AMF-1,Ammonium transporter,Nitrogen metabolism
K109441,ammonia monooxygenase subunit A,amoA,Nitrification,Nitrogen metabolism
K109451,ammonia monooxygenase subunit B,amoB,Nitrification,Nitrogen metabolism
K109461,ammonia monooxygenase subunit C,amoC,Nitrification,Nitrogen metabolism
K03320,ammonium transporter,amt,Ammonium transporter,Nitrogen metabolism
K00531,nitrogenase delta subunit,anfG,N fixation,Nitrogen metabolism
