SampleID,treatment_code,soil_source,sampling,month,site,year,stage,label
S_73,SAMP1_S1,field,samp1,may,S1,2021,Pre_monsoon,may_S1_2021
S_74,SAMP1_S2,field,samp1,may,S2,2021,Pre_monsoon,may_S2_2021
S_75,SAMP1_S3,field,samp1,may,S3,2021,Pre_monsoon,may_S3_2021
S_76,SAMP1_S4,field,samp1,may,S4,2021,Pre_monsoon,may_S4_2021
S_77,SAMP2_S1,field,samp2,june,S1,2021,Pre_monsoon,june_S1_2021
S_78,SAMP2_S2,field,samp2,june,S2,2021,Pre_monsoon,june_S2_2021
S_79,SAMP2_S3,field,samp2,june,S3,2021,Pre_monsoon,june_S3_2021
S_80,SAMP2_S4,field,samp2,june,S4,2021,Pre_monsoon,june_S4_2021
S_81,SAMP3_S1,field,samp3,july_1,S1,2021,During_monsoon,july_1_S1_2021
S_82,SAMP3_S2,field,samp3,july_1,S2,2021,During_monsoon,july_1_S2_2021
S_83,SAMP3_S3,field,samp3,july_1,S3,2021,During_monsoon,july_1_S3_2021
S_84,SAMP3_S4,field,samp3,july_1,S4,2021,During_monsoon,july_1_S4_2021
S_85,SAMP4_S1,field,samp4,july_2,S1,2021,During_monsoon,july_2_S1_2021
S_86,SAMP4_S2,field,samp4,july_2,S2,2021,During_monsoon,july_2_S2_2021
S_87,SAMP4_S3,field,samp4,july_2,S3,2021,During_monsoon,july_2_S3_2021
S_88,SAMP4_S4,field,samp4,july_2,S4,2021,During_monsoon,july_2_S4_2021
S_89,SAMP5_S1,field,samp5,july_3,S1,2021,During_monsoon,july_3_S1_2021
S_90,SAMP5_S2,field,samp5,july_3,S2,2021,During_monsoon,july_3_S2_2021
S_91,SAMP5_S3,field,samp5,july_3,S3,2021,During_monsoon,july_3_S3_2021
S_92,SAMP5_S4,field,samp5,july_3,S4,2021,During_monsoon,july_3_S4_2021
S_93,SAMP6_S1,field,samp6,august,S1,2021,During_monsoon,august_S1_2021
S_94,SAMP6_S2,field,samp6,august,S2,2021,During_monsoon,august_S2_2021
S_95,SAMP6_S3,field,samp6,august,S3,2021,During_monsoon,august_S3_2021
S_96,SAMP6_S4,field,samp6,august,S4,2021,During_monsoon,august_S4_2021
S_97,SAMP7_S1,field,samp7,september,S1,2021,Post_monsoon,september_S1_2021
S_98,SAMP7_S2,field,samp7,september,S2,2021,Post_monsoon,september_S2_2021
S_99,SAMP7_S3,field,samp7,september,S3,2021,Post_monsoon,september_S3_2021
S_100,SAMP7_S4,field,samp7,september,S4,2021,Post_monsoon,september_S4_2021
S_101,SAMP8_S1,field,samp8,october,S1,2021,Post_monsoon,october_S1_2021
S_102,SAMP8_S2,field,samp8,october,S2,2021,Post_monsoon,october_S2_2021
S_103,SAMP8_S3,field,samp8,october,S3,2021,Post_monsoon,october_S3_2021
S_104,SAMP8_S4,field,samp8,october,S4,2021,Post_monsoon,october_S4_2021
S_105,SAMP9_S1,field,samp9,may,S1,2022,Pre_monsoon,may_S1_2022
S_106,SAMP9_S2,field,samp9,may,S2,2022,Pre_monsoon,may_S2_2022
S_107,SAMP9_S3,field,samp9,may,S3,2022,Pre_monsoon,may_S3_2022
S_108,SAMP9_S4,field,samp9,may,S4,2022,Pre_monsoon,may_S4_2022
S_109,SAMP10_S1,field,samp10,november,S1,2022,Post_monsoon,november_S1_2022
S_110,SAMP10_S2,field,samp10,november,S2,2022,Post_monsoon,november_S2_2022
S_111,SAMP10_S3,field,samp10,november,S3,2022,Post_monsoon,november_S3_2022
S_112,SAMP10_S4,field,samp10,november,S4,2022,Post_monsoon,november_S4_2022
S_113,SAMP11_S1,field,samp11,may,S1,2023,Pre_monsoon,may_S1_2023
S_114,SAMP11_S2,field,samp11,may,S2,2023,Pre_monsoon,may_S2_2023
S_115,SAMP11_S3,field,samp11,may,S3,2023,Pre_monsoon,may_S3_2023
S_116,SAMP11_S4,field,samp11,may,S4,2023,Pre_monsoon,may_S4_2023
S_117,SAMP12_S1,field,samp12,november,S1,2023,Post_monsoon,november_S1_2023
S_118,SAMP12_S2,field,samp12,november,S2,2023,Post_monsoon,november_S2_2023
S_119,SAMP12_S3,field,samp12,november,S3,2023,Post_monsoon,november_S3_2023
S_120,SAMP12_S4,field,samp12,november,S4,2023,Post_monsoon,november_S4_2023
S_121,SAMP13_S1,field,samp13,may,S1,2024,Pre_monsoon,may_S1_2024
S_122,SAMP13_S2,field,samp13,may,S2,2024,Pre_monsoon,may_S2_2024
S_123,SAMP13_S3,field,samp13,may,S3,2024,Pre_monsoon,may_S3_2024
S_124,SAMP13_S4,field,samp13,may,S4,2024,Pre_monsoon,may_S4_2024
S_125,SAMP14_S1,field,samp14,november,S1,2024,Post_monsoon,november_S1_2024
S_126,SAMP14_S2,field,samp14,november,S2,2024,Post_monsoon,november_S2_2024
S_127,SAMP14_S3,field,samp14,november,S3,2024,Post_monsoon,november_S3_2024
S_128,SAMP14_S4,field,samp14,november,S4,2024,Post_monsoon,november_S4_2024
