Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR31679542,WGS,285,10384845895,PRJNA1193034,SAMN45127963,Metagenome or environmental,3342685287,THE UNIVERSITY OF ARIZONA,8/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042063,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-6-S1_S83,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:59:00Z,1,SAMP6-S1,SAMP6-S1,SRP550823
SRR31679543,WGS,282,9478985573,PRJNA1193034,SAMN45127962,Metagenome or environmental,3036585565,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042062,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-5-S4_S82,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:02:00Z,1,SAMP5-S4,SAMP5-S4,SRP550823
SRR31679544,WGS,284,9566553706,PRJNA1193034,SAMN45127961,Metagenome or environmental,3042540347,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042061,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-5-S3_S81,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:58:00Z,1,SAMP5-S3,SAMP5-S3,SRP550823
SRR31679545,WGS,284,10783194366,PRJNA1193034,SAMN45127960,Metagenome or environmental,3427338026,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042060,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-5-S2_S80,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:00:00Z,1,SAMP5-S2,SAMP5-S2,SRP550823
SRR31679546,WGS,287,10797759588,PRJNA1193034,SAMN45127959,Metagenome or environmental,3431551467,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042059,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-5-S1_S79,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:02:00Z,1,SAMP5-S1,SAMP5-S1,SRP550823
SRR31679547,WGS,293,10669985373,PRJNA1193034,SAMN45127951,Metagenome or environmental,3585479267,THE UNIVERSITY OF ARIZONA,7/5/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042058,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-3-S1_S966,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:03:00Z,1,SAMP3-S1,SAMP3-S1,SRP550823
SRR31679548,WGS,287,15955260526,PRJNA1193034,SAMN45127958,Metagenome or environmental,5062463358,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042057,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-4-S4_S78,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:06:00Z,1,SAMP4-S4,SAMP4-S4,SRP550823
SRR31679549,WGS,284,10274829982,PRJNA1193034,SAMN45127957,Metagenome or environmental,3295146089,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042056,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-4-S3_S77,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:04:00Z,1,SAMP4-S3,SAMP4-S3,SRP550823
SRR31679550,WGS,283,6631661865,PRJNA1193034,SAMN45127956,Metagenome or environmental,2107505838,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042055,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-4-S2_S76,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:57:00Z,1,SAMP4-S2,SAMP4-S2,SRP550823
SRR31679551,WGS,283,16241506495,PRJNA1193034,SAMN45127955,Metagenome or environmental,5165204964,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042054,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,DNA-4-S1_S75,PAIRED,RANDOM,METAGENOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:59:00Z,1,SAMP4-S1,SAMP4-S1,SRP550823
