ko_id,name,pathway,reaction,brite,db_links
K09936,bacterial/archaeal transporter family-2 protein,Quorum sensing,NA,KEGG Orthology (KO) [BR:ko00001]; 09140 Cellular Processes;  09145 Cellular community - prokaryotes;   02024 Quorum sensing;    K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein;Transporters [BR:ko02000]; Other transporters;  Electrochemical potential-driven transporters;   K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein,COG: COG3238;TC: 2.A.7.21
K06996,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K06996  K06996; uncharacterized protein,COG: COG3324
K15866,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase;2,3-didehydroadipoyl-CoA:acetyl-CoA C-didehydroadipoyltransferase (double bond migration)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K15866  paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase;Enzymes [BR:ko01000]; 5. Isomerases;  5.3  Intramolecular oxidoreductases;   5.3.3  Transposing C=C bonds;    5.3.3.18  2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase;     K15866  paaG; 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase",COG: COG1024
K02612,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02612  paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD",COG: COG2151
K02611,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02611  paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor;    1.14.13.149  phenylacetyl-CoA 1,2-epoxidase;     K02611  paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC",COG: COG3396
K02610,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02610  paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB",COG: COG3460
K02609,"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]",Phenylalanine metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"phenylacetyl-CoA:oxygen oxidoreductase (1,2-epoxidizing)","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09105 Amino acid metabolism;   00360 Phenylalanine metabolism;    K02609  paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen;   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor;    1.14.13.149  phenylacetyl-CoA 1,2-epoxidase;     K02609  paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA",COG: COG3396
K18890,"ATP-binding cassette, subfamily B, multidrug efflux pump",ABC transporters,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09131 Membrane transport;   02010 ABC transporters;    K18890  mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02000 Transporters;    K18890  mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump;Transporters [BR:ko02000]; ABC transporters, eukaryotic type;  ABCB (MDR/TAP) subfamily;   ABCB-BAC subgroup;    K18890  mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump",COG: COG1132;TC: 3.A.1.106.5 3.A.1.106.13
K09163,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K09163  K09163; uncharacterized protein,COG: COG3294
K07090,uncharacterized protein,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09194 Poorly characterized;   99997 Function unknown;    K07090  K07090; uncharacterized protein,COG: COG0730
K13770,"TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein",NA,NA,"KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03000 Transcription factors;    K13770  ysiA, fadR; TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein;Transcription factors [BR:ko03000]; Prokaryotic type;  Helix-turn-helix;   TetR/AcrR family;    K13770  ysiA, fadR; TetR/AcrR family transcriptional regulator, fatty acid metabolism regulator protein",COG: COG1309
K03924,MoxR-like ATPase [EC:3.6.3.-],NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09190 Not Included in Pathway or Brite;  09191 Unclassified: metabolism;   99980 Enzymes with EC numbers;    K03924  moxR; MoxR-like ATPase,COG: COG0714
