SampleID_metaT,SampleID_RP,SampleID_HILIC,treatment_code,site,sampling,month,stage
RNA-1-S1,RP_S73,HILIC_S73,SAMP1_S1,site1,samp1,May,Pre_monsoon
RNA-1-S2,RP_S74,HILIC_S74,SAMP1_S2,site2,samp1,May,Pre_monsoon
RNA-1-S3,RP_S75,HILIC_S75,SAMP1_S3,site3,samp1,May,Pre_monsoon
RNA-1-S4,RP_S76,HILIC_S76,SAMP1_S4,site4,samp1,May,Pre_monsoon
NA,RP_S77,HILIC_S77,SAMP2_S1,site1,samp2,June,Pre_monsoon
NA,RP_S78,HILIC_S78,SAMP2_S2,site2,samp2,June,Pre_monsoon
NA,RP_S79,HILIC_S79,SAMP2_S3,site3,samp2,June,Pre_monsoon
NA,RP_S80,HILIC_S80,SAMP2_S4,site4,samp2,June,Pre_monsoon
RNA-3-S1,RP_S81,HILIC_S81,SAMP3_S1,site1,samp3,July_1,During_monsoon
RNA-3-S2,RP_S82,HILIC_S82,SAMP3_S2,site2,samp3,July_1,During_monsoon
RNA-3-S3,RP_S83,HILIC_S83,SAMP3_S3,site3,samp3,July_1,During_monsoon
RNA-3-S4,RP_S84,HILIC_S84,SAMP3_S4,site4,samp3,July_1,During_monsoon
RNA-4-S1,RP_S85,HILIC_S85,SAMP4_S1,site1,samp4,July_2,During_monsoon
RNA-4-S2,RP_S86,HILIC_S86,SAMP4_S2,site2,samp4,July_2,During_monsoon
RNA-4-S3,RP_S87,HILIC_S87,SAMP4_S3,site3,samp4,July_2,During_monsoon
RNA-4-S4,RP_S88,HILIC_S88,SAMP4_S4,site4,samp4,July_2,During_monsoon
RNA-5-S1,RP_S89,HILIC_S89,SAMP5_S1,site1,samp5,July_3,During_monsoon
RNA-5-S2,RP_S90,HILIC_S90,SAMP5_S2,site2,samp5,July_3,During_monsoon
RNA-5-S3,RP_S91,HILIC_S91,SAMP5_S3,site3,samp5,July_3,During_monsoon
RNA-5-S4,RP_S92,HILIC_S92,SAMP5_S4,site4,samp5,July_3,During_monsoon
RNA-6-S1,RP_S93,HILIC_S93,SAMP6_S1,site1,samp6,August,During_monsoon
RNA-6-S2,RP_S94,HILIC_S94,SAMP6_S2,site2,samp6,August,During_monsoon
RNA-6-S3,RP_S95,HILIC_S95,SAMP6_S3,site3,samp6,August,During_monsoon
RNA-6-S4,RP_S96,HILIC_S96,SAMP6_S4,site4,samp6,August,During_monsoon
NA,RP_S97,HILIC_S97,SAMP7_S1,site1,samp7,September,Post_monsoon
NA,RP_S98,HILIC_S98,SAMP7_S2,site2,samp7,September,Post_monsoon
NA,RP_S99,HILIC_S99,SAMP7_S3,site3,samp7,September,Post_monsoon
NA,RP_S100,HILIC_S100,SAMP7_S4,site4,samp7,September,Post_monsoon
RNA-8-S1,RP_S101,HILIC_S101,SAMP8_S1,site1,samp8,October,Post_monsoon
RNA-8-S2,RP_S102,HILIC_S102,SAMP8_S2,site2,samp8,October,Post_monsoon
RNA-8-S3,RP_S103,HILIC_S103,SAMP8_S3,site3,samp8,October,Post_monsoon
RNA-8-S4,RP_S104,HILIC_S104,SAMP8_S4,site4,samp8,October,Post_monsoon
RNA-1-S1-22,NA,NA,SAMP1_S1_22,site1,samp9,May_22,Pre_monsoon
RNA-1-S2-22,NA,NA,SAMP1_S2_22,site2,samp9,May_22,Pre_monsoon
RNA-1-S3-22,NA,NA,SAMP1_S3_22,site3,samp9,May_22,Pre_monsoon
RNA-1-S4-22,NA,NA,SAMP1_S4_22,site4,samp9,May_22,Pre_monsoon
