Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR31679565,RNA-Seq,288,14426473556,PRJNA1193034,SAMN45127962,Metagenome or environmental,4737495489,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042040,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-5-S4_S54,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:58:00Z,1,SAMP5-S4,SAMP5-S4,SRP550823
SRR31679567,RNA-Seq,287,10170335533,PRJNA1193034,SAMN45127961,Metagenome or environmental,3319660735,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042039,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-5-S3_S53,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:59:00Z,1,SAMP5-S3,SAMP5-S3,SRP550823
SRR31679568,RNA-Seq,287,10323258290,PRJNA1193034,SAMN45127960,Metagenome or environmental,3354524264,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042038,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-5-S2_S52,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:56:00Z,1,SAMP5-S2,SAMP5-S2,SRP550823
SRR31679569,RNA-Seq,287,14267699436,PRJNA1193034,SAMN45127959,Metagenome or environmental,4595060979,THE UNIVERSITY OF ARIZONA,7/27/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042037,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-5-S1_S51,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:57:00Z,1,SAMP5-S1,SAMP5-S1,SRP550823
SRR31679570,RNA-Seq,284,21586018207,PRJNA1193034,SAMN45127958,Metagenome or environmental,7005914610,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042036,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-4-S4_S50,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:02:00Z,1,SAMP4-S4,SAMP4-S4,SRP550823
SRR31679571,RNA-Seq,286,23874344355,PRJNA1193034,SAMN45127957,Metagenome or environmental,7709212267,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042035,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-4-S3_S49,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:17:00Z,1,SAMP4-S3,SAMP4-S3,SRP550823
SRR31679572,RNA-Seq,286,10551720483,PRJNA1193034,SAMN45127956,Metagenome or environmental,3434948800,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042034,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-4-S2_S48,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:56:00Z,1,SAMP4-S2,SAMP4-S2,SRP550823
SRR31679573,RNA-Seq,287,8350441834,PRJNA1193034,SAMN45127955,Metagenome or environmental,2759986734,THE UNIVERSITY OF ARIZONA,7/15/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042033,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-4-S1_S47,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T12:56:00Z,1,SAMP4-S1,SAMP4-S1,SRP550823
SRR31679574,RNA-Seq,292,26514833674,PRJNA1193034,SAMN45127954,Metagenome or environmental,8587184292,THE UNIVERSITY OF ARIZONA,7/5/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042032,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-3-S4_S46,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:03:00Z,1,SAMP3-S4,SAMP3-S4,SRP550823
SRR31679575,RNA-Seq,290,11443903308,PRJNA1193034,SAMN45127953,Metagenome or environmental,3699307147,THE UNIVERSITY OF ARIZONA,7/5/2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27042031,USA,North America,"USA: Saguaro National Park\, Arizona",Illumina NovaSeq 6000,soil,32.2515 N 111.1611 W,RNA-3-S3_S45,PAIRED,Inverse rRNA,METATRANSCRIPTOMIC,soil metagenome,ILLUMINA,2025-07-10T00:00:00Z,2024-12-11T13:00:00Z,1,SAMP3-S3,SAMP3-S3,SRP550823
