MAG,KO,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component,Domain,Phylum,Class,Order,Family,Genus,Species,name,pathway,reaction,brite,db_links
DNA-1_bin_24_1,K00088,1.369048635889347,-0.6845243179446736,TRUE,FALSE,FALSE,dry,#388ECC,-0.2536909567989855,comp1,Bacteria,Actinomycetota,"Unassigned Class 
of Actinomycetota",NA,NA,NA,NA,IMP dehydrogenase [EC:1.1.1.205],Purine metabolism;Drug metabolism - other enzymes;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism,IMP:NAD+ oxidoreductase;6-thioinosine 5'-monophosphate:NAD+ oxidoreductase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09104 Nucleotide metabolism;   00230 Purine metabolism;    K00088  IMPDH, guaB; IMP dehydrogenase;  09111 Xenobiotics biodegradation and metabolism;   00983 Drug metabolism - other enzymes;    K00088  IMPDH, guaB; IMP dehydrogenase; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   04147 Exosome;    K00088  IMPDH, guaB; IMP dehydrogenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.1  Acting on the CH-OH group of donors;   1.1.1  With NAD+ or NADP+ as acceptor;    1.1.1.205  IMP dehydrogenase;     K00088  IMPDH, guaB; IMP dehydrogenase;Exosome [BR:ko04147]; Exosomal proteins;  Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell);   K00088  IMPDH, guaB; IMP dehydrogenase;  Exosomal proteins of breast cancer cells;   K00088  IMPDH, guaB; IMP dehydrogenase",COG: COG0516 COG0517;GO: 0003938
DNA-4_bin_17,K00088,1.351257694293309,-0.6756288471466545,TRUE,FALSE,FALSE,dry,#388ECC,-0.22792079307988425,comp1,Bacteria,Actinomycetota,"Unassigned Class 
of Actinomycetota",NA,NA,NA,NA,IMP dehydrogenase [EC:1.1.1.205],Purine metabolism;Drug metabolism - other enzymes;Metabolic pathways;Biosynthesis of secondary metabolites;Nucleotide metabolism,IMP:NAD+ oxidoreductase;6-thioinosine 5'-monophosphate:NAD+ oxidoreductase,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09104 Nucleotide metabolism;   00230 Purine metabolism;    K00088  IMPDH, guaB; IMP dehydrogenase;  09111 Xenobiotics biodegradation and metabolism;   00983 Drug metabolism - other enzymes;    K00088  IMPDH, guaB; IMP dehydrogenase; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   04147 Exosome;    K00088  IMPDH, guaB; IMP dehydrogenase;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.1  Acting on the CH-OH group of donors;   1.1.1  With NAD+ or NADP+ as acceptor;    1.1.1.205  IMP dehydrogenase;     K00088  IMPDH, guaB; IMP dehydrogenase;Exosome [BR:ko04147]; Exosomal proteins;  Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell);   K00088  IMPDH, guaB; IMP dehydrogenase;  Exosomal proteins of breast cancer cells;   K00088  IMPDH, guaB; IMP dehydrogenase",COG: COG0516 COG0517;GO: 0003938
bcn_bin_97,K02669,-1.36212437682986,0.6810621884149298,FALSE,TRUE,FALSE,wet,#F68B33,0.22408673682117883,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,twitching motility protein PilT,NA,NA,KEGG Orthology (KO) [BR:ko00001]; 09180 Brite Hierarchies;  09183 Protein families: signaling and cellular processes;   02044 Secretion system;    K02669  pilT; twitching motility protein PilT;   02035 Bacterial motility proteins;    K02669  pilT; twitching motility protein PilT;Secretion system [BR:ko02044]; Type II secretion system;  Pilin secretion/fimbrial assembly protein;   K02669  pilT; twitching motility protein PilT;  Type IVa pilus homolog protein;   K02669  pilT; twitching motility protein PilT;Bacterial motility proteins [BR:ko02035]; Pilus system;  Twitching motility proteins;   K02669  pilT; twitching motility protein PilT,COG: COG2805;TC: 3.A.15.2
bcn_bin_51,K11927,-1.347732256740886,0.6738661283704428,FALSE,TRUE,FALSE,wet,#F68B33,0.2190903500223491,comp1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA,ATP-dependent RNA helicase RhlE [EC:3.6.4.13],RNA degradation,NA,"KEGG Orthology (KO) [BR:ko00001]; 09120 Genetic Information Processing;  09123 Folding, sorting and degradation;   03018 RNA degradation;    K11927  rhlE; ATP-dependent RNA helicase RhlE; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03019 Messenger RNA biogenesis;    K11927  rhlE; ATP-dependent RNA helicase RhlE;Enzymes [BR:ko01000]; 3. Hydrolases;  3.6  Acting on acid anhydrides;   3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement;    3.6.4.13  RNA helicase;     K11927  rhlE; ATP-dependent RNA helicase RhlE;Messenger RNA biogenesis [BR:ko03019]; Prokaryotic type;  Bacterial mRNA degradation factors;   RNA degradosome components;    Helicases;     K11927  rhlE; ATP-dependent RNA helicase RhlE",COG: COG0513
bcn_bin_19,K04564,1.3615267678085057,-0.6807633839042526,TRUE,FALSE,FALSE,dry,#388ECC,-0.2175878974819523,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",MAPK signaling pathway - fly;FoxO signaling pathway;Peroxisome;Longevity regulating pathway;Longevity regulating pathway - worm;Longevity regulating pathway - multiple species;Huntington disease;Chemical carcinogenesis - reactive oxygen species;Lipid and atherosclerosis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   04013 MAPK signaling pathway - fly;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04068 FoxO signaling pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09140 Cellular Processes;  09141 Transport and catabolism;   04146 Peroxisome;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09150 Organismal Systems;  09149 Aging;   04211 Longevity regulating pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04212 Longevity regulating pathway - worm;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04213 Longevity regulating pathway - multiple species;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09160 Human Diseases;  09161 Cancer: overview;   05208 Chemical carcinogenesis - reactive oxygen species;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09164 Neurodegenerative disease;   05016 Huntington disease;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09166 Cardiovascular disease;   05417 Lipid and atherosclerosis;    K04564  SOD2; superoxide dismutase, Fe-Mn family;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.15  Acting on superoxide as acceptor;   1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date);    1.15.1.1  superoxide dismutase;     K04564  SOD2; superoxide dismutase, Fe-Mn family",COG: COG0605;GO: 0008384
DNA-1_bin_54,K00645,1.3054254708989943,-0.65271273544949715,TRUE,FALSE,FALSE,dry,#388ECC,-0.21632515391634688,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39],Fatty acid biosynthesis;Prodigiosin biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Fatty acid metabolism,malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase;NA  R11671,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09103 Lipid metabolism;   00061 Fatty acid biosynthesis;    K00645  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase;  09110 Biosynthesis of other secondary metabolites;   00333 Prodigiosin biosynthesis;    K00645  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01004 Lipid biosynthesis proteins;    K00645  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase;Enzymes [BR:ko01000]; 2. Transferases;  2.3  Acyltransferases;   2.3.1  Transferring groups other than aminoacyl groups;    2.3.1.39  [acyl-carrier-protein] S-malonyltransferase;     K00645  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase;Lipid biosynthesis proteins [BR:ko01004]; Fatty acid synthase;  Component type;   K00645  fabD, MCAT, MCT1; [acyl-carrier-protein] S-malonyltransferase",COG: COG0331;GO: 0004314
bcn_bin_19,K00527,1.3463431508620838,-0.6731715754310419,TRUE,FALSE,FALSE,dry,#388ECC,-0.21549530226180488,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,NA,NA,NA,NA,NA
DNA-8_bin_23_1,K06881,1.3190605175804586,-0.6595302587902293,TRUE,FALSE,FALSE,dry,#388ECC,-0.20470221529560131,comp1,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3],Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments,"adenosine-3',5'-bisphosphate 3'-phosphohydrolase;3'-phospho-5'-adenylyl sulfate 3'-phosphohydrolase","KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09102 Energy metabolism;   00920 Sulfur metabolism;    K06881  nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA; 09180 Brite Hierarchies;  09182 Protein families: genetic information processing;   03400 DNA repair and recombination proteins;    K06881  nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA;Enzymes [BR:ko01000]; 3. Hydrolases;  3.1  Acting on ester bonds;   3.1.3  Phosphoric-monoester hydrolases;    3.1.3.7  3'(2'),5'-bisphosphate nucleotidase;     K06881  nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA;   3.1.13  Exoribonucleases producing 5'-phosphomonoesters;    3.1.13.3  oligonucleotidase;     K06881  nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA;DNA repair and recombination proteins [BR:ko03400]; Prokaryotic type;  Other factors with a suspected DNA repair function;   Others;    K06881  nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA",COG: COG0618;GO: 0008441 0008946
bcn_bin_280,K00527,1.3451572011895023,-0.6725786005947512,TRUE,FALSE,FALSE,dry,#388ECC,-0.20260401585263885,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,NA,NA,NA,NA,NA
DNA-1_bin_54,K04564,1.3351148189818762,-0.6675574094909379,TRUE,FALSE,FALSE,dry,#388ECC,-0.19442602071467763,comp1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",MAPK signaling pathway - fly;FoxO signaling pathway;Peroxisome;Longevity regulating pathway;Longevity regulating pathway - worm;Longevity regulating pathway - multiple species;Huntington disease;Chemical carcinogenesis - reactive oxygen species;Lipid and atherosclerosis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09130 Environmental Information Processing;  09132 Signal transduction;   04013 MAPK signaling pathway - fly;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04068 FoxO signaling pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09140 Cellular Processes;  09141 Transport and catabolism;   04146 Peroxisome;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09150 Organismal Systems;  09149 Aging;   04211 Longevity regulating pathway;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04212 Longevity regulating pathway - worm;    K04564  SOD2; superoxide dismutase, Fe-Mn family;   04213 Longevity regulating pathway - multiple species;    K04564  SOD2; superoxide dismutase, Fe-Mn family; 09160 Human Diseases;  09161 Cancer: overview;   05208 Chemical carcinogenesis - reactive oxygen species;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09164 Neurodegenerative disease;   05016 Huntington disease;    K04564  SOD2; superoxide dismutase, Fe-Mn family;  09166 Cardiovascular disease;   05417 Lipid and atherosclerosis;    K04564  SOD2; superoxide dismutase, Fe-Mn family;Enzymes [BR:ko01000]; 1. Oxidoreductases;  1.15  Acting on superoxide as acceptor;   1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date);    1.15.1.1  superoxide dismutase;     K04564  SOD2; superoxide dismutase, Fe-Mn family",COG: COG0605;GO: 0008384
