FeatureID,dry,wet,Contrib.dry,Contrib.wet,Contrib,GroupContrib,color,importance,component
FT_1.700_249.10806,1.3467129117030188,-0.6733564558515098,TRUE,FALSE,FALSE,dry,#388ECC,-0.1700681944536836,comp1
FT_1.375_276.11905,1.3448244879208566,-0.6724122439604291,TRUE,FALSE,FALSE,dry,#388ECC,-0.16909052295668417,comp1
FT_7.543_311.12383,1.3373310665470615,-0.668665533273531,TRUE,FALSE,FALSE,dry,#388ECC,-0.168526498513098,comp1
FT_6.857_247.12883,1.3151602573842476,-0.657580128692123,TRUE,FALSE,FALSE,dry,#388ECC,-0.16460027161440433,comp1
FT_1.822_277.10307,1.3229854597014872,-0.6614927298507435,TRUE,FALSE,FALSE,dry,#388ECC,-0.16363919344282463,comp1
FT_6.781_279.10096,1.3092088865300193,-0.6546044432650099,TRUE,FALSE,FALSE,dry,#388ECC,-0.16347679608412172,comp1
FT_9.727_295.12883,1.295709438570764,-0.6478547192853815,TRUE,FALSE,FALSE,dry,#388ECC,-0.1631439640220096,comp1
FT_2.524_430.15560,1.2401778789712352,-0.6200889394856155,TRUE,FALSE,FALSE,dry,#388ECC,-0.15478450607204663,comp1
FT_3.022_317.14564,1.2637429073208657,-0.6318714536604318,TRUE,FALSE,FALSE,dry,#388ECC,-0.1547688947137189,comp1
FT_2.525_435.11107,1.2356776590173657,-0.6178388295086804,TRUE,FALSE,FALSE,dry,#388ECC,-0.1537305719126574,comp1
FT_9.013_261.14449,1.2588304924289353,-0.6294152462144686,TRUE,FALSE,FALSE,dry,#388ECC,-0.1503337368329929,comp1
FT_9.313_261.14449,1.2325529997734217,-0.6162764998867096,TRUE,FALSE,FALSE,dry,#388ECC,-0.1462912816658017,comp1
FT_1.759_288.11903,1.2286823454874358,-0.6143411727437182,TRUE,FALSE,FALSE,dry,#388ECC,-0.14593737868056364,comp1
FT_1.419_230.09584,1.2064117740705487,-0.6032058870352746,TRUE,FALSE,FALSE,dry,#388ECC,-0.14373358639322897,comp1
FT_1.349_505.14323,1.1774139600925473,-0.588706980046272,TRUE,FALSE,FALSE,dry,#388ECC,-0.14298397012785144,comp1
FT_1.425_404.17774,1.2117544376357983,-0.6058772188178992,TRUE,FALSE,FALSE,dry,#388ECC,-0.14148687464457654,comp1
FT_1.988_684.25597,1.1897324093244106,-0.5948662046622027,TRUE,FALSE,FALSE,dry,#388ECC,-0.13543069765283575,comp1
FT_1.251_162.07613,-1.168176487966231,0.5840882439831161,FALSE,TRUE,FALSE,wet,#F68B33,0.13059404256548032,comp1
FT_1.125_423.08999,1.1385778277479206,-0.5692889138739585,TRUE,FALSE,FALSE,dry,#388ECC,-0.1267923238167542,comp1
FT_1.350_186.07614,1.1164714115867058,-0.5582357057933486,TRUE,FALSE,FALSE,dry,#388ECC,-0.1240977427844019,comp1
FT_1.404_425.19671,1.1222390214624003,-0.5611195107312001,TRUE,FALSE,FALSE,dry,#388ECC,-0.12266340713721736,comp1
FT_1.411_846.30863,1.0507009968910006,-0.5253504984455015,TRUE,FALSE,FALSE,dry,#388ECC,-0.11917518114080368,comp1
FT_1.380_176.09175,-1.120594705186102,0.560297352593049,FALSE,TRUE,FALSE,wet,#F68B33,0.11702885865870294,comp1
FT_2.047_204.12298,-1.039815181194779,0.5199075905973897,FALSE,TRUE,FALSE,wet,#F68B33,0.11121416309386094,comp1
FT_5.996_504.19243,-1.105567096657711,0.5527835483288547,FALSE,TRUE,FALSE,wet,#F68B33,0.11018735080425136,comp1
FT_1.706_467.13727,1.0483027137913703,-0.5241513568956839,TRUE,FALSE,FALSE,dry,#388ECC,-0.1098111946494675,comp1
FT_2.305_673.21659,1.0492029570563417,-0.5246014785281694,TRUE,FALSE,FALSE,dry,#388ECC,-0.10882052566894186,comp1
FT_1.106_90.05498,-1.060705779174899,0.5303528895874466,FALSE,TRUE,FALSE,wet,#F68B33,0.10871576537000782,comp1
FT_1.310_702.26646,1.001958983051285,-0.5009794915256425,TRUE,FALSE,FALSE,dry,#388ECC,-0.10843433265397061,comp1
FT_1.406_684.25587,1.0075677645099315,-0.5037838822549674,TRUE,FALSE,FALSE,dry,#388ECC,-0.1083382157102756,comp1
FT_1.720_462.18184,1.0329431620925207,-0.5164715810462607,TRUE,FALSE,FALSE,dry,#388ECC,-0.10690914585695965,comp1
FT_5.744_176.05536,1.0482677144819272,-0.5241338572409611,TRUE,FALSE,FALSE,dry,#388ECC,-0.10594702807781638,comp1
FT_1.174_398.12947,1.002684836973823,-0.5013424184869121,TRUE,FALSE,FALSE,dry,#388ECC,-0.10566789137725953,comp1
FT_1.183_176.10298,-1.0492533416760998,0.5246266708380507,FALSE,TRUE,FALSE,wet,#F68B33,0.10414024615515845,comp1
FT_1.694_347.09500,-1.0589399188759296,0.5294699594379657,FALSE,TRUE,FALSE,wet,#F68B33,0.0999329315915542,comp1
FT_1.135_120.06548,-1.020542727082723,0.5102713635413606,FALSE,TRUE,FALSE,wet,#F68B33,0.09879308807914992,comp1
FT_1.309_127.03898,0.9993697711970395,-0.49968488559852253,TRUE,FALSE,FALSE,dry,#388ECC,-0.0974696653785924,comp1
FT_5.996_509.14786,-1.0546067764160252,0.5273033882080106,FALSE,TRUE,FALSE,wet,#F68B33,0.09718174839131093,comp1
FT_1.202_166.05326,-1.0086553294712732,0.5043276647356371,FALSE,TRUE,FALSE,wet,#F68B33,0.09406443257712693,comp1
FT_1.190_536.21888,0.9451275457404678,-0.47256377287023504,TRUE,FALSE,FALSE,dry,#388ECC,-0.09239813839706838,comp1
FT_1.259_198.12371,0.979124555619523,-0.4895622778097594,TRUE,FALSE,FALSE,dry,#388ECC,-0.09180216231160442,comp1
FT_1.300_189.12341,0.9978216607785225,-0.49891083038926076,TRUE,FALSE,FALSE,dry,#388ECC,-0.09173497296118018,comp1
FT_1.302_189.12341,0.9978216607785225,-0.49891083038926076,TRUE,FALSE,FALSE,dry,#388ECC,-0.09173497296118018,comp1
FT_1.090_133.06074,-0.951728171776994,0.47586408588849566,FALSE,TRUE,FALSE,wet,#F68B33,0.09068516606148472,comp1
FT_1.223_448.11210,0.9197581281609066,-0.4598790640804541,TRUE,FALSE,FALSE,dry,#388ECC,-0.09032410444165274,comp1
FT_1.080_106.04983,-0.9779836746959547,0.48899183734798,FALSE,TRUE,FALSE,wet,#F68B33,0.0894341966386398,comp1
FT_2.382_126.05492,0.9199506311027561,-0.45997531555137805,TRUE,FALSE,FALSE,dry,#388ECC,-0.08780483094668984,comp1
FT_1.395_130.08623,-1.0027463921742574,0.5013731960871285,FALSE,TRUE,FALSE,wet,#F68B33,0.08746307828109047,comp1
FT_1.308_97.02841,0.9167743481062824,-0.4583871740531463,TRUE,FALSE,FALSE,dry,#388ECC,-0.08387622039154267,comp1
FT_1.909_511.16356,0.9370749336235659,-0.4685374668117824,TRUE,FALSE,FALSE,dry,#388ECC,-0.08378164641113209,comp1
FT_2.050_247.12881,0.8847068178393283,-0.4423534089196632,TRUE,FALSE,FALSE,dry,#388ECC,-0.08178312886554842,comp1
FT_18.817_261.22130,-0.9350471186343078,0.4675235593171548,FALSE,TRUE,FALSE,wet,#F68B33,0.0803479031181593,comp1
FT_1.354_222.09721,0.9500905207095691,-0.4750452603547821,TRUE,FALSE,FALSE,dry,#388ECC,-0.08007776084592101,comp1
FT_1.311_191.10270,-0.9131485636288534,0.45657428181442605,FALSE,TRUE,FALSE,wet,#F68B33,0.07768495857798817,comp1
FT_2.163_260.16048,0.8612232064742241,-0.4306116032371123,TRUE,FALSE,FALSE,dry,#388ECC,-0.07372011021677159,comp1
FT_3.589_132.10187,-0.895730455109497,0.4478652275547477,FALSE,TRUE,FALSE,wet,#F68B33,0.07336253524959022,comp1
FT_1.360_350.19235,0.8508538378169016,-0.4254269189084492,TRUE,FALSE,FALSE,dry,#388ECC,-0.07212411735551558,comp1
FT_3.874_132.10187,-0.8912882601730531,0.44564413008652815,FALSE,TRUE,FALSE,wet,#F68B33,0.07208899870244331,comp1
FT_1.776_453.12153,0.8714321809265212,-0.4357160904632626,TRUE,FALSE,FALSE,dry,#388ECC,-0.06989149211355913,comp1
FT_1.257_278.08058,-0.9050041268627375,0.45250206343137195,FALSE,TRUE,FALSE,wet,#F68B33,0.06886244903295519,comp1
FT_1.188_132.06551,-0.8991269408686019,0.4495634704343013,FALSE,TRUE,FALSE,wet,#F68B33,0.06856969132774371,comp1
FT_4.186_113.03450,0.8925688864526163,-0.44628444322630517,TRUE,FALSE,FALSE,dry,#388ECC,-0.0681320088332858,comp1
FT_1.826_199.14414,-0.893782682634551,0.4468913413172758,FALSE,TRUE,FALSE,wet,#F68B33,0.06751115848052792,comp1
FT_1.081_154.13391,0.8740649626297873,-0.43703248131489125,TRUE,FALSE,FALSE,dry,#388ECC,-0.0673534841193864,comp1
FT_1.422_231.09760,0.866101161310903,-0.4330505806554552,TRUE,FALSE,FALSE,dry,#388ECC,-0.0671468053157294,comp1
FT_19.437_137.13245,-0.8448317278778463,0.42241586393892216,FALSE,TRUE,FALSE,wet,#F68B33,0.06695021116008174,comp1
FT_1.280_146.08119,-0.8741224009040724,0.4370612004520361,FALSE,TRUE,FALSE,wet,#F68B33,0.06375111158981187,comp1
FT_19.436_263.16178,-0.8283866984137439,0.4141933492068712,FALSE,TRUE,FALSE,wet,#F68B33,0.06313798149405882,comp1
FT_1.310_180.08674,0.842257648374719,-0.42112882418736486,TRUE,FALSE,FALSE,dry,#388ECC,-0.06309071013423372,comp1
FT_1.774_72.08080,-0.8406158458470111,0.4203079229235035,FALSE,TRUE,FALSE,wet,#F68B33,0.06126458055840731,comp1
FT_6.845_166.08628,-0.837794512323471,0.41889725616173606,FALSE,TRUE,FALSE,wet,#F68B33,0.060739551234230645,comp1
FT_1.745_204.12300,0.8705214510967583,-0.43526072554837975,TRUE,FALSE,FALSE,dry,#388ECC,-0.060451162398571616,comp1
FT_18.821_297.24243,-0.8506457953203095,0.4253228976601539,FALSE,TRUE,FALSE,wet,#F68B33,0.06016561340078633,comp1
FT_1.155_335.07393,0.8379961086353281,-0.41899805431766024,TRUE,FALSE,FALSE,dry,#388ECC,-0.05912605931399706,comp1
FT_1.141_162.11250,-0.8227076194834113,0.4113538097417056,FALSE,TRUE,FALSE,wet,#F68B33,0.05902857348907509,comp1
