genome,cluster,Domain,Phylum,Class,Order,Family,Genus,Species,response_type
DNA-1-22_bin_14,Cluster 1,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,Dry
DNA-1-22_bin_2,Cluster 1,Bacteria,Tectomicrobia,Entotheonellia,NA,NA,NA,NA,Dry
DNA-1-22_bin_3,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,Dry
DNA-1-22_bin_6_1,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,NA,Dry
DNA-1_bin_10_1,Cluster 2,Bacteria,Actinomycetota,UBA4738,UBA4738,HRBIN12,NA,NA,Wet
DNA-1_bin_13_1,Cluster 3,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,NA,NA,Pulse
DNA-1_bin_18,Cluster 3,Bacteria,Eremiobacterota,Eremiobacteria,Baltobacterales,Baltobacteraceae,NA,NA,Pulse
DNA-1_bin_22_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Wet
DNA-1_bin_24_1,Cluster 1,Bacteria,Actinomycetota,Unassigned Class of Actinomycetota,NA,NA,NA,NA,Dry
DNA-1_bin_29_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,13-2-20CM-68-14,NA,Wet
DNA-1_bin_3,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
DNA-1_bin_30,Cluster 2,Bacteria,Acidobacteriota,Thermoanaerobaculia,Multivoradales,UBA5704,UBA5704,NA,Wet
DNA-1_bin_31,Cluster 2,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,NA,NA,Wet
DNA-1_bin_36_1,Cluster 2,Bacteria,Chloroflexota,Dormibacteria,Dormibacterales,Dormibacteraceae,NA,NA,Wet
DNA-1_bin_39_1,Cluster 1,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,AC-14,JAHFUQ01,NA,Dry
DNA-1_bin_41,Cluster 2,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,NA,NA,Wet
DNA-1_bin_43,Cluster 1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,NA,NA,Dry
DNA-1_bin_45_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Jatrophihabitantaceae,Jatrophihabitans,NA,Wet
DNA-1_bin_46,Cluster 3,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,NA,Pulse
DNA-1_bin_47_1,Cluster 3,Bacteria,Chloroflexota,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA,NA,Pulse
DNA-1_bin_49_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,NA,Wet
DNA-1_bin_50,Cluster 2,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,SZUA-265,NA,Wet
DNA-1_bin_51_1,Cluster 2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA,Wet
DNA-1_bin_52_1,Cluster 3,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,AC-56,NA,Pulse
DNA-1_bin_53_1,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,NA,Dry
DNA-1_bin_54,Cluster 1,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,Dry
DNA-1_bin_55_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,NA,Wet
DNA-1_bin_59_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,UBA4738,NA,NA,NA,Dry
DNA-1_bin_7,Cluster 2,Bacteria,Actinomycetota,UBA4738,UBA4738,JACQTL01,NA,NA,Wet
DNA-1_bin_8,Cluster 3,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,NA,NA,Pulse
DNA-4_bin_11,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
DNA-4_bin_12_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,Natronosporangium,NA,Wet
DNA-4_bin_14_1,Cluster 1,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,JALYGY01,NA,Dry
DNA-4_bin_15_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,3-1-20CM-4-69-9,NA,Wet
DNA-4_bin_17,Cluster 2,Bacteria,Actinomycetota,Unassigned Class of Actinomycetota,NA,NA,NA,NA,Wet
DNA-4_bin_18,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,70-9,NA,NA,Wet
DNA-4_bin_1_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
DNA-4_bin_27_1,Cluster 1,Bacteria,Actinomycetota,Nitriliruptoria,Euzebyales,NA,NA,NA,Dry
DNA-4_bin_7_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA,Wet
DNA-6_bin_10_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA,Wet
DNA-6_bin_14_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA,Wet
DNA-6_bin_18_1,Cluster 1,Bacteria,Chloroflexota,UBA6077,UBA6077,NA,NA,NA,Dry
DNA-6_bin_19_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella_B,NA,Wet
DNA-6_bin_31_1,Cluster 2,Bacteria,Desulfobacterota,Unassigned Class of Desulfobacterota,NA,NA,NA,NA,Wet
DNA-6_bin_33_1,Cluster 2,Bacteria,Desulfobacterota_B,Binatia,UBA9968,UBA9968,DP-1,NA,Wet
DNA-6_bin_34_1,Cluster 2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA,Wet
DNA-6_bin_35_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,NA,Wet
DNA-6_bin_37_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
DNA-6_bin_38_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
DNA-6_bin_42_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Trinickia,NA,Wet
DNA-6_bin_44_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,Wet
DNA-6_bin_48_1,Cluster 1,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,GCA-003244245,NA,Dry
DNA-6_bin_5_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,JACVRW01,NA,Wet
DNA-8_bin_11_1,Cluster 3,Bacteria,Pseudomonadota,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA,Pulse
DNA-8_bin_14,Cluster 2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA,Wet
DNA-8_bin_19,Cluster 1,Bacteria,Pseudomonadota,Gammaproteobacteria,JACCYU01,JACCYU01,NA,NA,Dry
DNA-8_bin_23_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
DNA-8_bin_28,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA,Wet
DNA-8_bin_29,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA,Wet
DNA-8_bin_30_1,Cluster 2,Bacteria,Pseudomonadota,Gammaproteobacteria,NA,NA,NA,NA,Wet
DNA-8_bin_35_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,NA,NA,NA,NA,Wet
DNA-8_bin_39_1,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,TH5893,NA,Dry
DNA-8_bin_7_1,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,NA,NA,Wet
bcn_bin_10,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bcn_bin_100_1,Cluster 1,Bacteria,Chloroflexota,Dehalococcoidia,CAUJGQ01,CAUJGQ01,NA,NA,Dry
bcn_bin_103_1,Cluster 2,Bacteria,Myxococcota,Polyangia,Polyangiales,JAFGIB01,NA,NA,Wet
bcn_bin_105_1,Cluster 1,Bacteria,Actinomycetota,UBA4738,CADDZG01,WHSQ01,NA,NA,Dry
bcn_bin_106_1,Cluster 2,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,QHXN01,NA,Wet
bcn_bin_110_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bcn_bin_114,Cluster 3,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,CF-72,NA,Pulse
bcn_bin_115,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Micromonosporaceae,NA,NA,Wet
bcn_bin_116,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
bcn_bin_123,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bcn_bin_124,Cluster 1,Bacteria,Chloroflexota,UBA6077,UBA6077,JACCZL01,NA,NA,Dry
bcn_bin_125_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Thermoleophilaceae,NA,NA,Wet
bcn_bin_126,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bcn_bin_130_1,Cluster 2,Bacteria,Actinomycetota,Acidimicrobiia,IMCC26256,JACDBD01,NA,NA,Wet
bcn_bin_131_1,Cluster 2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA,Wet
bcn_bin_133,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,JAJTCL01,NA,Wet
bcn_bin_135_1,Cluster 3,Bacteria,Chloroflexota,UBA6077,UBA6077,CF-72,NA,NA,Pulse
bcn_bin_137_1,Cluster 2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,CSP1-6,NA,NA,Wet
bcn_bin_138,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,Dry
bcn_bin_139_1,Cluster 2,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA,NA,Wet
bcn_bin_13_1,Cluster 2,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,JACDDX01,NA,Wet
bcn_bin_140,Cluster 2,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Pseudonocardiaceae,Pseudonocardia,NA,Wet
bcn_bin_142_1,Cluster 1,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA,Dry
bcn_bin_14_1,Cluster 2,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA,Wet
