FeatureID,Name,Formula,Annotation_level,LC_mode
FT_1.012_175.11897,D-Arginine,C6 H14 N4 O2,L1,RP
FT_1.074_104.10696,Choline,C5 H13 N O,L1,RP
FT_1.080_106.04983,D-Serine,C3 H7 N O3,L1,RP
FT_1.090_133.06074,D-Asparagine,C4 H8 N2 O3,L1,RP
FT_1.100_365.10547,Sucrose,C12 H22 O11,L1,RP
FT_1.103_365.10547,Sucrose,C12 H22 O11,L1,RP
FT_1.106_134.04476,D-Aspartic acid,C4 H7 N O4,L1,RP
FT_1.106_90.05498,Sarcosine,C3 H7 N O2,L1,RP
FT_1.112_104.07058,γ-Aminobutyric acid,C4 H9 N O2,L1,RP
FT_1.112_147.07644,L-Glutamine,C5 H10 N2 O3,L1,RP
FT_1.124_522.20317,D-Melezitose,C18 H32 O16,L1,RP
FT_1.135_120.06548,D-Threonine,C4 H9 N O3,L1,RP
FT_1.141_162.11250,L-Carnitine,C7 H15 N O3,L1,RP
FT_1.157_148.06046,D-Glutamic acid,C5 H9 N O4,L1,RP
FT_1.183_176.10298,L-Citrulline,C6 H13 N3 O3,L1,RP
FT_1.188_132.06551,cis-4-Hydroxy-D-proline,C5 H9 N O3,L1,RP
FT_1.189_104.10691,Choline,C5 H13 N O,L1,RP
FT_1.200_118.08621,Betaine,C5 H11 N O2,L1,RP
FT_1.262_222.09723,N-Acetyl-D-galactosamine,C8 H15 N O6,L1,RP
FT_1.271_146.11757,Acetylcholine,C7 H16 N O2,L1,RP
FT_1.310_360.15014,D-(+)-Cellobiose,C12 H22 O11,L1,RP
FT_1.311_191.10270,"2,6-Diaminopimelic Acid",C7 H14 N2 O4,L1,RP
FT_1.312_365.10543,Sucrose,C12 H22 O11,L1,RP
FT_1.323_138.05494,Trigonelline,C7 H7 N O2,L1,RP
FT_1.323_522.20307,D-(+)-Raffinose,C18 H32 O16,L1,RP
FT_1.328_116.07056,L-Proline,C5 H9 N O2,L1,RP
FT_1.354_222.09721,N-Acetyl-D-galactosamine,C8 H15 N O6,L1,RP
FT_1.390_163.06023,D-(+)-Glucosamine,C6 H15 N O5,L1,RP
FT_1.412_522.20299,Maltotriose,C18 H32 O16,L1,RP
FT_1.413_522.20300,D-(+)-Raffinose,C18 H32 O16,L1,RP
FT_1.427_365.10546,D-(+)-Turanose,C12 H22 O11,L1,RP
FT_1.431_365.10548,Sucrose,C12 H22 O11,L1,RP
FT_1.774_118.08621,D-Valine,C5 H11 N O2,L1,RP
FT_1.892_146.09241,4-Guanidinobutyric acid,C5 H11 N3 O2,L1,RP
FT_1.972_136.06176,Adenine,C5 H5 N5,L1,RP
FT_1.973_244.09277,Cytidine,C9 H13 N3 O5,L1,RP
FT_11.965_225.07577,Sinapic acid,C11 H12 O5,L1,RP
FT_16.500_347.22172,Corticosterone,C21 H30 O4,L1,RP
FT_2.047_204.12298,O-Acetyl-L-carnitine,C9 H17 N O4,L1,RP
FT_2.188_150.05834,L-Methionine,C5 H11 N O2 S,L1,RP
FT_2.253_139.05020,trans-Urocanic Acid,C6 H6 N2 O2,L1,RP
FT_2.389_124.03927,Nicotinic acid,C6 H5 N O2,L1,RP
FT_2.989_159.02775,Hypoxanthine,C5 H4 N4 O,L1,RP
FT_3.008_130.04984,L-Pyroglutamic acid,C5 H7 N O3,L1,RP
FT_3.668_182.08119,L-Tyrosine,C9 H11 N O3,L1,RP
FT_3.874_132.10187,D-Leucine,C6 H13 N O2,L1,RP
FT_6.003_268.10405,Adenosine,C10 H13 N5 O4,L1,RP
FT_6.199_252.10911,2'-Deoxyadenosine,C10 H13 N5 O3,L1,RP
FT_6.246_284.09896,Guanosine,C10 H13 N5 O5,L1,RP
FT_6.845_166.08628,D-Phenylalanine,C9 H11 N O2,L1,RP
FT_7.909_220.11801,D-Pantothenate,C9 H17 N O5,L1,RP
FT_8.403_205.09712,L-Tryptophan,C11 H12 N2 O2,L1,RP
FT_0.985_380.09553,Toxin B1,C10H17N7O7S,L3.3,RP
FT_1.068_150.11249,no name,C6 H15 N O3,L4.3,RP
FT_1.097_208.11789,no name,C8 H17 N O5,L4.3,RP
FT_1.107_527.15854,D-Raffinose,C18 H32 O16,L2,RP
FT_1.125_423.08999,"5-hydroxy-6,8-dimethoxy-7-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H-chromen-2-one",C17 H20 O11,L2,RP
FT_1.177_180.08671,3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,L2,RP
FT_1.187_183.08644,Dulcitol,C6 H14 O6,L2,RP
FT_1.202_166.05326,Methionine sulfoxide,C5 H11 N O3 S,L2,RP
FT_1.228_196.06391,no name,no formula,L5,RP
FT_1.229_182.08459,no name,C6H15NO3S,L4.3,RP
FT_1.236_106.04984,D-Serine,C3 H7 N O3,L2,RP
FT_1.237_290.08472,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C11H15NO8,L3.3,RP
FT_1.242_452.13762,O-(2-O-Mannopyranosyl-mannopyranosyl)serine,C15H27NO13,L3.3,RP
FT_1.251_162.07613,2-Aminoadipic acid,C6 H11 N O4,L2,RP
FT_1.257_278.08058,NP-019509,C15 H13 N O3,L2,RP
FT_1.280_146.08119,NP-022231,C6 H13 N O4,L2,RP
FT_1.295_173.09210,Prolylglycine,C7 H12 N2 O3,L2,RP
FT_1.309_127.03898,Phloroglucinol,C6 H6 O3,L2,RP
FT_1.333_132.10188,Methylbetain,C6H13NO2,L3.3,RP
FT_1.337_527.15849,D-Raffinose,C18 H32 O16,L2,RP
FT_1.363_244.07918,DeazaUrd,C10H13NO6,L3.3,RP
FT_1.366_439.14234,Kotanin,C24H22O8,L3.3,RP
FT_1.380_176.09175,alpha-aminopimelate,C7H12NO4,L3.3,RP
FT_1.387_291.06866,no name,C7H18N2O6S2,L4.3,RP
FT_1.395_130.08623,Pipecolic acid,C6 H11 N O2,L2,RP
FT_1.395_384.15018,N-Acetyl-D-lactosamine,C14 H25 N O11,L2,RP
FT_1.401_689.21129,Maltotetraose,C24 H42 O21,L2,RP
FT_1.411_187.10776,L-Alanyl-L-proline,C8 H14 N2 O3,L2,RP
FT_1.411_527.15849,D-Raffinose,C18 H32 O16,L2,RP
FT_1.412_210.07978,no name,C7 H15 N O4 S,L4.3,RP
FT_1.418_127.03894,Pyrogallol,C6 H6 O3,L2,RP
FT_1.418_144.10191,DL-Stachydrine,C7 H13 N O2,L2,RP
FT_1.419_230.09584,L-Ergothioneine,C9 H15 N3 O2 S,L2,RP
FT_1.420_246.14481,Gln-Val,C10H19N3O4,L3.3,RP
FT_1.421_252.14412,Prosulfocarb,C14 H21 N O S,L2,RP
FT_1.422_231.09760,Pro-Asp,C9H14N2O5,L3.1,RP
FT_1.424_329.05770,no name,C9H17N2O7PS,L4.3,RP
FT_1.426_272.12588,1-[Hydroxy-(2-hydroxy-3-methoxypropoxy)phosphoryl]oxyethyl-trimethylazanium,C9H22NO6P,L3.3,RP
FT_1.428_276.15540,no name,C11H21N3O5,L4.1,RP
FT_1.432_453.12162,no name,C17H24O14,L4.3,RP
FT_1.676_349.11061,no name,C10H16N6O8,L4.3,RP
FT_1.694_347.09500,Methyl 6-O-galloyl-b-D-glucopyranoside,C14H18O10,L3.3,RP
FT_1.706_467.13727,NP-020236,C23 H24 O9,L2,RP
FT_1.722_187.10773,L-Alanyl-L-proline,C8 H14 N2 O3,L2,RP
