fasta,ko_id,response_type,Month,getmm_mean,Domain,Phylum,Class,Order,Family,Genus,Species,gene_name,gene_abb,Category_1,Category_2
DNA-1-22_bin_14,K00024,Dry,May,2.106836436428365,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00024,Dry,July_1,8.414170652711055,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00024,Dry,July_2,4.62804311020895,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00024,Dry,July_3,1.7276243850192419,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00024,Dry,August,7.315322788643479,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00024,Dry,October,1.6569429142498857,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00024,Dry,May_22,1.733243840350262,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,malate dehydrogenase,mdh,NA,TCA
DNA-1-22_bin_14,K00031,Dry,May,2.879530568446864,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
DNA-1-22_bin_14,K00031,Dry,July_1,4.242306053511395,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
DNA-1-22_bin_14,K00031,Dry,July_2,3.647914383819698,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
DNA-1-22_bin_14,K00031,Dry,July_3,1.706498261013071,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
DNA-1-22_bin_14,K00031,Dry,August,5.096903621146337,Bacteria,Desulfobacterota_B,Binatia,Bin18,Bin18,NA,NA,isocitrate dehydrogenase,IDH1,NA,TCA
