FeatureID,estimate,stderror,df,tvalue,lower,upper,pvalue,padj,Name,Formula,Annotation_level,env_sig,LC_mode
FT_0.904_189.00708,0.28049212,0.094602481,25.68409796,2.964955233,0.085917464,0.475066777,0.006456179,0.038779271,no name,C4H4N4O3S,L3.3,moisture,RP
FT_0.969_288.92204,0.817945166,0.17506039,26.0737041,4.672360003,0.45815288,1.177737453,7.93E-05,0.00127887,no name,C7N2O7S2,L3.3,moisture,RP
FT_0.979_226.95148,0.798952951,0.168296863,26.03092838,4.747283681,0.453033798,1.144872103,6.53E-05,0.00109127,no name,NA,L4,moisture,RP
FT_0.980_362.92643,1.08461657,0.214800236,26.03750465,5.049419819,0.643119312,1.526113827,2.94E-05,6.62E-04,no name,NA,L4,moisture,RP
FT_0.980_430.91383,1.218991455,0.241674151,26.1235408,5.043946367,0.722337437,1.715645473,2.95E-05,6.62E-04,no name,NA,L4,moisture,RP
FT_0.980_498.90137,1.283551857,0.260306323,26.12766662,4.93092847,0.748611766,1.818491949,3.98E-05,7.79E-04,no name,C9H13N2O10P3S3,L3.3,moisture,RP
FT_0.980_90.97665,0.494987976,0.111279936,25.95289619,4.448133169,0.266228583,0.723747368,1.45E-04,0.002046515,no name,C2H3PS,L3.3,moisture,RP
FT_0.981_158.96409,0.651851824,0.14255689,26.17623996,4.572573249,0.35891793,0.944785717,1.02E-04,0.00154303,no name,na,L4,moisture,RP
FT_0.981_242.92541,0.265152618,0.070696162,25.614947,3.750594241,0.119728184,0.410577052,9.09E-04,0.009675544,no name,C4H2O8S2,L3.3,moisture,RP
FT_0.981_294.93894,0.90663869,0.186604692,26.03219086,4.858606077,0.523090336,1.290187044,4.87E-05,8.79E-04,no name,C8H8O4P2S2,L3.3,moisture,RP
FT_0.981_310.91292,0.334276495,0.077215444,25.60904469,4.329140361,0.175439864,0.493113126,2.03E-04,0.002824398,no name,C4HN4O7P3,L3.3,moisture,RP
FT_0.981_378.90035,0.537656772,0.100308029,25.76587041,5.360057197,0.331379441,0.743934103,1.34E-05,3.97E-04,no name,C6H5O13P3,L3.3,moisture,RP
FT_0.981_446.88778,0.660091824,0.128135507,25.88384818,5.151513726,0.396647981,0.923535668,2.28E-05,5.99E-04,no name,C5H9N2O12P3S2,L3.3,moisture,RP
FT_0.981_514.87531,0.740255671,0.143383136,25.86984457,5.162780604,0.445455229,1.035056113,2.22E-05,5.99E-04,no name,C10H14O10P4S3,L3.3,moisture,RP
FT_0.981_566.88882,1.377685924,0.287893557,26.01087952,4.785400328,0.785924288,1.96944756,5.92E-05,0.001025795,no name,C14H8N4O11P2S3,L3.3,moisture,RP
FT_0.981_582.86283,0.885515493,0.179973381,25.96884838,4.920258144,0.515553311,1.255477675,4.16E-05,7.96E-04,no name,NA,L4,moisture,RP
FT_0.981_666.82426,0.441936214,0.148146476,25.99345752,2.983103113,0.137413041,0.746459387,0.006132642,0.037323827,no name,NA,L4,moisture,RP
FT_0.982_650.85025,1.057228742,0.212798402,26.09090649,4.968217481,0.619889525,1.494567959,3.62E-05,7.47E-04,no name,C10H13N4O15P3S4,L3.3,moisture,RP
FT_0.982_718.83752,1.185711626,0.225820421,25.95684279,5.250683795,0.721493537,1.649929714,1.74E-05,4.86E-04,no name,C14H18N4O10P4S6,L3.3,moisture,RP
FT_0.983_190.91197,-0.508518009,0.173302862,26.23209895,-2.93427358,-0.864593805,-0.152442213,0.006862671,0.040428171,no name,na,L4,moisture,RP
