FeatureID,FeatureID_mgf,Name,Formula,Calc. MW,m/z,RT [min],Annotation MW,mzVault Best Match,mzCloud Best Match,KEGG ID,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,# mzCloud Results,# mzVault Results,HILIC_S73,HILIC_S74,HILIC_S75,HILIC_S76,HILIC_S77,HILIC_S78,HILIC_S79,HILIC_S80,HILIC_S81,HILIC_S82,HILIC_S83,HILIC_S84,HILIC_S85,HILIC_S86,HILIC_S87,HILIC_S88,HILIC_S89,HILIC_S90,HILIC_S91,HILIC_S92,HILIC_S93,HILIC_S94,HILIC_S95,HILIC_S96,HILIC_S97,HILIC_S98,HILIC_S99,HILIC_S100,HILIC_S101,HILIC_S102,HILIC_S103,HILIC_S104
FT_16.807_989.31879,MW_990.32606@RT_16.807,NA,C48 H53 N10 O8 P3,990.32606,989.31879,16.807,990.32607,NA,NA,NA,Full match,No results,No results,0,0,1679679.46836893,2560418.01364351,5062542.51212418,8939067.76890175,2884039.07314866,5241244.92700256,5117818.08605519,3453782.7532213,915202.646893612,2730561.24161627,1749185.55612695,1027712.39029128,1717673.76780002,2299667.37980194,786372.168864418,950347.067611682,1238216.21248005,671051.105006567,1001434.93779438,1422415.90580646,309546.341388939,1566439.37677842,972818.700813439,1205440.62784212,2484017.07013602,2338484.93577544,1165966.29605786,793073.063610004,5004896.31966803,7854682.70431351,1385266.30571235,3405663.88990271
FT_16.041_873.27215,MW_828.27396@RT_16.041,NA,C35 H50 N4 O15 P2,828.27396,873.27215,16.041,828.27479,NA,NA,NA,Full match,No results,No results,0,0,2622046.29262217,4294416.49029854,8218576.37083161,14692722.0464031,4720725.64105062,7834823.49526379,9939512.02519822,5064665.14349789,1255384.62113824,4648630.17838079,2661920.70728054,1147499.93831844,2171784.69946282,3891105.53420173,1399949.75718862,1051092.00133915,1468886.10289089,479201.855007617,1824674.55550381,1986652.27404584,476046.176488302,2754828.61513403,1503386.651884,1714668.75257872,2921665.19449301,3227650.03487934,1927177.5451412,982672.480051267,7888858.37733732,11158642.1695,2247149.573911,5397658.38373529
FT_15.006_763.18139,MW_764.18866@RT_15.006,NA,C23 H43 N8 O13 P3 S,764.18866,763.18139,15.006,764.18831,NA,NA,NA,Full match,No results,No results,0,0,2489318.27308174,3045803.26926869,6192732.15139337,6700617.06822551,4796833.58327508,4819061.93224304,6685022.14612767,4747953.91416491,1751286.04392395,2067619.28234539,2517804.59398372,1405589.50485687,2126466.15522771,1729441.19753317,1113722.2668652,1177995.29237123,1144104.83995245,774607.211986853,1181432.91441232,1399155.13135672,777011.546100522,1666881.12392671,1152552.94066237,1411835.81959118,2591602.4505632,1997987.41374344,1604159.49130054,1322104.12657323,4583262.58600192,6518724.33905679,1463050.26470057,4178802.60393823
FT_1.432_729.25478,MW_730.26206@RT_1.432,NA,C34 H43 N4 O12 P,730.26206,729.25478,1.432,730.26151,NA,NA,NA,Full match,No results,No results,0,0,3604168.91312016,3772852.628956,1488574.57976488,14861181.0483594,2594975.27301526,10802942.6320644,1152182.09057244,5011362.73598906,3729573.72225923,4707741.79129921,4066987.9749588,3756920.28987309,5055818.32044265,6961543.44473129,1008203.39309334,2873530.96765136,3592635.97618252,2342678.9081171,2082611.95124116,7524639.19550461,4315000.80982417,2175314.1953759,968543.75815623,2626871.51099052,9365038.97464455,9083112.07202213,3357662.4782757,4203371.83252233,3571225.8473707,10488647.0699427,1420380.39336076,2829631.4712985
FT_1.093_727.20194,MW_728.20921@RT_1.093,NA,C32 H41 O17 P,728.20921,727.20194,1.093,728.20814,NA,NA,NA,Full match,No results,No results,0,0,2391724.09194926,2182295.00618878,1157586.0820261,3054084.93866003,3030025.20279125,6537168.32079942,1185563.83663498,4863301.11578687,5466519.52003734,1345588.71583484,3499734.78841335,3789268.52350806,4388011.48359546,4089774.78622555,1564944.92386162,1234943.70138805,2295381.04994544,3432561.2040535,1800352.54371427,3136544.51913681,2591011.58881365,2141931.95513988,923341.186384711,2148062.1571929,2880227.15661772,4453617.87334262,822604.498185997,2075204.43931342,2107823.05796384,4342171.00569166,1366512.64185402,4393016.30088602
FT_8.845_724.87206,MW_725.87933@RT_8.845,NA,NA,725.87933,724.87206,8.845,NA,NA,NA,NA,No results,No results,No results,0,0,11698747.683906,4646126.11943723,5991736.78708974,4998279.67442776,11758862.553562,5898001.54357376,12011484.0694807,5910882.88723124,8318094.12429678,4216950.10941514,6572986.43261889,6647956.57076022,3234238.42119602,3867214.075753,3725237.73782941,7084401.43932272,7652078.83345811,5126759.17138863,6427662.1959325,6515605.75864436,7528562.85150898,6767044.04111563,10427601.2531756,4752421.94242594,4295586.09638966,4746071.11721219,5256764.00636416,4026035.0579693,4410435.77334718,4863882.99525065,1955329.01222767,4783077.71907413
FT_1.340_713.26015,MW_714.26725@RT_1.340,NA,C47 H35 N6 P,714.26725,713.26015,1.34,714.26608,NA,NA,NA,Full match,No results,No results,0,0,2944222.70691439,4366699.60559942,2583398.55113623,10141427.2222237,3742086.22356931,7287500.91376337,1458023.81664428,4966063.47254478,4343257.2007198,6184855.99628771,4777814.53936437,2809493.58733619,4998583.66368771,5741597.63883668,2346934.41219875,2116946.65192838,4722601.58331455,4400485.531931,2662656.81015649,5767780.68513712,3840943.88503245,2943738.02713187,1248297.95125958,1821626.3538963,5776593.98088676,5953026.66584888,4376763.61730392,3510612.21410488,3635497.82880647,7203583.22592804,2176972.91030516,2823546.48782317
FT_1.215_711.28043,MW_712.28771@RT_1.215,NA,C38 H36 N10 O5,712.28771,711.28043,1.215,712.28701,NA,NA,NA,Full match,No results,No results,0,0,5743438.38456725,5653884.65238914,3414721.10660753,8720592.30108844,5172556.01318003,7693442.39657905,2258489.4714589,7834429.16729963,4437489.69083092,8388356.14602077,4234219.29353986,5793619.795458,4275114.00623575,8141434.57100022,4806506.18124581,4146995.43246383,7229558.50109165,7228010.53465523,3493116.65908796,4472507.4278727,4272363.1120288,6330499.62522721,2189987.89977517,3690692.7098071,4956821.6135105,6046933.63896513,4348017.92340009,4091068.92915161,7133956.66163057,7478317.97095157,3588840.14007032,5317580.9979396
FT_1.301_711.24351,MW_712.25078@RT_1.301,NA,C40 H40 O12,712.25078,711.24351,1.301,712.25198,NA,NA,NA,Full match,No results,No results,0,0,3071459.16905466,4937923.84817573,2710321.47037178,12647431.7503831,2562493.58269052,5694436.76828282,1129983.39207454,3710271.03074277,2721485.0469645,8939915.84084218,4616989.96733024,5894080.08267626,2422027.13486705,9369913.75787322,3581414.85342502,2381842.60767493,6203105.20098206,4691656.57155563,2526655.4037284,4103625.96779891,2140534.81483311,5417139.49214184,1096735.71752148,3752820.77031882,7372281.61471029,11383161.7912296,1528104.24371207,2086300.17810752,5971083.12477121,13123133.948042,1746749.21376249,3119962.50526555
FT_15.006_711.21974,MW_712.22702@RT_15.006,NA,C20 H41 N8 O18 P,712.22702,711.21974,15.006,712.22764,NA,NA,NA,Full match,No results,No results,0,0,4316978.37746161,6048748.16046128,9380990.16037455,13577637.0333931,6546230.99168586,9337047.24540205,10295141.8724086,6552097.40699971,1641071.15739962,4735912.85801947,3993756.67068704,1928760.09117531,3052985.19779675,3618388.75887348,2184173.71727837,1247422.48606064,2160512.08096461,1672942.25463735,2588965.77924055,2710948.69483129,898271.278483197,2873345.84146336,1946086.57183506,2357378.42213948,5185862.97461368,4485842.13015134,2873708.42765291,1541320.194784,10029633.6984946,12479076.3984907,3359771.37467177,6612377.03694434
