FeatureID,FeatureID_mgf,Name,Formula,Calc. MW,m/z,RT [min],Annotation MW,mzVault Best Match,mzCloud Best Match,KEGG ID,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: mzVault Search,# mzCloud Results,# mzVault Results,RP_S73,RP_S74,RP_S75,RP_S76,RP_S77,RP_S78,RP_S79,RP_S80,RP_S81,RP_S82,RP_S83,RP_S84,RP_S85,RP_S86,RP_S87,RP_S88,RP_S89,RP_S90,RP_S91,RP_S92,RP_S93,RP_S94,RP_S95,RP_S96,RP_S97,RP_S98,RP_S99,RP_S100,RP_S101,RP_S102,RP_S103,RP_S104
FT_1.410_851.26419,MW_850.25692@RT_1.410,NA,C31 H49 N8 O14 P3,850.25692,851.26419,1.41,850.25811,NA,NA,NA,Full match,No results,No results,0,0,2639325.1385117,3292223.47705929,4598075.54808572,6689039.83131695,3102090.96924181,4975383.5357386,5373805.82177644,4168569.86106476,1897670.97131925,3887188.97753356,2971579.69634076,2153086.8246104,1775262.25602481,3348065.50531486,2142766.78531902,1716943.29527766,1921201.58599271,1383541.86067538,1969452.19087709,2434921.86441399,781335.324534907,1762279.48849032,1413178.9652646,2120359.49072412,2382710.25378727,3521260.73173587,2471145.53398394,1526148.58634203,3085464.25983255,5875912.3700936,3812529.33085975,3143855.24754924
FT_1.411_846.30863,MW_845.30135@RT_1.411,NA,C35 H53 N5 O15 P2,845.30135,846.30863,1.411,845.30134,NA,NA,NA,Full match,No results,No results,0,0,12370755.139919,16898480.0542444,30520579.042264,42186564.2266303,18962901.9025117,31754575.822476,35685386.8878812,21312298.0878982,6633594.4604014,18095380.5195199,11556943.0167759,6936723.50995672,7856527.47414552,15923177.7349712,7127407.63138441,6858966.83412765,7033062.89961904,4648117.15921945,8083727.0732769,8607446.77987585,2848700.62001628,10037985.1998907,7269459.014424,8438396.77333613,8486132.79168283,14086707.8486342,9749491.15224627,6037125.19550114,30412868.1995049,32912521.6607034,19597449.4619378,21831791.9094793
FT_0.982_770.85085,MW_769.84358@RT_0.982,NA,NA,769.84358,770.85085,0.982,NA,NA,NA,NA,No results,No results,No results,0,0,11610745.5105691,140880.710985407,529802.964044984,187606.262003138,3966429.02718906,168549.71078571,12840538.2789588,868801.087119593,2323946.83674224,142954.645248567,681974.850970395,553831.317624356,2341641.49313767,248954.025208981,202955.435202274,7062836.0056081,1745688.76430064,518114.115688651,2533927.43930445,5127012.83436896,5756239.11233197,1760819.50182455,9688873.9783941,2505594.40359959,88134.8739535653,372525.88015969,342041.553920896,2860185.92960612,118791.441438673,164988.016637043,854102.633865017,1179712.14728862
FT_0.982_766.75913,MW_765.75186@RT_0.982,NA,C20 H5 N2 O15 P3 S5,765.75186,766.75913,0.982,765.75063,NA,NA,NA,Full match,No results,No results,0,0,171562.786602256,4021822.67645609,2377434.44002482,2793698.26508164,1440920.56065814,4324830.16405536,169200.401645833,1537288.20702562,655135.197703684,3754015.69576287,2300044.93477512,2809291.47415226,736246.771785806,3027861.48970158,2200509.84705683,133633.634391314,1655209.27421816,1763338.81233962,566296.504953957,102382.07755465,122982.677136267,847162.62541199,177787.63702483,94440.2523621351,2327584.27716183,2532522.7365887202,2069637.48775178,101900.833312756,2848641.27044872,2819322.11237621,445381.576059515,798708.748472691
FT_0.981_750.78520,MW_749.77792@RT_0.981,NA,C25 H5 O14 P3 S4,749.77792,750.7852,0.981,749.7775,NA,NA,NA,Full match,No results,No results,0,0,612678.204208122,3314571.17280459,3972510.45878326,1558335.12858137,5257756.34131175,3055601.68740594,544558.602729944,3686668.77588128,2590968.63811548,2425198.42194979,4400065.94576847,4733201.15878308,2670106.69232109,3449571.6711301,3326865.9507446,190053.462752457,3610056.76357648,2968992.05497112,2393519.43372382,355705.506421734,385784.538553708,2826775.34247124,903296.881374812,743389.121146851,1905152.52159732,3253436.55657682,3244571.07377529,365343.660288339,2286151.1369732,1508387.91985253,1652431.27605633,1990445.03532231
FT_1.313_738.15172,MW_737.14444@RT_1.313,NA,C37 H25 N9 O5 P2,737.14444,738.15172,1.313,737.14539,NA,NA,NA,Full match,No results,No results,0,0,4542754.94726009,5372513.63352406,6273203.94199032,4932225.26310199,5571638.24720954,5049686.1642802,6080025.93970494,5648704.67886808,4151028.97730507,5915325.75630433,5796349.60892161,4161743.03028268,4983738.79708272,5315551.50670254,4942831.22981601,2548528.20597223,5936777.66133588,3258859.07599453,4220174.9128125,4583102.86436817,3523674.31361739,5263588.01438867,5646902.81167389,4632150.82060971,4942444.6540478,6184807.07850814,4202892.62776271,4863046.59646315,6070482.73923188,6978505.54274223,5936641.72417673,5217560.83488585
FT_0.981_734.81146,MW_733.80418@RT_0.981,NA,C14 H5 N6 O18 P3 S3,733.80418,734.81146,0.981,733.80353,NA,NA,NA,Full match,No results,No results,0,0,3439060.74663292,1910973.92878791,4711842.66849626,538565.808272779,9890457.83716707,1526910.65213254,3213276.65682859,4631186.27012295,5272251.63185452,1224839.98150077,4422184.08017161,4915211.45800507,5702789.923778,3310341.73794981,3018388.58798005,1580613.31896307,7212007.79556385,3626034.0839517,5535407.58104736,2229195.9410566,2327675.60379461,5616384.69593302,5130783.99966629,2738728.83689857,1017578.4334207,3211090.02986142,3795287.6930156,2235163.10348779,1044352.63538011,696079.000614742,2756662.97434368,3445443.19599559
FT_1.313_734.15675,MW_733.14948@RT_1.313,NA,C29 H31 N7 O12 S2,733.14948,734.15675,1.313,733.14721,NA,NA,NA,Full match,No results,No results,0,0,2506371.88728503,3401310.44269049,2794025.24220001,2854575.57483953,2823135.589444,3835207.68219397,3263145.44116755,3316824.99696464,2233596.25390756,3094946.69616845,3114570.19767692,2678147.97891873,2162924.37928969,2840975.86117184,2594307.09795524,2007940.49597399,2437997.95016487,2410367.60259231,2294456.79270904,2125961.74327008,2708281.69200698,2628064.54500822,2444316.28531583,2522042.90410363,2853460.39674479,3235833.53045713,2671794.69334904,2735121.01161023,3588648.50783089,3275531.35911555,3138452.84705708,2931385.37880241
FT_0.986_730.72001,MW_729.71273@RT_0.986,NA,C18 H2 Cl O16 P3 S4,729.71273,730.72001,0.986,729.7127,NA,NA,NA,Full match,No results,No results,0,0,168578.765773912,1356544.05352894,122434.653587304,5069100.61990325,160527.048382588,2762948.4703381,166257.470182229,123840.611819946,129987.059166992,2205938.90678693,189038.166202604,97642.3202394655,135288.776090843,433807.841848763,97837.0706700775,131309.32178082,139384.628674918,107490.674624397,89873.862816892,96221.1023483337,120843.618443131,108248.18755347,174695.346310678,78690.9970695309,979362.235915567,214294.031243393,132286.915176422,77033.2921922321,2017862.37245127,2895183.86147384,66031.1436427623,89332.0173779237
FT_1.314_729.15677,MW_728.14950@RT_1.314,NA,C21 H34 N10 O13 P2 S,728.1495,729.15677,1.314,728.15027,NA,NA,NA,Full match,No results,No results,0,0,4077941.76512603,4589946.99746962,4145778.32795109,5128098.92880084,3807358.3837697,5289463.55231108,5164804.46918494,4945581.39577631,3160036.27847584,3847677.29603887,3969564.41918512,3442560.79360481,4187776.55961684,3975237.32939849,3194812.22606825,2562895.71102874,4026080.26597926,2864300.69183118,3352920.48632239,3097240.1234738,2691469.20218713,3286126.3545284998,2959204.96011942,3491403.08579974,4012750.87710229,5069902.61264426,3464907.29450489,4307887.60378332,4961936.97421406,5031534.72565336,4336285.03650296,4104002.65117046
