parent_ft,fragments
FT_1.125_357.06183,FT_1.124_357.06182
FT_1.344_495.16626,FT_1.343_409.12946
FT_1.384_321.09819,FT_1.382_321.09818
FT_1.387_357.13459,FT_1.387_357.13457; FT_1.387_357.13457
FT_1.453_441.11948,FT_1.453_209.04535; FT_1.453_209.04533; FT_1.453_209.04535; FT_1.453_209.04533; FT_1.453_209.04535; FT_1.453_209.04533
FT_1.463_401.19727,FT_1.465_401.19725; FT_1.465_401.19725
FT_1.475_337.09346,FT_1.470_337.09344
FT_1.601_209.04540,FT_1.601_165.05563
FT_1.628_337.12961,FT_1.628_251.09246; FT_1.601_209.04540; FT_1.601_165.05563; FT_1.628_251.09246; FT_1.640_223.02477; FT_1.640_151.03998; FT_1.628_251.09246
FT_1.646_513.14088,FT_1.654_513.14081; FT_1.640_223.02477; FT_1.640_151.03998; FT_1.654_513.14081; FT_1.654_513.14081; FT_1.640_223.02477; FT_1.640_151.03998; FT_1.654_513.14081; FT_1.628_251.09246; FT_1.640_223.02477; FT_1.640_151.03998; FT_1.654_513.14081; FT_1.640_223.02477; FT_1.640_151.03998; FT_1.654_513.14081; FT_1.654_513.14081; FT_1.654_513.14081; FT_1.640_223.02477; FT_1.640_151.03998; FT_1.654_513.14081; FT_1.640_223.02477; FT_1.640_151.03998
FT_1.678_295.08240,FT_1.682_237.04043; FT_1.681_237.04042
FT_1.978_157.05057,FT_1.978_113.06086
FT_12.130_267.07223,FT_12.130_267.07221
FT_14.755_500.91975,FT_14.754_386.93952; FT_14.756_272.95894; FT_14.760_158.97849; FT_14.760_130.98372; FT_14.754_114.98873; FT_14.754_386.93952; FT_14.756_272.95894; FT_14.754_114.98873; FT_14.754_386.93952; FT_14.756_272.95894; FT_14.760_158.97849; FT_14.760_130.98372; FT_14.754_114.98873
FT_14.759_160.97604,FT_14.760_130.98372
FT_14.984_259.83946,FT_14.984_179.88246
FT_16.005_564.82986,FT_16.005_434.87212; FT_16.005_304.91409
FT_2.475_295.08237,FT_2.474_209.04539
FT_2.623_269.06672,FT_2.626_183.02982
FT_2.893_242.07043,FT_2.892_182.04925
FT_3.855_594.16781,FT_3.855_411.11151; FT_3.854_228.05468; FT_3.855_168.03357
FT_6.178_335.06127,FT_6.179_267.07353
FT_6.564_226.07544,FT_6.565_166.05427
FT_7.117_212.05976,FT_7.117_152.03873
FT_7.677_632.72756,FT_7.682_380.84388; FT_7.681_296.88234; FT_7.682_128.95964; FT_7.681_296.88234
