parent_ft,fragments
FT_0.890_474.83348,FT_0.893_362.88615; FT_0.892_344.87556; FT_0.892_232.92815; FT_0.892_214.91758; FT_0.891_102.97023; FT_0.891_84.95972; FT_0.893_362.88615; FT_0.892_344.87556; FT_0.892_232.92815; FT_0.892_214.91758; FT_0.891_102.97023; FT_0.891_84.95972
FT_0.982_770.85085,FT_0.980_702.86358; FT_0.981_634.87626; FT_0.981_566.88882; FT_0.980_498.90137; FT_0.980_430.91383; FT_0.980_362.92643; FT_0.981_294.93894; FT_0.979_226.95148; FT_0.980_702.86358; FT_0.981_634.87626; FT_0.981_566.88882; FT_0.980_498.90137; FT_0.980_430.91383; FT_0.980_362.92643; FT_0.981_294.93894; FT_0.979_226.95148
FT_1.386_218.14992,FT_1.385_218.14991
FT_1.413_522.20300,FT_1.408_145.04956; FT_1.411_85.02843; FT_1.408_145.04956; FT_1.411_85.02843
FT_10.719_396.08792,FT_10.718_316.13104
FT_11.592_167.10668,FT_11.593_121.10112
FT_12.220_269.10198,FT_12.217_251.09140
FT_12.928_299.11251,FT_12.926_281.10194
FT_18.102_347.22175,FT_18.105_329.21117; FT_18.104_311.20059; FT_18.104_311.20059
FT_18.105_329.21117,FT_18.104_311.20059
FT_3.589_132.10187,FT_3.589_86.09644
FT_3.874_132.10187,FT_3.875_86.09645
FT_4.181_267.05877,FT_4.191_267.05875
FT_5.996_504.19243,FT_5.997_219.08631
FT_6.845_166.08628,FT_6.846_120.08072
FT_8.704_247.14409,FT_8.706_188.07061
FT_8.916_206.17504,FT_8.916_188.16452
