FeatureID,Name,Formula,Calc. MW,# mzCloud Results,# mzVault Results,Potential_fragment,Other_match_from_CD,Notes,Name_mzvault_red,Mzcloud_Comment
FT_1.123_413.12472,Curcumin,C21 H20 O6,368.12641,1,1,NA,,good,,
FT_1.213_165.05561,Acetovanillone,C9 H10 O3,166.06289,5,1,NA,,good,,
FT_1.230_285.20715,Hexadecanedioic acid,C16 H30 O4,286.21443,2,1,NA,,good,,
FT_1.242_161.02436,Umbelliferone,C9 H6 O3,162.03164,3,1,NA,,good,,
FT_1.446_195.06632,Hydroferulic acid,C10 H12 O4,196.07359,1,1,NA,,good,,
FT_1.462_165.05558,3-(3-Hydroxyphenyl)propionic Acid,C9 H10 O3,166.06287,2,2,NA,3-(4-Hydroxyphenyl)propionic Acid,good,,
FT_1.488_193.05073,Ferulic acid,C10 H10 O4,194.05809,2,1,NA,,"good, low intesity",,
FT_1.579_173.08198,Suberic acid,C8 H14 O4,174.08926,1,1,NA,,good,,
FT_1.640_151.03998,4-Acetylresorcinol,C8 H8 O3,152.04726,10,1,NA,,good,,
FT_1.654_179.03496,Caffeic acid,C9 H8 O4,180.04224,4,1,NA,,good,,
FT_1.671_167.03488,Vanillic acid,C8 H8 O4,168.04218,9,2,NA,5-Methoxysalicylic acid,good,,
FT_1.676_165.05559,Acetovanillone,C9 H10 O3,166.06289,6,1,NA,,good,,
FT_1.691_197.04576,Syringic acid,C9 H10 O5,198.05304,1,1,NA,,good,,
FT_1.848_115.00373,Maleic acid,C4 H4 O4,116.011,2,1,NA,,good,,
FT_11.142_341.10896,Sucrose,C12 H22 O11,342.11634,4,1,NA,,good,,
FT_11.959_387.11469,alpha-D-Lactose,C12 H22 O11,388.12197,2,2,NA,,"incorrect addcut, 46 Da",,
FT_12.049_146.04593,D-Glutamic acid,C5 H9 N O4,147.05321,4,2,NA,,good,,
FT_12.101_387.11469,D-(+)-Turanose,C12 H22 O11,388.12197,3,2,NA,,"incorrect addcut, 46 Da",,
FT_14.984_259.83946,O-Phospho-L-tyrosine,C9 H12 N O6 P,260.84674,0,1,NA,,check,yes,
FT_2.051_115.04012,Levulinic acid,C5 H8 O3,116.04739,0,1,NA,,good,,
FT_2.246_103.04010,3-hydroxybutyric acid,C4 H8 O3,104.04738,1,1,NA,,isomer 1,,
FT_2.491_103.04008,3-hydroxybutyric acid,C4 H8 O3,104.04736,2,1,NA,,isomer 2,,
FT_2.673_131.03504,2-Methylsuccinic acid,C5 H8 O4,132.04232,3,2,NA,,good,,
FT_3.028_103.04009,2-Methyllactic acid,C4 H8 O3,104.04737,2,1,NA,,good,,
FT_3.331_134.04729,Adenine,C5 H5 N5,135.05456,1,1,NA,,good,,
FT_3.571_117.01938,Succinic acid,C4 H6 O4,118.02666,3,1,NA,,good,,
FT_3.966_243.06218,Uridine,C9 H12 N2 O6,244.06952,1,1,NA,,good,,
FT_4.385_251.07857,2'-Deoxyinosine,C10 H12 N4 O4,252.08585,1,1,NA,,good,,
FT_4.979_157.03665,Allantoin,C4 H6 N4 O3,158.04393,0,1,NA,,good,,
FT_6.179_267.07353,Inosine,C10 H12 N4 O5,268.08081,0,1,fragment,,"good, not fragment",,
FT_6.765_266.08957,2-Deoxyguanosine,C10 H13 N5 O4,267.09685,1,1,NA,,good,,
FT_7.666_266.08821,N-Acetyl-D-mannosamine,C8 H15 N O6,267.09549,1,1,NA,,"good, incorrect adduct , 46 Da",,
FT_7.835_141.03065,5-(Hydroxymethyl)uracil,C5 H6 N2 O3,142.03792,1,1,NA,,good,,
FT_8.842_181.07172,Mannitol,C6 H14 O6,182.079,3,3,NA,,isomer 1,,
FT_9.044_181.07173,Mannitol,C6 H14 O6,182.079,3,3,NA,,isomer 2,,
