FeatureID,Name,Formula,Notes,Action_decision,Other_mzcloud_match,Sirus_notes,Sirius_formula,Correlation_duplicated annotations,Final_decision
FT_1.671_197.08239,(-)-Camphanic acid,C10 H14 O4,low quality peak,,,,,,delete
FT_1.543_171.06627,(-)-Corey lactone,C8 H12 O4,good,,,,,,L2
FT_1.371_329.23370,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",C18 H34 O5,good,,,,,,L2
FT_1.579_427.13995,"(2-{(1R,9S)-3-[4-(Methylsulfanyl)phenyl]-6-oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-11-yl}-2-oxoethoxy)acetic acid",C22 H24 N2 O5 S,good,,,,,,L2
FT_1.359_315.16031,"(2'R,3R,4'R,4a'R,5S,8a'S)-5-(3-Furyl)-4'-hydroxy-4a',5'-bis(hydroxymethyl)-2'-methyl-3',4,4',4a',5,7',8',8a'-octahydro-2'H-spiro[furan-3,1'-naphthalen]-2-one",C20 H26 O6,low quality peak,delete,,,,,delete
FT_1.454_361.16595,"(2'R,3R,4'R,4a'R,5S,8a'S)-5-(3-Furyl)-4'-hydroxy-4a',5'-bis(hydroxymethyl)-2'-methyl-3',4,4',4a',5,7',8',8a'-octahydro-2'H-spiro[furan-3,1'-naphthalen]-2-one",C20 H26 O6,low quality peak,delete,,,,,delete
FT_1.645_361.16592,"(2'R,3R,4'R,4a'R,5S,8a'S)-5-(3-Furyl)-4'-hydroxy-4a',5'-bis(hydroxymethyl)-2'-methyl-3',4,4',4a',5,7',8',8a'-octahydro-2'H-spiro[furan-3,1'-naphthalen]-2-one",C20 H26 O6,low quality peak,delete,,,,,delete
FT_1.378_387.21788,"2,4-dihydroxy-3-[(E)-4-hydroxy-3-methyl-5-(1,2,6-trimethyl-3-oxocyclohexyl)pent-2-enyl]-6-methylbenzaldehyde",C23H3O5,halogenated,keep sirius,,"2,4-dihydroxy-3-[(E)-4-hydroxy-3-methyl-5-(1,2,6-trimethyl-3-oxocyclohexyl)pent-2-enyl]-6-methylbenzaldehyde",C23H3O5,,L3.3
FT_1.190_311.22297,(±)9-HpODE,C18 H32 O4,good,isomer,,,,,L2
FT_1.287_311.22294,(±)9-HpODE,C18 H32 O4,good,isomer,,,,,L2
FT_1.436_301.10824,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",C17 H18 O5,good,isomer,,,,isomer,L2
FT_1.604_301.10818,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one",C17 H18 O5,good,isomer,,,,isomer,L2
FT_1.096_411.14524,dalpanol,C23H24O7,"halogenated, isomer",keep sirius,,dalpanol,C23H24O7,0,L3.3
FT_1.208_411.14507,dalpanol,C23H24O7,"halogenated, isomer",keep sirius,,dalpanol,C23H24O7,0,L3.3
FT_3.599_359.13489,"1-(beta-D-Glucopyranosyloxy)-7-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylic acid",C16 H24 O9,"fill spectral noise, low quality",,,,,0,delete
FT_1.380_185.08194,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9 H14 O4,isomer,,,,,isomer,L2
FT_1.572_185.08197,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9 H14 O4,isomer,,,,,isomer,L2
FT_1.827_185.08198,1-(Carboxymethyl)cyclohexanecarboxylic acid,C9 H14 O4,isomer,,,,,isomer,L2
FT_17.118_421.07555,"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside",C19 H18 O11,low quality,,,,,0,L2
FT_1.347_327.12404,10-(4-Sulfophenyl) decanoic acid,C16 H24 O5 S,"isomer, -9 ppm adduct",,,,,"isomer, -9 ppm adduct",L2
FT_1.448_327.12395,10-(4-Sulfophenyl) decanoic acid,C16 H24 O5 S,"isomer, -9 ppm adduct",,,,,"isomer, -9 ppm adduct",L2
FT_1.224_347.18649,11-keto Testosterone (CRM),C19 H26 O3,,high correlation,,,,0,DELETE
FT_1.309_301.18105,11-keto Testosterone (CRM),C19 H26 O3,"isomer, low quality",,,,,isomer,DELETE
FT_1.358_347.18661,11-keto Testosterone (CRM),C19 H26 O3,"isomer, low quality",,,,,isomer,DELETE
FT_1.615_347.18650,11-keto Testosterone (CRM),C19 H26 O3,"isomer, low quality",high correlation,,,,0,DELETE
FT_1.156_271.22795,16-Hydroxyhexadecanoic acid,C16 H32 O3,good,,,,,0,L2
FT_1.171_331.19173,19(R)-Hydroxy prostaglandin A2,C20 H30 O5,adduct -18DA,"low confidence, keep CD",,,,0,L2
FT_1.477_179.07139,2'-Hydroxy-4'-methoxypropiophenone,C10H12O3,adduct -18DA,keep sirius,,2'-Hydroxy-4'-methoxypropiophenone,,0,L3.3
FT_1.127_463.14008,"2-(1-naphthylmethylidene)-1,2,3,4-tetrahydronaphthalen-1-one 1-(2,4-dinitrophenyl)hydrazone",C27 H20 N4 O4,,"low confidence, keep CD",,,,0,L2
FT_1.602_353.06673,6-acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone,C19H14O7,"adduct 9.07 ppm, not good match",keep sirius,,6-acetoxy-7-acetyl-1-hydroxy-3-methoxyanthraquinone,,0,L3.3
FT_1.672_381.19226,"2-[(2S,3R,4S,5R)-3,4-Dihydroxy-5-{[(isopropylcarbamoyl)amino]methyl}tetrahydro-2-furanyl]-N-[2-(dimethylamino)ethyl]acetamide",C15 H30 N4 O5,adduct 36 DA,"low confidence, keep CD",,,,0,L2
FT_2.353_195.06628,2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid,C10 H12 O4,middle quality peak,"low confidence, keep CD",,,,0,L2
FT_1.512_195.03001,Haematommic Acid,C9H8O5,halogenated,keep sirius,,Haematommic Acid,C9H8O5,0,L3.3
FT_1.206_329.17611,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",C20 H26 O4,,"low confidence, keep CD",,,,0,L2
FT_1.306_329.17608,"3,3'-Diisopropyl-6,6'-dimethyl-2,2',5,5'-biphenyltetrol",C20 H26 O4,,"low confidence, keep CD",,,,0,L2
FT_14.029_549.16735,melitose,C18H32O16,isomer,keep sirius,,melitose,C18H32O16,isomer,L3.3
FT_14.225_549.16739,"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",C25 H28 O11,DELETE,,,,,DELETE,DELETE
FT_14.255_549.16737,melitose,C18H32O16,isomer,keep sirius,,melitose,C18H32O16,isomer,L3.3
FT_1.273_283.06127,3-{[2-(3-Cyano-2-pyridinyl)hydrazino]carbonyl}-2-pyrazinecarboxylic acid,C12 H8 N6 O3,,"low confidence, keep CD",,,,0,L2
FT_1.844_117.05577,3-Hydroxyvaleric acid,C5 H10 O3,,,,,,0,L2
FT_1.940_117.05577,3-Hydroxyvaleric acid,C5 H10 O3,,,,,,0,L2
