FeatureID,Formula_CD,Potential_fragment,Formula_sirius,cd_vs_sirius,Notes_name,Sirius_structure_percentage,Final_name,Keep_formula,use_Sirius_class,Final_annotation_comment
FT_0.995_562.01218,C18 H28 Cl N O7 P2 S3,NA,NA,FALSE,,,no name,no formula,,L5
FT_1.286_373.09303,C12 H17 N4 O5 P,NA,C18 H16 O6,FALSE,na,na,na,C18 H16 O6,yes,L4.3
FT_1.363_295.08239,C14 H18 S2,NA,C13 H14 O5,FALSE,na,na,na,C13 H14 O5,yes,L4.3
FT_1.664_349.09316,C9 H16 N6 O4 S,NA,C16 H16 O6,FALSE,na,na,na,C16 H16 O6,yes,L4.3
FT_1.011_413.08803,C21 H18 O9,NA,C21 H18 O9,TRUE,na,na,na,C21 H18 O9,yes,L4.1
FT_1.031_493.18711,C28 H30 O8,NA,C28 H30 O8,TRUE,na,na,na,C28 H30 O8,yes,L4.1
FT_1.048_439.10385,C25 H20 N4 S2,NA,NA,FALSE,,,no name,C25 H20 N4 S2,,L4.3
FT_1.075_491.20777,C22 H32 N6 O5 S,NA,C29 H32 O7,FALSE,na,na,na,C29 H32 O7,yes,L4.3
FT_1.077_369.06179,C20 H10 N4 O4,NA,C19 H14 O8,FALSE,na,na,na,C19 H14 O8,yes,L4.3
FT_1.076_683.21263,C38 H36 O12,NA,C34 H40 N2 O9 S2,FALSE,na,na,na,na,na,delete
FT_1.077_441.15573,C25 H22 N4 O4,NA,C24 H26 O8,FALSE,na,na,na,C24 H26 O8,yes,L4.3
FT_1.081_643.25445,C37 H40 O10,NA,C36 H40 N2 O9,FALSE,na,na,na,C36 H40 N2 O9,yes,L4.3
FT_1.079_559.23376,C33 H36 O8,NA,NA,FALSE,,,no name,C33 H36 O8,,L4.3
FT_1.081_563.26479,C33 H40 O8,NA,NA,FALSE,,,no name,C33 H40 O8,,L4.3
FT_1.082_643.21822,C30 H37 N4 O10 P,NA,C36 H36 O11,FALSE,na,na,na,C36 H36 O11,yes,L4.3
FT_1.087_511.12488,C15 H30 N8 O4 P2 S2,NA,C26 H24 O11,FALSE,na,na,na,C26 H24 O11,yes,L4.3
FT_1.084_545.21901,C32 H34 O8,NA,C32 H34 O8,TRUE,na,na,na,C32 H34 O8,yes,L4.1
FT_1.084_613.24386,C29 H43 O12 P,NA,NA,FALSE,,,no name,C29 H43 O12 P,,L4.3
FT_1.085_503.20768,C34 H34 P2,NA,NA,FALSE,,,no name,C34 H34 P2,,L4.3
FT_1.086_611.19164,C29 H43 O6 P3 S,NA,C35 H32 O10,FALSE,na,na,na,na,na,delete
FT_1.087_585.21275,C35 H30 N4 O5,NA,C34 H34 O9,FALSE,na,na,na,C34 H34 O9,yes,L4.3
FT_1.087_665.23867,C32 H43 O13 P,NA,C32 H42 O15,FALSE,na,na,na,C32 H42 O15,yes,L4.3
FT_1.087_629.27465,C37 H42 O9,NA,C37 H42 O9,TRUE,na,na,na,na,na,delete
FT_1.093_727.20194,C32 H41 O17 P,NA,C39 H36 O14,FALSE,na,na,na,C39 H36 O14,yes,L4.3
FT_1.088_445.09327,C29 H20 O P2,NA,NA,FALSE,,,no name,C29 H20 O P2,,L4.3
FT_1.088_629.20191,C41 H31 N2 O3 P,NA,NA,FALSE,,,,,,delete
FT_1.089_395.11395,C22 H20 O7,NA,C22 H20 O7,TRUE,na,na,na,C22 H20 O7,yes,L4.1
FT_1.089_543.20250,C32 H32 O8,NA,C32 H32 O8,TRUE,na,na,na,C32 H32 O8,yes,L4.1
FT_1.092_517.22371,C20 H40 N8 P2 S2,NA,NA,FALSE,,,no name,C20 H40 N8 P2 S2,,L4.3
FT_1.092_537.17725,C29 H30 O10,NA,C22 H34 O15,TRUE,na,na,na,C22 H34 O15,yes,L4.1
FT_1.094_439.17657,C19 H29 N4 O6 P,NA,C25 H28 O7,FALSE,na,na,na,C25 H28 O7,yes,L4.3
FT_1.100_455.17151,C26 H24 N4 O4,NA,C25 H28 O8,FALSE,na,na,na,C25 H28 O8,yes,L4.3
FT_1.094_479.20668,C28 H32 O7,NA,C28 H32 O7,TRUE,na,na,na,C28 H32 O7,yes,L4.1
FT_1.094_531.23896,C15 H37 N10 O9 P,NA,NA,FALSE,,,no name,C15 H37 N10 O9 P,,L4.3
FT_1.096_455.17156,C24 H26 O6,NA,C24 H26 O6,TRUE,na,na,na,C24 H26 O6,yes,L4.1
FT_1.096_497.21822,C27 H32 O6,NA,C27 H32 O6,TRUE,na,na,na,C27 H32 O6,yes,L4.1
FT_1.097_497.21815,C28 H34 O8,NA,C28 H34 O8,TRUE,na,na,na,C28 H34 O8,yes,L4.1
