FeatureID,Name,Formula,Calc. MW,# mzCloud Results,# mzVault Results,Potential_fragment,Other_match_from_CD,Notes,Name_mzvault_red,Mzcloud_Comment,Sirius-name,Sirius_percentage,Final_decision
FT_1.012_175.11897,D-Arginine,C6 H14 N4 O2,174.11169,2,2,NA,L-Arginine,good,0,0,0,0,L1
FT_1.074_104.10696,Choline,C5 H13 N O,103.09968,1,1,NA,0,good,0,0,0,0,L1
FT_1.080_106.04983,D-Serine,C3 H7 N O3,105.04255,3,2,NA,L-Serine,good,0,0,0,0,L1
FT_1.090_133.06074,D-Asparagine,C4 H8 N2 O3,132.05347,1,2,NA,L-Asparagine,good,0,0,0,0,L1
FT_1.100_365.10547,Sucrose,C12 H22 O11,342.11628,5,1,NA,0,good,0,0,0,0,L1
FT_1.103_365.10547,Sucrose,C12 H22 O11,364.09819,5,1,NA,0,adduct 22 Da,Sucrose,maltose,Maltose,93.79,L1
FT_1.106_134.04476,D-Aspartic acid,C4 H7 N O4,133.03749,2,2,NA,L-Aspartic acid,good,0,0,0,0,L1
FT_1.106_90.05498,Sarcosine,C3 H7 N O2,89.0477,3,3,NA,L-Alanine,good,0,0,0,0,L1
FT_1.112_104.07058,γ-Aminobutyric acid,C4 H9 N O2,86.03677,1,1,NA,0,adduct -17 Da,?-Aminobutyric acid,"?-Aminobutyric acid, NH4 adduct",gamma-aminobutyric acid,98.88,L1
FT_1.112_147.07644,L-Glutamine,C5 H10 N2 O3,129.0426,3,2,NA,0,adduct -17 Da,"L-Glutamine, D-Glutamine","L-Glutamine, D-Glutamine, NH4 adduct",D-Glutamine,100,L1
FT_1.112_360.15017,Maltose,C12 H22 O11,359.14289,1,7,NA,0,delete,"Maltose, alpha-D-Lactose",alpha_Lactose,NA,30,delete
FT_1.124_522.20317,D-Melezitose,C18 H32 O16,521.19589,1,3,NA,0,adduct -17 Da,"D-Melezitose, D-Raffinose",D-Raffinose,NA,63.14,L1
FT_1.135_120.06548,D-Threonine,C4 H9 N O3,119.0582,4,4,NA,"L-Threoine, O-Methyl-L-serine",good,0,0,0,0,L1
FT_1.141_162.11250,L-Carnitine,C7 H15 N O3,161.10522,3,1,NA,0,good,0,0,0,0,L1
