FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Action_decision,Sirus_notes,Sirius_percentage,Sirius_name,Sirius_formula,CMMRT_name,CMMRT_formula,Correlation_duplicated annotations,Final_name,Final_formula,Final_decision
FT_0.985_380.09553,"(2R)-7-Methoxy-3-oxo-3,4-dihydro-2H-1,4-benzoxazin-2-yl β-D-glucopyranoside",C15 H19 N O9,357.10598,379.08825,1,0,91.7,NA,NA,"Adduct 21.98 DA, bad match",L2,no result,na,na,na,Toxin B1,C10H17N7O7S,na,Toxin B1,C10H17N7O7S,L3.3
FT_1.068_150.11249,Triethanolamine,C6 H15 N O3,149.10519,149.10522,1,0,99.2,D00215,NA,"Lab-use synthetic compound, likely contaminant",keep formula only,na,na,na,na,na,na,na,no name,C6 H15 N O3,L4.3
FT_1.097_208.11789,Miglitol,C8 H17 N O5,207.11067,207.11061,1,0,84.1,C07708,NA,"Drug, likely contaminant",keep formula only,na,na,na,na,na,na,na,no name,C8 H17 N O5,L4.3
FT_1.107_527.15854,D-Raffinose,C18 H32 O16,504.16903,526.15127,3,0,88.2,NA,NA,"Adduct 21.98, duplicated",check with sirius,0,na,na,na,na,na,na,D-Raffinose,C18 H32 O16,L2
FT_1.125_423.08999,"5-hydroxy-6,8-dimethoxy-7-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H-chromen-2-one",C17 H20 O11,400.10056,422.08271,1,0,61.4,NA,NA,Adduct 21.98 DA,L2,na,na,na,na,na,na,na,"5-hydroxy-6,8-dimethoxy-7-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H-chromen-2-one",C17 H20 O11,L2
FT_1.177_180.08671,3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,162.05282,162.05288,2,0,61.2,NA,NA,L2,L2,na,na,na,na,na,na,na,3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,L2
FT_1.187_183.08644,Dulcitol,C6 H14 O6,182.07904,182.0791,1,0,69.6,C01697,NA,"L2, bad match",L2,na,na,na,na,Hexitol,C6H14O6,na,Dulcitol,C6 H14 O6,L2
FT_1.202_166.05326,Methionine sulfoxide,C5 H11 N O3 S,165.04596,165.04598,2,0,97.8,NA,NA,L2,L2,na,na,na,na,na,na,na,Methionine sulfoxide,C5 H11 N O3 S,L2
FT_1.228_196.06391,Triethylenephosphoramide,C6 H12 N3 O P,173.0718,195.05663,2,0,75.3,NA,NA,"Lab-use synthetic compound, likely contaminant",check with sirius,low confidence,na,na,na,na,na,na,no name,no formula,L5
FT_1.229_182.08459,2-Hydroxyphenylalanine,C9 H11 N O3,181.07389,181.07731,2,0,70.5,NA,NA,"Lab-use synthetic compound, likely contaminant",check with sirius,keep sirius,75.2,"AMMONIUM, TRIMETHYL(3-SULFOPROPYL)-, HYDROXIDE, inner salt",C6H15NO3S,na,na,na,no name,C6H15NO3S,L4.3
FT_1.236_106.04984,D-Serine,C3 H7 N O3,105.04259,105.04257,2,0,86.4,C00740,NA,L2,check with sirius,same annotation,na,na,na,na,na,na,D-Serine,C3 H7 N O3,L2
FT_1.237_290.08472,2-morpholinophenyl 2-thiophenecarboxylate,C15 H15 N O3 S,289.07726,289.07744,2,0,85.9,NA,NA,bad match,check with sirius,no result,na,na,na,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C11H15NO8,na,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C11H15NO8,L3.3
FT_1.242_452.13762,"N-[(1R,9R)-6-Oxo-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-5-yl]-2-pyrazinecarboxamide",C22 H21 N5 O4 S,451.13142,429.14841,1,0,73.4,NA,NA,"Adduct -21.98 DA, bad match",check with sirius,low confidence,69.37,O-(2-O-Mannopyranosyl-mannopyranosyl)serine,C15H27NO13,na,na,na,O-(2-O-Mannopyranosyl-mannopyranosyl)serine,C15H27NO13,L3.3
FT_1.251_162.07613,2-Aminoadipic acid,C6 H11 N O4,161.06881,161.06885,2,0,89.9,C00956,NA,L2,L2,na,na,na,na,na,na,na,2-Aminoadipic acid,C6 H11 N O4,L2
FT_1.257_278.08058,NP-019509,C15 H13 N O3,255.08954,277.0733,1,0,66.5,NA,NA,"Adduct 21.98 DA, bad match",check with sirius,low confidence,na,na,na,na,na,na,NP-019509,C15 H13 N O3,L2
FT_1.280_146.08119,NP-022231,C6 H13 N O4,163.08446,145.07392,1,0,62.4,NA,NA,Adduct -18.010 DA,L2,0,,na,na,na,na,na,NP-022231,C6 H13 N O4,L2
FT_1.295_173.09210,Prolylglycine,C7 H12 N2 O3,172.08479,172.08483,2,0,78.2,NA,NA,L2,L2,same name,na,na,na,na,na,na,Prolylglycine,C7 H12 N2 O3,L2
FT_1.309_127.03898,Phloroglucinol,C6 H6 O3,126.03169,126.03171,6,0,82.5,C02183,NA,L2,L2,na,na,na,na,na,na,na,Phloroglucinol,C6 H6 O3,L2
