FeatureID,Name,Formula,Annotation MW,Calc. MW,# mzCloud Results,# mzVault Results,mzCloud Best Match,KEGG ID,Potential_fragment,Notes,Sirus_formula,Sirius_structure_match,Sirius_name,CMMRT_notes,Features_duplicated_correlation_checkpoint,Final_names,Final_formula,Final_decision
FT_1.303_145.04952,"[Similar to: (2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(2-phenylethoxy)oxane-3,4,5-triol; ΔMass: -140.0837 Da]",C6 H8 O4,144.04226,144.04228,12,0,NA,NA,NA,"Formula from CD predicted compositions, same formula CD sirius cmmrt",C6H8O4,34.96,,"same formula, different structures",,Dimethyl maleate,C6H8O4,L3.3
FT_1.349_505.14323,[Similar to: 1-O-(28-Oxo-3-{[pentopyranosyl-(1-2)pentopyranosyl-(1-6)-2-acetamido-2-deoxyhexopyranosyl]oxy}olean-12-en-28-yl)hexopyranose; ΔMass: -581.4411 Da],C18 H24 N4 O13,504.13399,504.13597,1,0,NA,NA,NA,"Formula from CD predicted compositions, keep sirius",C16H29N2O14P,84.56,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc,no results,,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc,C16H29N2O14P,L3.3
FT_1.525_448.16618,[Similar to: α-Lactose; ΔMass: 105.0427 Da],C15 H29 N O14,447.1588,447.15891,1,0,NA,NA,NA,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_1.786_448.16613,[Similar to: D-(+)-Glucose; ΔMass: 267.0955 Da],C15 H29 N O14,447.1588,447.15886,2,0,NA,NA,NA,"Formula from CD predicted compositions, low match sirius",C23H21N5O6,40,"[2-({4-[(2-amino-4-oxo-4,7-dihydro-3H-pyrrolo[2,3-d]pyrimidin-5-yl)methyl]benzene-1-carbonyl}amino)-4-methoxyphenyl]acetic acid",no results,,no name,C23H21N5O6,L4.3
FT_10.754_121.10111,[Similar to: NP-018711; ΔMass: -144.0423 Da],C9 H12,120.0939,120.09384,1,0,NA,NA,NA,"same predictions in Sirius, low match, formula from predicted CD",C9H12,<50,,match sirius and cmmrt,"FT_11.593_121.10112, >0.9",Cumene,C9H12,L3.1
FT_10.767_107.08546,"[Similar to: 6-{[(6-Methoxy-2-morpholinopyridin-3-yl)amino]carbonyl}-3,4-dimethylcyclohex-3-ene-1-carboxylic acid; ΔMass: -283.1169 Da]",C8 H10,106.07825,106.07818,14,0,NA,NA,NA,delete,delete,delete,delete,delete,delete,delete,delete,delete
FT_10.898_121.10112,[Similar to: NP-003241; ΔMass: -408.1268 Da],C9 H12,120.0939,120.09384,4,0,NA,NA,NA,"same predictions in Sirius, low match, formula from predicted CD",C9H12,<50,,match sirius and cmmrt,,Cumene,C9H12,L3.1
FT_10.900_107.08547,"[Similar to: 3,4-Dimethylbenzoic acid; ΔMass: -43.9899 Da]",C8 H10,106.07825,106.07819,19,0,NA,NA,NA,"Formula from CD predicted compositions, keep sirius, match with CMMRT",C8H10,47.69,ethylbenzene,match sirius and cmmrt,,Ethylbenzene,C8H10,L3.1
FT_11.046_121.10112,[Similar to: NP-018711; ΔMass: -144.0423 Da],C9 H12,120.0939,120.09385,4,0,NA,NA,NA,delete,delete,delete,delete,delete,"FT_11.593_121.10112, >0.9",delete,delete,delete
FT_11.593_121.10112,[Similar to: NP-018711; ΔMass: -144.0423 Da],C9 H12,120.0939,120.09384,1,0,NA,NA,NA,"same predictions in Sirius, low match, formula from predicted CD",C9H12,<50,,match sirius and cmmrt,,Cumene,C9H12,L3.1
FT_12.554_121.10112,[Similar to: NP-019895; ΔMass: -384.1268 Da],C9 H12,120.0939,120.09384,3,0,NA,NA,NA,"same predictions in Sirius, low match, formula from predicted CD",C9H12,<50,,match sirius and cmmrt,,Cumene,C9H12,L3.1
FT_12.555_107.08547,"[Similar to: 6-{[(6-Methoxy-2-morpholinopyridin-3-yl)amino]carbonyl}-3,4-dimethylcyclohex-3-ene-1-carboxylic acid; ΔMass: -283.1169 Da]",C8 H10,106.07825,106.0782,16,0,NA,NA,NA,,C8H10,,,match sirius and cmmrt,,o-Xylene,C8H10,L3.1
FT_16.355_240.19580,"[Similar to: 1-O-[(2alpha,3beta,5xi,9xi,18xi)-2,3,19-Trihydroxy-28-oxours-12-en-28-yl]-beta-D-glucopyranose; ΔMass: -411.2145 Da]",C14 H25 N O2,239.18853,239.18852,1,0,NA,NA,NA,"Formula from CD predicted compositions, low match sirius",C14H25NO2,32.91,,no results,,no name,C14 H25 N O2,L4.3
FT_18.932_201.09101,[Similar to: Fusarenon-X; ΔMass: -154.0477 Da],C13 H12 O2,200.08373,200.08373,4,0,NA,NA,NA,"Formula from CD predicted compositions, same formula CD sirius",C13H12O2,70.56,1-Acetoxy-2-methylnaphthalene,"same formula, keep sirius",,1-Acetoxy-2-methylnaphthalene,C13H12O2,L3.3
FT_9.676_107.08547,"[Similar to: 6-{[(6-Methoxy-2-morpholinopyridin-3-yl)amino]carbonyl}-3,4-dimethylcyclohex-3-ene-1-carboxylic acid; ΔMass: -283.1169 Da]",C8 H10,106.07825,106.0782,12,0,NA,NA,NA,"Formula from CD predicted compositions, keep sirius",C8H10,53.23,2-xylene,"same formula, similar structures",,2-xylene,C8H10,L3.3
