FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_0.886_135.03210,C3 H7 N2 O2 P,NA,C2 H6 N4 O S,NA,NA,NA,FALSE,FALSE,FALSE,"low confidence, class gui",na,yes,no name,C3 H7 N2 O2 P,L4.3
FT_0.887_156.01426,C2 H5 N O7,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.888_286.95853,C4 H4 Cl N4 O7 P,NA,C2 H3 N6 O7 P S,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.888_442.87849,C16 H9 Cl O P2 S4,NA,C6 H9 N2 O9 P3 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C6 H9 N2 O9 P3 S3,L4.3
FT_0.889_147.01385,C4 H7 N2 P S,NA,C2 H2 N4 O4,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C2 H2 N4 O4,L4.3
FT_0.889_151.00876,C3 H7 N2 O P S,NA,C4 H8 O2 P2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C4 H8 O2 P2,L4.3
FT_0.889_199.94041,C2 H2 N O6 P S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C2 H2 N O6 P S,L4.3
FT_0.889_328.89801,C11 H5 O2 P S4,NA,C2 H7 N2 O7 P3 S2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C2 H7 N2 O7 P3 S2,L4.3
FT_0.889_346.90863,C10 H3 O8 P S2,NA,C3 H11 N2 O5 P S5,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C3 H11 N2 O5 P S5,L4.3
FT_0.889_458.85599,C6 H4 N8 O3 P2 S5,NA,C5 H8 N4 O7 P2 S5,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C5 H8 N4 O7 P2 S5,L4.3
FT_0.889_460.85312,C3 H5 N6 O9 P S5,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C3 H5 N6 O9 P S5,L4.3
FT_0.889_476.86690,C14 H2 N6 O2 P2 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C14 H2 N6 O2 P2 S4,L4.3
FT_0.889_572.83632,C25 H3 Cl N2 O P2 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.890_144.98083,C H4 O6 S,NA,C H6 O4 P2,C2 H6 ClO3 P,1.5365161,Ethephon,FALSE,FALSE,FALSE,na,na,yes,no name,C H6 O4 P2,L4.3
FT_0.890_248.97677,C3 H5 Cl N2 O9,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,"halogenated,unknown",L5
FT_0.890_312.92037,C4 H11 Cl N2 O2 P2 S3,NA,C5 H4 N4 O4 S4,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.890_330.89510,C4 H12 O3 P2 S5,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C4 H12 O3 P2 S5,L4.3
FT_0.890_330.93105,C12 H7 Cl O3 S3,NA,C3 H11 N2 O6 P S4,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C3 H11 N2 O6 P S4,L4.3
FT_0.890_398.90589,C11 H7 Cl O8 S3,NA,C6 H8 N O11 S4,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.891_110.00865,C H3 N O5,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C H3 N O5,L4.3
FT_0.891_121.01643,C3 H5 Cl N2 O,NA,C2 H5 N2 O2 P,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C2 H5 N2 O2 P,L4.3
FT_0.891_132.99816,C3 H5 N2 P S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C3 H5 N2 P S,L4.3
FT_0.891_198.94006,C3 H3 Cl N2 O2 S2,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,"halogenated,unknown",L5
FT_0.891_200.06168,C4 H14 N3 O2 P S,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,no name,na,na,no name,C4 H14 N3 O2 P S,L4.3
FT_0.891_214.98862,C3 H7 N2 O5 P S,NA,C3 H7 N2 O5 P S,NA,NA,NA,TRUE,FALSE,FALSE,na,na,yes,no name,C3 H7 N2 O5 P S,L4.3
FT_0.891_221.98196,C4 H5 N3 O4 P2,NA,C5 H7 N3 O S3,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.891_230.96632,C5 H10 Cl O2 P3,NA,C3 H7 N2 O4 P S2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C3 H7 N2 O4 P S2,L4.3
FT_0.891_241.99958,C5 H8 Cl N3 O4 S,NA,C4 H8 N3 O5 P S,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.892_214.91758,C H N2 O5 P3,NA,C2 H3 N2 O2 P S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C2 H3 N2 O2 P S3,L4.3
FT_0.892_218.98361,C3 H7 Cl N2 O5 S,NA,C3 H8 O7 P2,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C3 H8 O7 P2,L4.3
FT_0.892_232.92815,C H3 N2 O6 P3,NA,C6 H2 N O3 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C6 H2 N O3 S3,L4.3
FT_0.892_232.99927,C4 H9 Cl N2 O5 S,NA,C4 H10 O7 P2,NA,NA,NA,FALSE,FALSE,FALSE,"low confidence, class gui",na,yes,no name,C7H6NO6S,L4.3
FT_0.892_284.92547,C4 H4 Cl N4 O3 P3,NA,C5 H2 N O9 S2,NA,NA,NA,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.892_344.87556,C10 H3 O4 P3 S2,NA,C6 H4 N O6 P2 S3,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C6 H4 N O6 P2 S3,L4.3
FT_0.892_414.88353,C12 H3 Cl N4 O3 S4,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.893_182.96245,C3 H3 Cl N2 O3 S,NA,C2 H3 N2 O4 P S,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C2 H3 N2 O4 P S,L4.3
FT_0.894_416.91645,C3 H5 Cl N6 O12 S2,NA,NA,C14 H11 Cl4 O4 P,2.379734,Phosdiphen,FALSE,FALSE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.895_143.99682,C2 H N5 O S,NA,C H5 N O5 S,NA,NA,NA,FALSE,FALSE,FALSE,na,na,yes,no name,C H5 N O5 S,L4.3
FT_0.895_302.93617,C5 H2 Cl N8 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
FT_0.895_348.94174,C6 H4 Cl N8 O2 P3,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,delete,delete,delete,delete,delete,delete
