FeatureID,Formula_CD,Potential_fragment,Formula_sirius,Formula_cmmrt,zscore_cmmrt,name_cmmrt,cd_vs_sirius,cd_vs_cmmrt,cmmrt_vs_sirius,Notes_name,Sirius_structure_percentage,use_Sirius_class,Final_name,Keep_formula,Final_annotation_comment
FT_0.887_128.01924,NA,NA,C H5 N O6,NA,NA,NA,FALSE,TRUE,FALSE,na,na,yes,no name,C H5 N O6,L3.3
FT_0.890_148.97575,NA,NA,C2 H N2 O4 P,NA,NA,NA,FALSE,TRUE,FALSE,na,na,yes,no name,C2 H N2 O4 P,L3.3
FT_0.890_474.83348,NA,NA,C6 H9 N2 O7 P3 S5,NA,NA,NA,FALSE,TRUE,FALSE,delete,delete,delete,delete,delete,delete
FT_0.891_102.97023,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,na,na,na,no name,na,L5
FT_0.891_105.00324,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,na,na,na,no name,na,L5
FT_0.891_114.98758,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,na,na,na,no name,na,L5
FT_0.891_125.98621,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,na,na,na,no name,na,L5
FT_0.891_130.96515,NA,NA,NA,C2 H4 Cl2 O2,2.3255327,"2,2-Dichloro-1,1-ethanediol",TRUE,FALSE,FALSE,na,na,na,no name,na,L5
FT_0.891_130.96515,NA,NA,NA,C2 H2 CaO4,1.4444926,Calcium formate,TRUE,FALSE,FALSE,na,na,na,no name,na,L5
FT_0.891_216.95059,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,na,na,na,no name,na,L5
FT_0.891_234.96119,NA,NA,C2 H7 N2 O5 P S2,C7 H7 I O,3.0547636,2-Iodoanisole,FALSE,FALSE,FALSE,na,na,na,no name,na,L5
FT_0.891_234.96119,NA,NA,C2 H7 N2 O5 P S2,C7 H7 I O,2.9975095,4-Iodoanisole,FALSE,FALSE,FALSE,na,na,na,no name,na,L5
