FeatureID,Name,Formula,Annotation_level,use_Sirius_class,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications
FT_1.011_413.08803,no name,C21H18O9,L3.1,yes,C21H18O9,[M - H]-,C21H18O9,Polyketides,0.6872400641441345,Aromatic polyketides,0.6525278091430664,Depsidones,0.40288782119750977,Chromones,0.5490677952766418,Chromones,0.5490677952766418,1-benzopyrans,0.3605562448501587,Benzopyrans,0.5160305500030518,Organoheterocyclic compounds,0.8528464436531067,Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Phenols; Chromones; Benzoic acids and derivatives; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Salicylic acid and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Hydroxybenzoic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities
FT_1.031_493.18711,no name,C28H30O8,L3.1,yes,C28H30O8,[M - H]-,C28H30O8,Shikimates and Phenylpropanoids,0.7731761336326599,Isoflavonoids,0.35258886218070984,Isoflavanones,0.3009921908378601,Flavonoids,0.5157642960548401,NA,NA,NA,NA,Flavonoids,0.5157642960548401,Phenylpropanoids and polyketides,0.7613000273704529,Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Flavonoids; Carboxylic acid derivatives; Carboxylic acid esters; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; 1-benzopyrans; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
FT_1.084_545.21901,no name,C32H34O8,L3.1,yes,C32H34O8,[M - H]-,C32H34O8,Shikimates and Phenylpropanoids,0.6401858925819397,Isoflavonoids,0.53415846824646,Sorbicilinoids,0.38882189989089966,Chromones,0.5087827444076538,Chromones,0.5087827444076538,1-benzopyrans,0.5580406188964844,Benzopyrans,0.5268688797950745,Organoheterocyclic compounds,0.7066946029663086,Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Phenols; Chromones; Organic acids and derivatives; Organooxygen compounds; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
FT_1.089_395.11395,no name,C22H20O7,L3.1,yes,C22H20O7,[M - H]-,C22H20O7,Polyketides,0.5757461190223694,Naphthalenes,0.3345412313938141,Azaphilones,0.20380477607250216,1-benzopyrans,0.5128006339073181,NA,NA,1-benzopyrans,0.5128006339073181,Benzopyrans,0.6202787160873413,Organoheterocyclic compounds,0.8605012893676758,Organic compounds; Organoheterocyclic compounds; Pyrans; Ketones; Benzopyrans; Alkyl aryl ethers; Phenols; Ethers; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_1.089_543.20250,no name,C32H32O8,L3.1,yes,C32H32O8,[M - H]-,C32H32O8,Shikimates and Phenylpropanoids,0.8491921424865723,Flavonoids,0.6931139230728149,Chalcones,0.4422129988670349,4'-hydroxyflavonoids,0.6241329908370972,4'-hydroxyflavonoids,0.6241329908370972,Hydroxyflavonoids,0.693433940410614,Flavonoids,0.6754449009895325,Phenylpropanoids and polyketides,0.9267884492874146,Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Resorcinols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
FT_1.092_537.17725,no name,C22H34O15,L3.1,yes,C22H34O15,[M - H]-,C22H34O15,Terpenoids,0.3706683814525604,Monoterpenoids,0.5542464852333069,Iridoids monoterpenoids,0.4420115351676941,Fatty acyl glycosides of mono- and disaccharides,0.5235593914985657,Fatty acyl glycosides of mono- and disaccharides,0.5235593914985657,Fatty acyl glycosides,0.4681366384029389,Fatty Acyls,0.6167420148849487,Lipids and lipid-like molecules,0.7222009897232056,Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_1.094_479.20668,no name,C28H32O7,L3.1,yes,C28H32O7,[M - H]-,C28H32O7,Polyketides,0.5943092107772827,Meroterpenoids,0.3343549370765686,Tetraketide meroterpenoids,0.5937604904174805,Hydroxybenzaldehydes,0.580210268497467,Aldehydes,0.5074888467788696,Carbonyl compounds,0.8661428093910217,Organooxygen compounds,0.9999912977218628,Organic oxygen compounds,0.999958872795105,Organic compounds; Organoheterocyclic compounds; Ketones; Aldehydes; Alkyl aryl ethers; Phenols; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl-aldehydes; Vinylogous acids; Organic oxides; Hydroxybenzaldehydes; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_1.096_455.17156,no name,C24H26O6,L3.1,yes,C24H26O6,[M + CH2O2 - H]-,C25H28O8,Shikimates and Phenylpropanoids,0.950958788394928,Isoflavonoids,0.8410302996635437,Isoflavanones,0.8742661476135254,8-prenylated isoflavanones,0.5216056704521179,Isoflavanones,0.7435280084609985,Isoflavans,0.7789260149002075,Isoflavonoids,0.7761951684951782,Phenylpropanoids and polyketides,0.9891290068626404,Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Phenols; Resorcinols; Anisoles; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Benzenediols; Isoflavans; Isoflavanones; Isoflavanols; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Isoflavonoids; O-methylated isoflavonoids; 1-benzopyrans; 8-prenylated isoflavanones; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Hydroxyisoflavonoids; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
FT_1.096_497.21822,no name,C27H32O6,L3.1,yes,C27H32O6,[M + CH2O2 - H]-,C28H34O8,Polyketides,0.7138147950172424,Phloroglucinols,0.6098251938819885,Phloroglucinol-terpene hybrids,0.41885966062545776,1-benzopyrans,0.5336241722106934,NA,NA,1-benzopyrans,0.5336241722106934,Benzopyrans,0.42313188314437866,Organoheterocyclic compounds,0.5207856297492981,Organic compounds; Organoheterocyclic compounds; Ketones; Aldehydes; Alkyl aryl ethers; Phenols; Resorcinols; Anisoles; Ethers; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Benzenediols; Benzaldehydes; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl-aldehydes; 1-benzopyrans; Vinylogous acids; Organic oxides; Hydroxybenzaldehydes; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_1.097_497.21815,no name,C28H34O8,L3.1,yes,C28H34O8,[M - H]-,C28H34O8,Polyketides,0.6218635439872742,Meroterpenoids,0.6621143817901611,Tetraketide meroterpenoids,0.6993393898010254,Naphthopyrans,0.5350512266159058,NA,NA,NA,NA,Naphthopyrans,0.5350512266159058,Organoheterocyclic compounds,0.8702751398086548,Organic compounds; Organoheterocyclic compounds; Naphthalenes; Lactones; Pyrans; Ketones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Naphthopyrans; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
