FeatureID,Name,Formula,Annotation_level,use_Sirius_class,kingdom,superclass,class,subclass,level 5,CID,Title_PubChem,ExactMass,MolecularFormula,InChI,InChIKey,ConnectivitySMILES
FT_1.123_413.12472,Curcumin,C21H20O6,L1,no,Organic compounds,Phenylpropanoids and polyketides,Diarylheptanoids,Linear diarylheptanoids,Curcuminoids,969516,Curcumin,368.12598835,C21H20O6,"InChI=1S/C21H20O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h3-12,24-25H,13H2,1-2H3/b7-3+,8-4+",VFLDPWHFBUODDF-FCXRPNKRSA-N,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
FT_1.213_165.05561,Acetovanillone,C9H10O3,L1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,2214,Acetovanillone,166.062994177,C9H10O3,"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3",DFYRUELUNQRZTB-UHFFFAOYSA-N,CC(=O)C1=CC(=C(C=C1)O)OC
FT_1.230_285.20715,Hexadecanedioic acid,C16H30O4,L1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,10459,Hexadecanedioic acid,286.21440943,C16H30O4,"InChI=1S/C16H30O4/c17-15(18)13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(19)20/h1-14H2,(H,17,18)(H,19,20)",QQHJDPROMQRDLA-UHFFFAOYSA-N,C(CCCCCCCC(=O)O)CCCCCCC(=O)O
FT_1.242_161.02436,Umbelliferone,C9H6O3,L1,no,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,5281426,Umbelliferone,162.031694049,C9H6O3,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N,C1=CC(=CC2=C1C=CC(=O)O2)O
FT_1.446_195.06632,Hydroferulic acid,C10H12O4,L1,no,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,14340,Dihydroferulic Acid,196.07355886,C10H12O4,"InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",BOLQJTPHPSDZHR-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CCC(=O)O)O
FT_1.462_165.05558,3-(3-Hydroxyphenyl)propionic Acid,C9H10O3,L1,no,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,NA,NA,91,3-(3'-Hydroxyphenyl)propionic acid,166.062994177,C9H10O3,"InChI=1S/C9H10O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-3,6,10H,4-5H2,(H,11,12)",QVWAEZJXDYOKEH-UHFFFAOYSA-N,C1=CC(=CC(=C1)O)CCC(=O)O
FT_1.488_193.05073,Ferulic acid,C10H10O4,L1,no,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,445858,Ferulic Acid,194.0579088,C10H10O4,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)C=CC(=O)O)O
FT_1.579_173.08198,Suberic acid,C8H14O4,L1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,10457,Suberic acid,174.08920892,C8H14O4,"InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)",TYFQFVWCELRYAO-UHFFFAOYSA-N,C(CCCC(=O)O)CCC(=O)O
FT_1.640_151.03998,4-Acetylresorcinol,C8H8O3,L1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,6990,"2',4'-Dihydroxyacetophenone",152.047344113,C8H8O3,"InChI=1S/C8H8O3/c1-5(9)7-3-2-6(10)4-8(7)11/h2-4,10-11H,1H3",SULYEHHGGXARJS-UHFFFAOYSA-N,CC(=O)C1=C(C=C(C=C1)O)O
FT_1.654_179.03496,Caffeic acid,C9H8O4,L1,no,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,689043,Caffeic Acid,180.04225873,C9H8O4,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,C1=CC(=C(C=C1C=CC(=O)O)O)O
FT_1.671_167.03488,Vanillic acid,C8H8O4,L1,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,8468,Vanillic Acid,168.04225873,C8H8O4,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)O)O
FT_1.676_165.05559,Acetovanillone,C9H10O3,L1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,2214,Acetovanillone,166.062994177,C9H10O3,"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3",DFYRUELUNQRZTB-UHFFFAOYSA-N,CC(=O)C1=CC(=C(C=C1)O)OC
FT_1.691_197.04576,Syringic acid,C9H10O5,L1,no,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,10742,Syringic Acid,198.05282342,C9H10O5,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,COC1=CC(=CC(=C1O)OC)C(=O)O
FT_1.848_115.00373,Maleic acid,C4H4O4,L1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,444266,Maleic Acid,116.0109586,C4H4O4,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1-",VZCYOOQTPOCHFL-UPHRSURJSA-N,C(=CC(=O)O)C(=O)O
FT_11.142_341.10896,Sucrose,C12H22O11,L1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,5988,Sucrose,342.11621151,C12H22O11,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
FT_11.959_387.11469,alpha-D-Lactose,C12H22O11,L1,no,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,84571,alpha-D-lactose,342.11621151,C12H22O11,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+/m1/s1",GUBGYTABKSRVRQ-XLOQQCSPSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
FT_12.049_146.04593,D-Glutamic acid,C5H9NO4,L1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,23327,D-Glutamic Acid,147.05315777,C5H9NO4,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m1/s1",WHUUTDBJXJRKMK-GSVOUGTGSA-N,C(CC(=O)O)C(C(=O)O)N
FT_12.101_387.11469,D-(+)-Turanose,C12H22O11,L1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acyl glycosides,Fatty acyl glycosides of mono- and disaccharides,5460935,Turanose,342.11621151,C12H22O11,"InChI=1S/C12H22O11/c13-1-4(16)7(18)11(5(17)2-14)23-12-10(21)9(20)8(19)6(3-15)22-12/h4,6-16,18-21H,1-3H2/t4-,6-,7-,8-,9+,10-,11-,12-/m1/s1",RULSWEULPANCDV-PIXUTMIVSA-N,C(C1C(C(C(C(O1)OC(C(C(CO)O)O)C(=O)CO)O)O)O)O
FT_14.984_259.83946,O-Phospho-L-tyrosine,C9H12NO6P,L1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,30819,Phospho-L-tyrosine,261.0402241,C9H12NO6P,"InChI=1S/C9H12NO6P/c10-8(9(11)12)5-6-1-3-7(4-2-6)16-17(13,14)15/h1-4,8H,5,10H2,(H,11,12)(H2,13,14,15)/t8-/m0/s1",DCWXELXMIBXGTH-QMMMGPOBSA-N,C1=CC(=CC=C1CC(C(=O)O)N)OP(=O)(O)O
FT_2.051_115.04012,Levulinic acid,C5H8O3,L1,no,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives,NA,11579,Levulinic Acid,116.047344113,C5H8O3,"InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2,1H3,(H,7,8)",JOOXCMJARBKPKM-UHFFFAOYSA-N,CC(=O)CCC(=O)O
FT_2.246_103.04010,3-hydroxybutyric acid,C4H8O3,L1,no,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA,441,3-Hydroxybutyric Acid,104.047344113,C4H8O3,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)",WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(CC(=O)O)O
FT_2.491_103.04008,3-hydroxybutyric acid,C4H8O3,L1,no,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,NA,441,3-Hydroxybutyric Acid,104.047344113,C4H8O3,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)",WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(CC(=O)O)O
FT_2.673_131.03504,2-Methylsuccinic acid,C5H8O4,L1,no,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Branched fatty acids,10349,Methylsuccinic acid,132.04225873,C5H8O4,"InChI=1S/C5H8O4/c1-3(5(8)9)2-4(6)7/h3H,2H2,1H3,(H,6,7)(H,8,9)",WXUAQHNMJWJLTG-UHFFFAOYSA-N,CC(CC(=O)O)C(=O)O
FT_3.028_103.04009,2-Methyllactic acid,C4H8O3,L1,no,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,NA,11671,2-Hydroxyisobutyric acid,104.047344113,C4H8O3,"InChI=1S/C4H8O3/c1-4(2,7)3(5)6/h7H,1-2H3,(H,5,6)",BWLBGMIXKSTLSX-UHFFFAOYSA-N,CC(C)(C(=O)O)O
FT_3.331_134.04729,Adenine,C5H5N5,L1,no,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6-aminopurines,190,Adenine,135.05449518,C5H5N5,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",GFFGJBXGBJISGV-UHFFFAOYSA-N,C1=NC2=NC=NC(=C2N1)N
FT_3.571_117.01938,Succinic acid,C4H6O4,L1,no,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,NA,1110,Succinic Acid,118.02660867,C4H6O4,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,C(CC(=O)O)C(=O)O
FT_3.966_243.06218,Uridine,C9H12N2O6,L1,no,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,NA,NA,6029,Uridine,244.06953611,C9H12N2O6,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",DRTQHJPVMGBUCF-XVFCMESISA-N,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
FT_4.385_251.07857,2'-Deoxyinosine,C10H12N4O4,L1,no,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,NA,135398593,Deoxyinosine,252.08585488,C10H12N4O4,"InChI=1S/C10H12N4O4/c15-2-6-5(16)1-7(18-6)14-4-13-8-9(14)11-3-12-10(8)17/h3-7,15-16H,1-2H2,(H,11,12,17)/t5-,6+,7+/m0/s1",VGONTNSXDCQUGY-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C2N=CNC3=O)CO)O
FT_4.979_157.03665,Allantoin,C4H6N4O3,L1,no,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,NA,204,Allantoin,158.04399007,C4H6N4O3,"InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)",POJWUDADGALRAB-UHFFFAOYSA-N,C1(C(=O)NC(=O)N1)NC(=O)N
FT_6.179_267.07353,Inosine,C10H12N4O5,L1,no,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,NA,NA,135398641,Inosine,268.0807695,C10H12N4O5,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",UGQMRVRMYYASKQ-KQYNXXCUSA-N,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
FT_6.765_266.08957,2-Deoxyguanosine,C10H13N5O4,L1,no,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,NA,135398592,Deoxyguanosine,267.09675391,C10H13N5O4,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",YKBGVTZYEHREMT-KVQBGUIXSA-N,C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O
