FeatureID,Name,Formula,Annotation_level,use_Sirius_class,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications
FT_0.886_135.03210,no name,C3 H7 N2 O2 P,L3.2,yes,C2H6N4OS,[M + H]+,C2H6N4OS,Amino acids and Peptides,0.686726093,Small peptides,0.95589906,Aminoacids,0.749068201,Organoheterocyclic compounds,0.701108515,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,0.701108515,Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.888_442.87849,no name,C6 H9 N2 O9 P3 S3,L3.3,yes,C6H9N2O9P3S3,[M + H]+,C6H9N2O9P3S3,Alkaloids,0.651256382,Nicotinic acid alkaloids,0.049403924,Pyridine alkaloids,0.05144332,Organic phosphoric acids and derivatives,0.536912084,NA,NA,NA,NA,Organic phosphoric acids and derivatives,0.536912084,Organic acids and derivatives,0.991841674,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Azoles; Organothiophosphorus compounds; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.889_147.01385,no name,C2 H2 N4 O4,L3.3,yes,C2H2N4O4,[M + H]+,C2H2N4O4,Alkaloids,0.528018653,Pseudoalkaloids,0.625719309,Purine alkaloids,0.441769123,Alpha amino acids and derivatives,0.68393445,Amino acids and derivatives,0.722040236,"Amino acids, peptides, and analogues",0.705253839,Carboxylic acids and derivatives,0.80070138,Organic acids and derivatives,0.979468822,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Ureas; Organic nitro compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_0.889_151.00876,no name,C4 H8 O2 P2,L3.3,yes,C4H8O2P2,[M + H]+,C4H8O2P2,Fatty acids,0.150615886,Monoterpenoids,0.266739428,Lactones,0.303633422,Phospholanes,0.569235384,NA,NA,Phospholanes,0.569235384,Metalloheterocyclic compounds,0.435511261,Organoheterocyclic compounds,0.583157718,Organic compounds; Organoheterocyclic compounds; Organophosphorus compounds; Phospholanes; Organic oxides; Phosphacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_0.889_328.89801,no name,C2 H7 N2 O7 P3 S2,L3.3,yes,C2H7N2O7P3S2,[M + H]+,C2H7N2O7P3S2,Amino acids and Peptides,0.732383132,Small peptides,0.772238255,Aminoacids,0.463129967,Sulfenyl compounds,0.857992649,NA,NA,NA,NA,Sulfenyl compounds,0.857992649,Organosulfur compounds,0.845889211,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.889_346.90863,no name,C3 H11 N2 O5 P S5,L3.3,yes,C3H11N2O5PS5,[M + H]+,C3H11N2O5PS5,Amino acids and Peptides,0.39213255,Small peptides,0.60855186,Aminoacids,0.332833499,Organothiophosphorus compounds,0.756122947,NA,NA,NA,NA,Organothiophosphorus compounds,0.756122947,Organophosphorus compounds,0.359706044,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organothiophosphorus compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.889_458.85599,no name,C5 H8 N4 O7 P2 S5,L3.3,yes,C5H8N4O7P2S5,[M + H]+,C5H8N4O7P2S5,Alkaloids,0.865397513,Small peptides,0.015423661,pteridine alkaloids,0.005118491,Thiadiazoles,0.566638708,NA,NA,Thiadiazoles,0.566638708,Azoles,0.998066604,Organoheterocyclic compounds,0.999550402,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfonyls; Organic disulfides; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.890_144.98083,no name,C H6 O4 P2,L3.3,yes,CH6O4P2,[M + H]+,CH6O4P2,Fatty acids,0.637976468,Small peptides,0.705770433,Aminoacids,0.707865655,Organic phosphonic acids,0.993568897,NA,NA,Organic phosphonic acids,0.993568897,Organic phosphonic acids and derivatives,0.997155309,Organic acids and derivatives,0.985579014,Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
FT_0.890_330.93105,no name,C3 H11 N2 O6 P S4,L3.3,yes,C3H11N2O6PS4,[M + H]+,C3H11N2O6PS4,Amino acids and Peptides,0.658024609,Small peptides,0.932863414,Aminoacids,0.791942179,Sulfenyl compounds,0.914966106,NA,NA,NA,NA,Sulfenyl compounds,0.914966106,Organosulfur compounds,0.996775568,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.891_121.01643,no name,C2 H5 N2 O2 P,L3.3,yes,C2H5N2O2P,[M + H]+,C2H5N2O2P,Amino acids and Peptides,0.852592409,Small peptides,0.952940881,Aminoacids,0.891514897,Azacyclic compounds,0.808068633,NA,NA,NA,NA,Azacyclic compounds,0.808068633,Organoheterocyclic compounds,0.859345257,Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
