FeatureID,Name,Formula,Annotation_level,use_Sirius_class,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#all classifications
FT_0.886_135.03210,no name,C3H7N2O2P,L3.2,yes,C2H6N4OS,[M + H]+,C2H6N4OS,Amino acids and Peptides,0.6867260932922363,Small peptides,0.9558990597724916,Aminoacids,0.7490682005882263,Organoheterocyclic compounds,0.7011085152626038,NA,NA,NA,NA,NA,NA,Organoheterocyclic compounds,0.7011085152626038,Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.888_442.87849,no name,C6H9N2O9P3S3,L3.3,yes,C6H9N2O9P3S3,[M + H]+,C6H9N2O9P3S3,Alkaloids,0.6512563824653625,Nicotinic acid alkaloids,0.04940392449498176,Pyridine alkaloids,0.05144331976771355,Organic phosphoric acids and derivatives,0.5369120836257935,NA,NA,NA,NA,Organic phosphoric acids and derivatives,0.5369120836257935,Organic acids and derivatives,0.9918416738510132,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Azoles; Organothiophosphorus compounds; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.889_147.01385,no name,C2H2N4O4,L3.3,yes,C2H2N4O4,[M + H]+,C2H2N4O4,Alkaloids,0.5280186533927917,Pseudoalkaloids,0.6257193088531494,Purine alkaloids,0.4417691230773926,Alpha amino acids and derivatives,0.6839344501495361,Amino acids and derivatives,0.7220402359962463,"Amino acids, peptides, and analogues",0.7052538394927979,Carboxylic acids and derivatives,0.800701379776001,Organic acids and derivatives,0.979468822479248,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Ureas; Organic nitro compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_0.889_151.00876,no name,C4H8O2P2,L3.3,yes,C4H8O2P2,[M + H]+,C4H8O2P2,Fatty acids,0.1506158858537674,Monoterpenoids,0.2667394280433655,Lactones,0.3036334216594696,Phospholanes,0.5692353844642639,NA,NA,Phospholanes,0.5692353844642639,Metalloheterocyclic compounds,0.4355112612247467,Organoheterocyclic compounds,0.5831577181816101,Organic compounds; Organoheterocyclic compounds; Organophosphorus compounds; Phospholanes; Organic oxides; Phosphacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
FT_0.889_328.89801,no name,C2H7N2O7P3S2,L3.3,yes,C2H7N2O7P3S2,[M + H]+,C2H7N2O7P3S2,Amino acids and Peptides,0.732383131980896,Small peptides,0.7722382545471191,Aminoacids,0.4631299674510956,Sulfenyl compounds,0.8579926490783691,NA,NA,NA,NA,Sulfenyl compounds,0.8579926490783691,Organosulfur compounds,0.8458892107009888,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.889_346.90863,no name,C3H11N2O5PS5,L3.3,yes,C3H11N2O5PS5,[M + H]+,C3H11N2O5PS5,Amino acids and Peptides,0.3921325504779816,Small peptides,0.6085518598556519,Aminoacids,0.33283349871635437,Organothiophosphorus compounds,0.7561229467391968,NA,NA,NA,NA,Organothiophosphorus compounds,0.7561229467391968,Organophosphorus compounds,0.3597060441970825,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organothiophosphorus compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.889_458.85599,no name,C5H8N4O7P2S5,L3.3,yes,C5H8N4O7P2S5,[M + H]+,C5H8N4O7P2S5,Alkaloids,0.8653975129127502,Small peptides,0.01542366109788417,pteridine alkaloids,0.00511849112808704,Thiadiazoles,0.566638708114624,NA,NA,Thiadiazoles,0.566638708114624,Azoles,0.9980666041374208,Organoheterocyclic compounds,0.9995504021644592,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfonyls; Organic disulfides; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.890_144.98083,no name,CH6O4P2,L3.3,yes,CH6O4P2,[M + H]+,CH6O4P2,Fatty acids,0.6379764676094055,Small peptides,0.7057704329490662,Aminoacids,0.7078656554222107,Organic phosphonic acids,0.9935688972473145,NA,NA,Organic phosphonic acids,0.9935688972473145,Organic phosphonic acids and derivatives,0.9971553087234496,Organic acids and derivatives,0.9855790138244628,Organic compounds; Organic acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
FT_0.890_330.93105,no name,C3H11N2O6PS4,L3.3,yes,C3H11N2O6PS4,[M + H]+,C3H11N2O6PS4,Amino acids and Peptides,0.6580246090888977,Small peptides,0.9328634142875672,Aminoacids,0.7919421792030334,Sulfenyl compounds,0.9149661064147948,NA,NA,NA,NA,Sulfenyl compounds,0.9149661064147948,Organosulfur compounds,0.9967755675315856,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.891_121.01643,no name,C2H5N2O2P,L3.3,yes,C2H5N2O2P,[M + H]+,C2H5N2O2P,Amino acids and Peptides,0.852592408657074,Small peptides,0.9529408812522888,Aminoacids,0.8915148973464966,Azacyclic compounds,0.8080686330795288,NA,NA,NA,NA,Azacyclic compounds,0.8080686330795288,Organoheterocyclic compounds,0.8593452572822571,Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.891_214.98862,no name,C3H7N2O5PS,L3.3,yes,C3H7N2O5PS,[M + H]+,C3H7N2O5PS,Amino acids and Peptides,0.8069943785667419,Small peptides,0.9711604118347168,Aminoacids,0.8922584652900696,Organic sulfuric acids and derivatives,0.679933488368988,NA,NA,NA,NA,Organic sulfuric acids and derivatives,0.679933488368988,Organic acids and derivatives,0.990548312664032,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.891_230.96632,no name,C3H7N2O4PS2,L3.3,yes,C3H7N2O4PS2,[M + H]+,C3H7N2O4PS2,Amino acids and Peptides,0.6368268728256226,Small peptides,0.9626148343086244,Aminoacids,0.8354344367980957,Heteroaromatic compounds,0.7676799893379211,NA,NA,NA,NA,Heteroaromatic compounds,0.7676799893379211,Organoheterocyclic compounds,0.997387707233429,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organothiophosphorus compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.892_214.91758,no name,C2H3N2O2PS3,L3.3,yes,C2H3N2O2PS3,[M + H]+,C2H3N2O2PS3,Alkaloids,0.7481752038002014,Pseudoalkaloids,0.1134726256132126,Aminoacids,0.1568126678466797,Thiadiazoles,0.7300165295600891,NA,NA,Thiadiazoles,0.7300165295600891,Azoles,0.9994348883628844,Organoheterocyclic compounds,0.9977920055389404,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Thiadiazoles; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.892_218.98361,no name,C3H8O7P2,L3.3,yes,C3H8O7P2,[M + H]+,C3H8O7P2,Fatty acids,0.5098682641983032,Saccharides,0.4783323407173157,Monosaccharides,0.13777700066566467,Bisphosphonates,0.6080235838890076,NA,NA,Bisphosphonates,0.6080235838890076,Organic phosphonic acids and derivatives,0.9701504707336426,Organic acids and derivatives,0.9965184926986694,Organic compounds; Organic acids and derivatives; Bisphosphonates; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic phosphonic acids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
FT_0.892_232.92815,no name,C6H2NO3S3,L3.3,yes,C6H2NO3S3,[M + H]+,C6H2NO3S3,Alkaloids,0.771556556224823,Coumarins,0.04885270446538925,Simple coumarins,0.01703768968582153,Heteroaromatic compounds,0.9203336834907532,NA,NA,NA,NA,Heteroaromatic compounds,0.9203336834907532,Organoheterocyclic compounds,0.9736875891685486,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.892_232.99927,no name,C7H6NO6S,L3.3,yes,C4H10O7P2,[M + H]+,C4H10O7P2,Fatty acids,0.9402896761894226,Fatty esters,0.7963399887084961,Wax monoesters,0.605524480342865,Alkyl phosphates,0.8884550929069519,Alkyl phosphates,0.8884550929069519,Phosphate esters,0.9385153651237488,Organic phosphoric acids and derivatives,0.981750786304474,Organic acids and derivatives,0.9998478889465332,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Methyl esters; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
FT_0.892_344.87556,no name,C6H4NO6P2S3,L3.3,yes,C6H4NO6P2S3,[M + H]+,C6H4NO6P2S3,Alkaloids,0.7798242568969727,Nicotinic acid alkaloids,0.21140776574611664,Pyridine alkaloids,0.2023883759975433,Heteroaromatic compounds,0.9687462449073792,NA,NA,NA,NA,Heteroaromatic compounds,0.9687462449073792,Organoheterocyclic compounds,0.9933322072029114,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.893_182.96245,no name,C2H3N2O4PS,L3.3,yes,C2H3N2O4PS,[M + H]+,C2H3N2O4PS,Alkaloids,0.5433191657066345,Small peptides,0.24931903183460236,Pyridine alkaloids,0.02308697439730167,Heteroaromatic compounds,0.92046457529068,NA,NA,NA,NA,Heteroaromatic compounds,0.92046457529068,Organoheterocyclic compounds,0.997305393218994,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.895_143.99682,no name,CH5NO5S,L3.3,yes,CH5NO5S,[M + H]+,CH5NO5S,Amino acids and Peptides,0.9919923543930054,Small peptides,0.9989026784896852,Aminoacids,0.9933892488479614,Alpha amino acids and derivatives,0.5645365715026855,Amino acids and derivatives,0.3841388821601868,"Amino acids, peptides, and analogues",0.3679687976837158,Carboxylic acids and derivatives,0.4388115704059601,Organic acids and derivatives,0.9998132586479188,Organic compounds; Alpha amino acids and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Monoalkylamines; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.904_189.00708,no name,C4H4N4O3S,L3.3,yes,C4H4N4O3S,[M + H]+,C4H4N4O3S,Alkaloids,0.7005696892738342,Pseudoalkaloids,0.5946283936500549,pteridine alkaloids,0.3853373229503632,Aryl thioethers,0.5870700478553772,NA,NA,Aryl thioethers,0.5870700478553772,Thioethers,0.3057467043399811,Organosulfur compounds,0.8913946747779846,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Sulfenyl compounds; Imidolactams; Organic oxides; 1,2,4-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities"
FT_0.969_288.92204,no name,C7N2O7S2,L3.3,yes,C7N2O7S2,[M + H]+,C7N2O7S2,Alkaloids,0.5349989533424377,Pseudoalkaloids,0.07886425405740738,Pyrrole alkaloids,0.00250163488090038,Sulfonyls,0.6349505186080933,NA,NA,NA,NA,Sulfonyls,0.6349505186080933,Organosulfur compounds,0.1977595686912537,"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
FT_0.980_498.90137,no name,C9H13N2O10P3S3,L3.3,yes,C9H13N2O10P3S3,[M + H]+,C9H13N2O10P3S3,Alkaloids,0.8064284920692444,Nicotinic acid alkaloids,0.15618488192558289,Pyridine alkaloids,0.19458185136318207,Pyrimidines and pyrimidine derivatives,0.6819182634353638,NA,NA,Pyrimidines and pyrimidine derivatives,0.6819182634353638,Diazines,0.8994318842887878,Organoheterocyclic compounds,0.9999836683273317,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Diazines; Organothiophosphorus compounds; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Dithiophosphate S-esters; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
FT_0.981_294.93894,no name,C8H8O4P2S2,L3.3,yes,C8H8O4P2S2,[M + H]+,C8H8O4P2S2,Shikimates and Phenylpropanoids,0.7537031769752502,Coumarins,0.11785291135311128,Isocoumarins,0.07683507353067398,Aryl thiophosphates,0.79766082763671875,Aryl thiophosphates,0.79766082763671875,Thiophosphoric acid esters,0.6276476979255676,Organic thiophosphoric acids and derivatives,0.5130545496940613,Organic acids and derivatives,0.5378240346908569,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic thiophosphoric acids and derivatives; Organothiophosphorus compounds; Thiophosphoric acid esters; Benzenoids; Sulfenyl compounds; Thiophosphate triesters; Organic dithiophosphoric acids and derivatives; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Aryl thiophosphates; Chemical entities
FT_0.981_310.91292,no name,C4HN4O7P3,L3.3,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
