FeatureID,Name,Formula,Annotation_level,use_Sirius_class,kingdom,superclass,class,subclass,level 5,CID,Title_PubChem,ExactMass,MolecularFormula,InChI,InChIKey,CanonicalSMILES
FT_1.012_175.11897,D-Arginine,C6 H14 N4 O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,71070,D-Arginine,174.1116757,C6H14N4O2,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m1/s1",ODKSFYDXXFIFQN-SCSAIBSYSA-N,C(CC(C(=O)O)N)CN=C(N)N
FT_1.074_104.10696,Choline,C5 H13 N O,L1,NA,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Cholines,305,Choline,104.1075391,C5H14NO+,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,C[N+](C)(C)CCO
FT_1.080_106.04983,D-Serine,C3 H7 N O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,71077,D-serine,105.0425931,C3H7NO3,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m1/s1",MTCFGRXMJLQNBG-UWTATZPHSA-N,C(C(C(=O)O)N)O
FT_1.090_133.06074,D-Asparagine,C4 H8 N2 O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,439600,D-Asparagine,132.0534921,C4H8N2O3,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m1/s1",DCXYFEDJOCDNAF-UWTATZPHSA-N,C(C(C(=O)O)N)C(=O)N
FT_1.100_365.10547,Sucrose,C12 H22 O11,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,5988,Sucrose,342.1162115,C12H22O11,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
FT_1.103_365.10547,Sucrose,C12 H22 O11,L1,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,5988,Sucrose,342.1162115,C12H22O11,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
FT_1.106_134.04476,D-Aspartic acid,C4 H7 N O4,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,83887,D-Aspartic Acid,133.0375077,C4H7NO4,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m1/s1",CKLJMWTZIZZHCS-UWTATZPHSA-N,C(C(C(=O)O)N)C(=O)O
FT_1.106_90.05498,Sarcosine,C3 H7 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,1088,Sarcosine,89.04767847,C3H7NO2,"InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)",FSYKKLYZXJSNPZ-UHFFFAOYSA-N,CNCC(=O)O
FT_1.112_104.07058,Gamma-Aminobutyric Acid,C4 H9 N O2,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,119,Gamma-Aminobutyric Acid,,C4H9NO2,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",BTCSSZJGUNDROE-UHFFFAOYSA-N,C(CC(=O)O)CN
FT_1.112_147.07644,L-Glutamine,C5 H10 N2 O3,L1,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,5961,Glutamine,146.0691422,C5H10N2O3,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",ZDXPYRJPNDTMRX-VKHMYHEASA-N,C(CC(=O)N)C(C(=O)O)N
