FeatureID,mass_experimental,rt_experimental,rt_predicted,mass_error,z_score,Name,MolecularFormula,ExactMass,InChIKey,InChI
FT_1.310_702.26646,684.2326,78.60000000000001,820.38135,0.0006906964692625047,2.4745471,Citbismine C,C37H36N2O11,684.23191,BDURUBOYNAVRCF-UHFFFAOYSA-N,"InChI=1S/C37H36N2O11/c1-37(2,45)36-27(25-22(50-36)14-19(41)24-30(25)39(4)28-15(32(24)43)9-11-18(40)34(28)48-7)26-21(47-6)13-17-23(33(26)44)31(42)16-10-12-20(46-5)35(49-8)29(16)38(17)3/h9-14,27,36,40-41,44-45H,1-8H3"
FT_18.205_683.28469,682.27741,1092.3,733.1111,0.0062610861392849455,1.8291024,Myricanol 5-laminaribioside,C33H46O15,682.2836708,XMKXFSLOVIEGBT-UHFFFAOYSA-N,"InChI=1S/C33H46O15/c1-43-29-19-12-16(5-3-4-6-17(36)9-7-15-8-10-20(37)18(19)11-15)28(31(29)44-2)47-33-27(42)30(24(39)22(14-35)46-33)48-32-26(41)25(40)23(38)21(13-34)45-32/h8,10-12,17,21-27,30,32-42H,3-7,9,13-14H2,1-2H3"
FT_18.205_683.28469,682.27741,1092.3,733.6254,0.006261026851403559,1.8253562,Myricanol 5-beta-sophoroside,C33H46O15,682.2836708,MWHPGFTUVBRCFT-UHFFFAOYSA-N,"InChI=1S/C33H46O15/c1-43-30-19-12-16(5-3-4-6-17(35)9-7-15-8-10-20(36)18(19)11-15)29(31(30)44-2)48-33-28(42)26(40)24(38)22(47-33)14-45-32-27(41)25(39)23(37)21(13-34)46-32/h8,10-12,17,21-28,32-42H,3-7,9,13-14H2,1-2H3"
FT_18.602_683.28421,682.27693,1116.1200000000001,733.1111,0.00674135131475775,1.8589679,Myricanol 5-laminaribioside,C33H46O15,682.2836708,XMKXFSLOVIEGBT-UHFFFAOYSA-N,"InChI=1S/C33H46O15/c1-43-29-19-12-16(5-3-4-6-17(36)9-7-15-8-10-20(37)18(19)11-15)28(31(29)44-2)47-33-27(42)30(24(39)22(14-35)46-33)48-32-26(41)25(40)23(38)21(13-34)45-32/h8,10-12,17,21-27,30,32-42H,3-7,9,13-14H2,1-2H3"
FT_18.602_683.28421,682.27693,1116.1200000000001,733.6254,0.0067415194689584524,1.8552244,Myricanol 5-beta-sophoroside,C33H46O15,682.2836708,MWHPGFTUVBRCFT-UHFFFAOYSA-N,"InChI=1S/C33H46O15/c1-43-30-19-12-16(5-3-4-6-17(35)9-7-15-8-10-20(36)18(19)11-15)29(31(30)44-2)48-33-28(42)26(40)24(38)22(47-33)14-45-32-27(41)25(39)23(37)21(13-34)46-32/h8,10-12,17,21-28,32-42H,3-7,9,13-14H2,1-2H3"
FT_14.074_557.23545,556.22817,844.4399999999999,776.0698,0.0026782807642714308,1.1973342,Terreulactone D,C30H36O10,556.2308473,AENKBRFCOPMCEQ-GOGZTAQTSA-N,"InChI=1S/C30H36O10/c1-26(2)23(37-7)14-22(31)28(4)29(26,33)10-9-27(3)30(28,34)15-17-19(40-27)13-18(39-25(17)32)16-11-20(35-5)24(38-8)21(12-16)36-6/h11-14,33-34H,9-10,15H2,1-8H3/t27-,28+,29-,30-/m1/s1"
FT_14.074_557.23545,556.22817,844.4399999999999,977.65955,0.00431302310650853,1.1451256,Pyrochlorophyllide,C33H32MgN4O3,556.2324826,BJEMYNDCFDVJRP-PVMVIUQGSA-L,"InChI=1S/C33H34N4O3.Mg/c1-7-19-15(3)23-12-25-17(5)21(9-10-30(39)40)32(36-25)22-11-29(38)31-18(6)26(37-33(22)31)14-28-20(8-2)16(4)24(35-28)13-27(19)34-23;/h7,12-14,17,21H,1,8-11H2,2-6H3,(H3,34,35,36,37,38,39,40);/q;+2/p-2/t17-,21-;/m0./s1"
FT_14.548_555.22039,554.21311,872.88,767.0794,0.0020879848297096224,1.2950872,"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-",C30H34O10,554.2151973,BWOAMGHNXHLWMX-BAOMQRJLSA-N,"InChI=1S/C30H34O10/c1-37-25-11-16(4-6-23(25)32)9-20-19(15-40-30(20)36)8-17-10-21(29(35)27(12-17)39-3)22(14-31)28(34)18-5-7-24(33)26(13-18)38-2/h4-7,10-13,19-20,22,28,31-35H,8-9,14-15H2,1-3H3/t19-,20+,22?,28?/m0/s1"
FT_14.025_555.22021,554.21294,841.5,767.0794,0.0022577809318980605,1.2434634,"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-",C30H34O10,554.2151973,BWOAMGHNXHLWMX-BAOMQRJLSA-N,"InChI=1S/C30H34O10/c1-37-25-11-16(4-6-23(25)32)9-20-19(15-40-30(20)36)8-17-10-21(29(35)27(12-17)39-3)22(14-31)28(34)18-5-7-24(33)26(13-18)38-2/h4-7,10-13,19-20,22,28,31-35H,8-9,14-15H2,1-3H3/t19-,20+,22?,28?/m0/s1"
FT_14.358_555.22021,554.21293,861.48,767.0794,0.0022676921174895224,1.2765504,"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-",C30H34O10,554.2151973,BWOAMGHNXHLWMX-BAOMQRJLSA-N,"InChI=1S/C30H34O10/c1-37-25-11-16(4-6-23(25)32)9-20-19(15-40-30(20)36)8-17-10-21(29(35)27(12-17)39-3)22(14-31)28(34)18-5-7-24(33)26(13-18)38-2/h4-7,10-13,19-20,22,28,31-35H,8-9,14-15H2,1-3H3/t19-,20+,22?,28?/m0/s1"
