id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_HILIC_mgf_modified_matching_featureID_adduct_FT_1.168_527.15599	C27H28O11	[M - H]-	C27H28O11	Polyketides	0.5954901576042175	Meroterpenoids	0.507826030254364	Tetraketide meroterpenoids	0.6864739060401917	Naphthopyrans	0.700822114944458					Naphthopyrans	0.700822114944458	Organoheterocyclic compounds	0.9781795740127563	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Naphthalenes; Lactones; Pyrans; Ketones; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Delta valerolactones; Naphthopyrans; Carbonyl compounds; Oxanes; Benzenoids; 2-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_1.168_527.15599
2_HILIC_mgf_modified_matching_featureID_adduct_FT_1.160_287.09267	C16H16O5	[M - H]-	C16H16O5	Polyketides	0.8038297891616821	Chromanes	0.8549152612686157	Azaphilones	0.9461930394172668	Azaphilones	0.5915684103965759					Azaphilones	0.5915684103965759	Organoheterocyclic compounds	0.8641412258148193	Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Phenols; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; Azaphilones; Cyclic ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	FT_1.160_287.09267
3_HILIC_mgf_modified_matching_featureID_adduct_FT_1.167_191.07140	C11H12O3	[M - H]-	C11H12O3	Polyketides	0.6059935092926025	Meroterpenoids	0.35020214319229126	Naphthalenones	0.5535716414451599	1-hydroxy-2-unsubstituted benzenoids	0.6288866996765137			1-hydroxy-2-unsubstituted benzenoids	0.6288866996765137	Phenols	0.6899241805076599	Benzenoids	0.9457682967185974	Organic compounds; Ketones; Phenols; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	FT_1.167_191.07140
4_HILIC_mgf_modified_matching_featureID_adduct_FT_1.171_191.03499	C10H8O4	[M - H]-	C10H8O4	Polyketides	0.6832895874977112	Naphthalenes	0.572230339050293	Naphthoquinones	0.3448064923286438	1-hydroxy-2-unsubstituted benzenoids	0.6364405155181885			1-hydroxy-2-unsubstituted benzenoids	0.6364405155181885	Phenols	0.7306257486343384	Benzenoids	0.8222056031227112	Organic compounds; Organoheterocyclic compounds; Ketones; Phenols; Organic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	FT_1.171_191.03499
5_HILIC_mgf_modified_matching_featureID_adduct_FT_1.141_331.11944	C18H20O6	[M - H]-	C18H20O6	Polyketides	0.8698104619979858	Chromanes	0.8514237999916077	Azaphilones	0.9526435732841492	Azaphilones	0.6646304726600647					Azaphilones	0.6646304726600647	Organoheterocyclic compounds	0.9014166593551636	Organic compounds; Organoheterocyclic compounds; Ketones; Aldehydes; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Organooxygen compounds; Benzaldehydes; Carbonyl compounds; Benzenoids; Aryl-aldehydes; Azaphilones; Cyclic ketones; Vinylogous acids; Organic oxides; Hydroxybenzaldehydes; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	FT_1.141_331.11944
6_HILIC_mgf_modified_matching_featureID_adduct_FT_3.966_243.06218	C9H12N2O6	[M - H]-	C9H12N2O6	Carbohydrates	0.9566129446029663	Nucleosides	0.9233192205429077	Pyrimidine nucleos(t)ides	0.894574761390686	Pyrimidine nucleosides	0.8771546483039856					Pyrimidine nucleosides	0.8771546483039856	Nucleosides, nucleotides, and analogues	0.9420310258865356	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Lactams; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Pyrimidine nucleosides; Ureas; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Hydropyrimidines; Glycosylamines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_3.966_243.06218
7_HILIC_mgf_modified_matching_featureID_adduct_FT_12.842_443.14080	C16H28O14	[M - H]-	C16H28O14	Carbohydrates	0.9238659739494324	Saccharides	0.9444230198860168	Disaccharides	0.987135112285614	Disaccharides	0.8353798389434814	Disaccharides	0.8353798389434814	Carbohydrates and carbohydrate conjugates	0.9999725818634033	Organooxygen compounds	0.9999935626983643	Organic oxygen compounds	0.9999186992645264	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_12.842_443.14080
8_HILIC_mgf_modified_matching_featureID_adduct_FT_1.691_197.04576	C9H10O5	[M - H]-	C9H10O5	Shikimates and Phenylpropanoids	0.7838512063026428	Phenolic acids (C6-C1)	0.7932350039482117	Simple phenolic acids	0.7603678107261658	Gallic acid and derivatives	0.6094536781311035	Hydroxybenzoic acid derivatives	0.82222980260849	Benzoic acids and derivatives	0.9097935557365417	Benzene and substituted derivatives	0.9951823353767395	Benzenoids	0.9953183531761169	Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Benzoic acids and derivatives; Methoxyphenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Hydroxybenzoic acid derivatives; Gallic acid and derivatives; Benzene and substituted derivatives; Phenol ethers; Methoxybenzoic acids and derivatives; M-methoxybenzoic acids and derivatives; Benzenoids; Benzoic acids; Organic oxides; Dimethoxybenzenes; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	FT_1.691_197.04576
9_HILIC_mgf_modified_matching_featureID_adduct_FT_1.670_217.10742	C10H18O5	[M - H]-	C10H18O5	Shikimates and Phenylpropanoids	0.5988873839378357	Phenolic acids (C6-C1)	0.6498167514801025	Shikimic acids and derivatives	0.5525661110877991	Cyclitols and derivatives	0.7181335687637329	Cyclic alcohols and derivatives	0.5785932540893555	Alcohols and polyols	0.9093273282051086	Organooxygen compounds	0.9999959468841553	Organic oxygen compounds	0.999988317489624	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Polyols; Cyclitols and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_1.670_217.10742
10_HILIC_mgf_modified_matching_featureID_adduct_FT_3.571_117.01938	C4H6O4	[M - H]-	C4H6O4	Fatty acids	0.7458143830299377	Fatty Acids and Conjugates	0.8550831079483032	Dicarboxylic acids	0.8787399530410767	Dicarboxylic acids and derivatives	0.9471114873886108			Dicarboxylic acids and derivatives	0.9471114873886108	Carboxylic acids and derivatives	0.9991161227226257	Organic acids and derivatives	0.9998425245285034	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_3.571_117.01938
