id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_RP_mgf_modified_matching_featureID_adduct_FT_1.112_104.07058	C2H4N3O	[M + H3N + H]+	C2H7N4O	Alkaloids	0.41303056478500366	Pseudoalkaloids	0.5198364853858948	Piperidine alkaloids	0.23570121824741364	Azoles	0.702610433101654					Azoles	0.702610433101654	Organoheterocyclic compounds	0.9478566646575928	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_1.112_104.07058
2_RP_mgf_modified_matching_featureID_adduct_FT_1.106_90.05498	C3H7NO2	[M + H]+	C3H7NO2	Amino acids and Peptides	0.9767861366271973	Small peptides	0.9814202189445496	Aminoacids	0.945665717124939	Alpha amino acids	0.6911298632621765	Amino acids and derivatives	0.9914035201072693	Amino acids, peptides, and analogues	0.9912760257720947	Carboxylic acids and derivatives	0.9944961667060852	Organic acids and derivatives	0.9972732663154602	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_1.106_90.05498
3_RP_mgf_modified_matching_featureID_adduct_FT_1.074_104.10696	C5H13NO	[M + H]+	C5H13NO	Alkaloids	0.9209917187690735	Ornithine alkaloids	0.37765178084373474	Fatty alcohols	0.31190741062164307	Tetraalkylammonium salts	0.9566181898117065	Tetraalkylammonium salts	0.9566181898117065	Quaternary ammonium salts	0.9942874312400818	Organonitrogen compounds	0.9999961853027344	Organic nitrogen compounds	0.999998927116394	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Quaternary ammonium salts; Amines; Alkanolamines; Organic cations; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_1.074_104.10696
4_RP_mgf_modified_matching_featureID_adduct_FT_1.147_168.06892	C5H13NO3S	[M + H]+	C5H13NO3S	Amino acids and Peptides	0.23647955060005188	Small peptides	0.6559257507324219	Polyamines	0.25293439626693726	Sulfonyls	0.5818824172019958					Sulfonyls	0.5818824172019958	Organosulfur compounds	0.9988545179367065	Organic compounds; Organosulfur compounds; Organonitrogen compounds; Monoalkylamines; Sulfonyls; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_1.147_168.06892
5_RP_mgf_modified_matching_featureID_adduct_FT_18.105_387.21446	C23H30O5	[M + H]+	C23H30O5	Terpenoids	0.4273173213005066	Coumarins	0.5182285904884338	Simple coumarins	0.1970844566822052	Coumarins and derivatives	0.5083203911781311					Coumarins and derivatives	0.5083203911781311	Phenylpropanoids and polyketides	0.2649153769016266	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Alkyl aryl ethers; Alcohols and polyols; Coumarins and derivatives; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_18.105_387.21446
6_RP_mgf_modified_matching_featureID_adduct_FT_18.038_451.17535	C19H26N6O5S	[M + H]+	C19H26N6O5S	Alkaloids	0.9905067682266235	Pseudoalkaloids	0.3211621642112732	pteridine alkaloids	0.39663177728652954	Alkyl aryl ethers	0.6329799890518188	Alkyl aryl ethers	0.6329799890518188	Ethers	0.9294993281364441	Organooxygen compounds	0.9999653100967407	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Dialkyl ethers; Aminopyrimidines and derivatives; Diazines; Organosulfonamides; Benzenoids; Amines; Aminosulfonyl compounds; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_18.038_451.17535
7_RP_mgf_modified_matching_featureID_adduct_FT_18.056_413.12325	C23H16N4O4	[M + H]+	C23H16N4O4	Shikimates and Phenylpropanoids	0.21441996097564697	Anthranilic acid alkaloids	0.5547070503234863	Carboline alkaloids	0.10744721442461014	N-acyl-alpha amino acids	0.8301644325256348	Amino acids and derivatives	0.9936246871948242	Amino acids, peptides, and analogues	0.9932664632797241	Carboxylic acids and derivatives	0.9991602897644043	Organic acids and derivatives	0.9992560744285583	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyridines and derivatives; Benzamides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Quinolines and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; N-acyl-alpha amino acids; Benzenoids; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_18.056_413.12325
8_RP_mgf_modified_matching_featureID_adduct_FT_17.968_317.17450	C15H20N6O2	[M + H]+	C15H20N6O2	Amino acids and Peptides	0.9869905114173889	Small peptides	0.9837936758995056	Dipeptides	0.7190942168235779	Alpha amino acids and derivatives	0.9951560497283936	Amino acids and derivatives	0.9880330562591553	Amino acids, peptides, and analogues	0.9890576004981995	Carboxylic acids and derivatives	0.9738417863845825	Organic acids and derivatives	0.9742626547813416	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_17.968_317.17450
10_RP_mgf_modified_matching_featureID_adduct_FT_1.112_147.07644	C5H7NO3	[M + H3N + H]+	C5H10N2O3	Amino acids and Peptides	0.9373366236686707	Small peptides	0.998531699180603	Aminoacids	0.9309499263763428	Proline and derivatives	0.9458028078079224	Amino acids and derivatives	0.8453577756881714	Amino acids, peptides, and analogues	0.8410456776618958	Carboxylic acids and derivatives	0.9999345541000366	Organic acids and derivatives	0.9999850988388062	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_1.112_147.07644
11_RP_mgf_modified_matching_featureID_adduct_FT_7.909_220.11801	C9H17NO5	[M + H]+	C9H17NO5	Fatty acids	0.7004403471946716	Fatty amides	0.7295511960983276	N-acyl amines	0.8826163411140442	Beta amino acids and derivatives	0.8579496741294861	Amino acids and derivatives	0.8288982510566711	Amino acids, peptides, and analogues	0.8479419350624084	Carboxylic acids and derivatives	0.9903824925422668	Organic acids and derivatives	0.9996009469032288	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Beta amino acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_7.909_220.11801
