compound,kegg_cid
(-)-Slaframine,C06185
"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C09276
(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid,C04462
"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid",C06034
"(2S,6S)-2,6-diaminoheptanedioic acid",C00666
"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C03652
"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one",C21896
1-(Carboxymethyl)cyclohexanecarboxylic acid,C16223
"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene",C04547
"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione",C10343
12(13)-DiHOME,C14829
13-OxoODE,C14765
16-Hydroxyhexadecanoic acid,C18218
"17beta-Hydroxyandrost-4-ene-3,11-dione propionate",C15009
1-Guanidino-2-(4-imidazole)propionic acid,C14222
"1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol",C15255
1-O-trans-Cinnamoyl-beta-D-glucopyranose,C04164
"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-",C17686
2(5H)-Furanone,C17601
"2,3-Dihydroxy-4-methoxybenzoic acid",D10610
"2,5-Dichloro-4-oxohex-2-enedioate",C12835
2-Amino-3-oxohexanedioic acid,C05520
2-Aminoadipic acid,C00956
2'-Deoxyadenosine,C00559
2'-Deoxycytidine,C00881
2-Deoxyguanosine,C00330
2'-Deoxyinosine,C05512
2-Methoxy-6Z-hexadecenoic acid,C13946
2-Methyllactic acid,C21297
2-Methylsuccinic acid,C02614
2'-N-Acetylparomamine,C17582
2-O-alpha-mannosyl-D-glycerate,C11544
2-Oxoarginine,C03771
2-Succinylbenzoate,C02730
2-sulfotrehalose,C20985
2-xylene,C07212
3-(3-Hydroxyphenyl)propionic Acid,C11457
3-Buten-1-amine,C12244
3-Dimethylallyl-4-hydroxymandelic acid,C12457
3-hydroxy-3-methylpentanedioic acid,C03761
3-hydroxybutyric acid,C01089
"3-Hydroxy-estra-1,3,5(10)-trien-16-one",C15215
