module_id,name,definition,orthology,class,pathway,reaction,compound
M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786];polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189];ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085];glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R13199];6-phosphofructokinase [EC:2.7.1.11] [RN:R00756];ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R05805];fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01068];triosephosphate isomerase [EC:5.3.1.1] [RN:R01015];glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063];phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512];glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159];phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518];enolase [EC:4.2.1.11] [RN:R00658];pyruvate kinase [EC:2.7.1.40] [RN:R00200],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Glycolysis / Gluconeogenesis;Carbon metabolism;Metabolic pathways,C00267 -> C00668;C00668 -> C00085;C00085 -> C00354;C00354 -> C00111 + C00118;C00111 -> C00118;C00118 -> C00236;C00236 -> C00197;C00118 -> C00197;C00197 -> C00631;C00631 -> C00074;C00074 -> C00022,"alpha-D-Glucose;alpha-D-Glucose 6-phosphate;D-Fructose 6-phosphate;D-Fructose 1,6-bisphosphate;Glycerone phosphate;D-Glyceraldehyde 3-phosphate;3-Phospho-D-glyceroyl phosphate;3-Phospho-D-glycerate;2-Phospho-D-glycerate;Phosphoenolpyruvate;Pyruvate"
M00002,"Glycolysis, core module involving three-carbon compounds","K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",triosephosphate isomerase [EC:5.3.1.1] [RN:R01015];glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063];phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512];glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159];phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518];enolase [EC:4.2.1.11] [RN:R00658];pyruvate kinase [EC:2.7.1.40] [RN:R00200],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Glycolysis / Gluconeogenesis;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways,C00111 -> C00118;C00118 -> C00236;C00236 -> C00197;C00118 -> C00197;C00197 -> C00631;C00631 -> C00074;C00074 -> C00022,Glycerone phosphate;D-Glyceraldehyde 3-phosphate;3-Phospho-D-glyceroyl phosphate;3-Phospho-D-glycerate;2-Phospho-D-glycerate;Phosphoenolpyruvate;Pyruvate
M00003,"Gluconeogenesis, oxaloacetate => fructose-6P","(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)","phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341];enolase [EC:4.2.1.11] [RN:R00658];phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518];phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512];glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063];triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015];fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01068];fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R00762];fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01068 R00762]",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Metabolic pathways,C00036 -> C00074;C00074 -> C00631;C00631 -> C00197;C00197 -> C00236;C00236 -> C00118;C00118 -> C00111;C00111 + C00118 -> C00354;C00354 -> C00085,"Oxaloacetate;Phosphoenolpyruvate;2-Phospho-D-glycerate;3-Phospho-D-glycerate;3-Phospho-D-glyceroyl phosphate;D-Glyceraldehyde 3-phosphate;Glycerone phosphate;D-Fructose 1,6-bisphosphate;D-Fructose 6-phosphate"
M00004,Pentose phosphate pathway (Pentose phosphate cycle),"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)",hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035];glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907];6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035];6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221];ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529];ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056];transketolase [EC:2.2.1.1] [RN:R01641 R01067];transaldolase [EC:2.2.1.2] [RN:R08575];glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R13199 R02739],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments,C01172 -> C01236;C01236 -> C00345;C00345 -> C00199;C00199 -> C00231;C00199 -> C00117;C00117 + C00231 -> C05382 + C00118;C05382 + C00118 -> C00279 + C00085;C00279 + C00231 -> C00085 + C00118;C00085 -> C00668;C00668 -> C01172,"beta-D-Glucose 6-phosphate;D-Glucono-1,5-lactone 6-phosphate;6-Phospho-D-gluconate;D-Ribulose 5-phosphate;D-Xylulose 5-phosphate;D-Ribose 5-phosphate;Sedoheptulose 7-phosphate;D-Glyceraldehyde 3-phosphate;D-Erythrose 4-phosphate;D-Fructose 6-phosphate;alpha-D-Glucose 6-phosphate"
M00005,"PRPP biosynthesis, ribose 5P => PRPP",K00948,ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Purine metabolism;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways,C00117 -> C00119,D-Ribose 5-phosphate;5-Phospho-alpha-D-ribose 1-diphosphate
M00006,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P","(K13937,((K00036,K19243) (K01057,K07404))) K00033",hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035];glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907];6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035];6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments,C01172 -> C01236;C01236 -> C00345;C00345 -> C00199,"beta-D-Glucose 6-phosphate;D-Glucono-1,5-lactone 6-phosphate;6-Phospho-D-gluconate;D-Ribulose 5-phosphate"
M00007,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P","K00615 (K00616,K13810) K01783 (K01807,K01808)",transketolase [EC:2.2.1.1] [RN:R01067 R01641];transaldolase [EC:2.2.1.2] [RN:R08575];ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529];ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Biosynthesis of amino acids;Metabolic pathways;Microbial metabolism in diverse environments,C00085 + C00118 -> C00279 + C00231;C00279 + C00085 -> C05382 + C00118;C05382 + C00118 -> C00117 + C00231;C00231 -> C00199;C00199 -> C00117,D-Fructose 6-phosphate;D-Glyceraldehyde 3-phosphate;D-Erythrose 4-phosphate;D-Xylulose 5-phosphate;Sedoheptulose 7-phosphate;D-Ribose 5-phosphate;D-Ribulose 5-phosphate
M00008,"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate","K00036 (K01057,K07404) K01690 K01625",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] [RN:R02736 R10907];6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035];phosphogluconate dehydratase [EC:4.2.1.12] [RN:R02036];2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Pentose phosphate pathway;Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments,C01172 -> C01236;C01236 -> C00345;C00345 -> C04442;C04442 -> C00118 + C00022,"beta-D-Glucose 6-phosphate;D-Glucono-1,5-lactone 6-phosphate;6-Phospho-D-gluconate;2-Dehydro-3-deoxy-6-phospho-D-gluconate;D-Glyceraldehyde 3-phosphate;Pyruvate"
M00009,"Citrate cycle (TCA cycle, Krebs cycle)","(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)","citrate synthase [EC:2.3.3.1] [RN:R00351];citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351];aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324];isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709];2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R01700 R02570 R07618];2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197];2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197];2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197];2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197];succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405];succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727];succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343];succinate dehydrogenase [EC:1.3.5.1] [RN:R02164];succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164];NA  K00244,K00245,K00246,K00247 fumarate reductase [EC:1.3.5.4] [RN:R02164];fumarate hydratase [EC:4.2.1.2] [RN:R01082];malate dehydrogenase [EC:1.1.1.37] [RN:R00342];malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]",Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Citrate cycle (TCA cycle);Carbon metabolism;Metabolic pathways,C00024 + C00036 -> C00158;C00158 -> C00311;C00311 -> C00026;C00026 + C15972 -> C16254;C16254 -> C00091 + C15973;C15973 -> C15972;C00026 -> C00091;C00091 -> C00042;C00042 -> C00122;C00122 -> C00149;C00149 -> C00036,Acetyl-CoA;Oxaloacetate;Citrate;Isocitrate;2-Oxoglutarate;Enzyme N6-(lipoyl)lysine;[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine;Succinyl-CoA;Enzyme N6-(dihydrolipoyl)lysine;Succinate;Fumarate;(S)-Malate
M00010,"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","(K01647,K05942) (K01681,K01682) (K00031,K00030)",citrate synthase [EC:2.3.3.1] [RN:R00351];citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351];aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324];isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709],Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism,Citrate cycle (TCA cycle);Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Metabolic pathways,C00036 + C00024 -> C00158;C00158 -> C00311;C00311 -> C00026,Oxaloacetate;Acetyl-CoA;Citrate;Isocitrate;2-Oxoglutarate
