Metabolite,x,y
Formamide,700,-200
Formate,700,-300
Glutamate,50,-550
Glutamine,50,-300
N2,480,-700
N2H4,600,-600
N2O,800,-800
NH2OH,800,-50
NH3,380,-420
Nitrile,180,-700
NO,1100,-720
NO2-,1200,-300
NO3-,1500,-200
R-NO2,1500,-600
R00796,1350,-100
R00794,1350,-150
R09497,1350,-200
R00791,1350,-250
R00798,1350,-300
R10388,1350,-400
R10389,1350,-450
R00025,1350,-500
R00785,1225,-470
R00783,1175,-470
R10164,1075,-150
R00790,800,-450
R00143,500,-250
R00148,400,-150
R02804,650,-780
R09799,700,-500
R05185,380,-600
R00248,290,-525
R00243,290,-475
R00253,230,-420
R00540,300,-650
R00114,180,-425
R00524,500,-325
