node_name,connect_to,connect_from,x,y,xend,yend,name,node_type,May,July_1,July_2,July_3,August,October,May_22,KEGG_name,pathway,path_name,,type
NH3,NH3,NH3,380,-420,380,-420,C00014,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,NH3,map00910,Nitrogen metabolism,,node
Formamide,Formamide,Formamide,700,-200,700,-200,C00488,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,CH3NO,map00910,Nitrogen metabolism,,node
Formate,Formate,Formate,700,-300,700,-300,C00058,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,HCOO-,map00910,Nitrogen metabolism,,node
N2H4,N2H4,N2H4,600,-600,600,-600,C05361,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,N2H4,map00910,Nitrogen metabolism,,node
NH2OH,NH2OH,NH2OH,800,-50,800,-50,C00192,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,NH2OH,map00910,Nitrogen metabolism,,node
Glutamate,Glutamate,Glutamate,50,-550,50,-550,C00025,Detected metabolite,NA,NA,NA,NA,NA,NA,NA,Glu,map00910,Nitrogen metabolism,,node
Glutamine,Glutamine,Glutamine,50,-300,50,-300,C00064,Detected metabolite,NA,NA,NA,NA,NA,NA,NA,Gln,map00910,Nitrogen metabolism,,node
NO3-,NO3-,NO3-,1500,-200,1500,-200,C00244,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,NO3-,map00910,Nitrogen metabolism,,node
NO,NO,NO,1100,-720,1100,-720,C00533,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,NO,map00910,Nitrogen metabolism,,node
Nitrile,Nitrile,Nitrile,180,-700,180,-700,C00726,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,Nitrile,map00910,Nitrogen metabolism,,node
NO2-,NO2-,NO2-,1200,-300,1200,-300,C00088,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,NO2-,map00910,Nitrogen metabolism,,node
R-NO2,R-NO2,R-NO2,1500,-600,1500,-600,C06058,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,R-NO2,map00910,Nitrogen metabolism,,node
N2,N2,N2,480,-700,480,-700,C00697,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,N2,map00910,Nitrogen metabolism,,node
N2O,N2O,N2O,800,-800,800,-800,C00887,Undetected metabolite,NA,NA,NA,NA,NA,NA,NA,N2O,map00910,Nitrogen metabolism,,node
R00794,NO3-,R00794,1500,-200,1350,-150,R00794,Reaction present,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
R00794,NO2-,R00794,1200,-300,1350,-150,R00794,Reaction present,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
R00796,NO3-,R00796,1500,-200,1350,-100,R00796,Reaction present,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
R00796,NO2-,R00796,1200,-300,1350,-100,R00796,Reaction present,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
R00798,NO3-,R00798,1500,-200,1350,-300,R00798,Reaction present,3.055287625,2.712121233,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
R00798,NO2-,R00798,1200,-300,1350,-300,R00798,Reaction present,3.055287625,2.712121233,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
R09497,NO3-,R09497,1500,-200,1350,-200,R09497,Reaction present,3.055287625,1.865358578,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
R09497,NO2-,R09497,1200,-300,1350,-200,R09497,Reaction present,3.055287625,1.865358578,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
R00791,NO3-,R00791,1500,-200,1350,-250,R00791,Reaction present,116.0123538,37.78006741,30.12969392,34.37930764,27.39774914,69.93889787,85.10168914,NA,map00910,Nitrogen metabolism,,edge
R00791,NO2-,R00791,1200,-300,1350,-250,R00791,Reaction present,116.0123538,37.78006741,30.12969392,34.37930764,27.39774914,69.93889787,85.10168914,NA,map00910,Nitrogen metabolism,,edge
R10388,R-NO2,R10388,1500,-600,1350,-400,R10388,Reaction present,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
R10388,NO2-,R10388,1200,-300,1350,-400,R10388,Reaction present,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
R10389,R-NO2,R10389,1500,-600,1350,-450,R10389,Reaction present,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
