x,y,name,node_type,xend,yend,May,July_1,July_2,July_3,August,October,May_22,KEGG_name,pathway,path_name,,type
7,4,C00014,Undetected metabolite,7,4,NA,NA,NA,NA,NA,NA,NA,NH3,map00910,Nitrogen metabolism,,node
8,4,C01563,Undetected metabolite,8,4,NA,NA,NA,NA,NA,NA,NA,Carbamate,map00910,Nitrogen metabolism,,node
8,5,C00011,Undetected metabolite,8,5,NA,NA,NA,NA,NA,NA,NA,CO2,map00910,Nitrogen metabolism,,node
9,4,C01417,Undetected metabolite,9,4,NA,NA,NA,NA,NA,NA,NA,OCN-,map00910,Nitrogen metabolism,,node
8,5.5,C00488,Undetected metabolite,8,5.5,NA,NA,NA,NA,NA,NA,NA,CH3NO,map00910,Nitrogen metabolism,,node
9,5,C00058,Undetected metabolite,9,5,NA,NA,NA,NA,NA,NA,NA,HCOO-,map00910,Nitrogen metabolism,,node
9,5,C00288,Undetected metabolite,9,5,NA,NA,NA,NA,NA,NA,NA,HCO3-,map00910,Nitrogen metabolism,,node
6,5,C05361,Undetected metabolite,6,5,NA,NA,NA,NA,NA,NA,NA,N2H4,map00910,Nitrogen metabolism,,node
5,3,C00192,Undetected metabolite,5,3,NA,NA,NA,NA,NA,NA,NA,NH2OH,map00910,Nitrogen metabolism,,node
9,3,C00025,Detected metabolite,9,3,NA,NA,NA,NA,NA,NA,NA,Glu,map00910,Nitrogen metabolism,,node
9,4,C00064,Detected metabolite,9,4,NA,NA,NA,NA,NA,NA,NA,Gln,map00910,Nitrogen metabolism,,node
2,4.5,R03071,Reaction present,1,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
2,4.5,R03071,Reaction present,3,4,NA,NA,NA,NA,NA,NA,NA,NA,map00910,Nitrogen metabolism,,edge
2,4.167,R00794,Reaction present,1,4,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
2,4.167,R00794,Reaction present,3,4,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
2,4.833,R00796,Reaction present,1,4,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
2,4.833,R00796,Reaction present,3,4,1269.122809,580.7197655,420.137351,444.3976271,408.2882251,990.2130041,938.130862,NA,map00910,Nitrogen metabolism,,edge
2,3.167,R00798,Reaction present,1,4,3.055287625,2.712121233,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
2,3.167,R00798,Reaction present,3,4,3.055287625,2.712121233,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
3.333,3,R10388,Reaction present,3,2,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
3.333,3,R10388,Reaction present,3,4,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
2,3.833,R09497,Reaction present,1,4,3.055287625,1.865358578,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
2,3.833,R09497,Reaction present,3,4,3.055287625,1.865358578,4.934585812,137.0515967,197.5923711,3.91917519,3.933616045,NA,map00910,Nitrogen metabolism,,edge
2,3.5,R00791,Reaction present,1,4,116.0123538,37.78006741,30.12969392,34.37930764,27.39774914,69.93889787,85.10168914,NA,map00910,Nitrogen metabolism,,edge
2,3.5,R00791,Reaction present,3,4,116.0123538,37.78006741,30.12969392,34.37930764,27.39774914,69.93889787,85.10168914,NA,map00910,Nitrogen metabolism,,edge
2.667,3,R10389,Reaction present,3,2,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
2.667,3,R10389,Reaction present,3,4,24.03378754,23.31866391,23.83686258,21.56112224,28.43558783,27.21512337,13.73104385,NA,map00910,Nitrogen metabolism,,edge
3,3,R00025,Reaction present,3,2,87.23377969,109.4617155,65.16390082,58.02882104,63.07442686,87.10325957,72.85817323,NA,map00910,Nitrogen metabolism,,edge
3,3,R00025,Reaction present,3,4,87.23377969,109.4617155,65.16390082,58.02882104,63.07442686,87.10325957,72.85817323,NA,map00910,Nitrogen metabolism,,edge
2.833,5,R00785,Reaction present,3,4,278.4451804,416.9737443,330.0032447,311.7547181,287.1945235,162.4340852,219.3079942,NA,map00910,Nitrogen metabolism,,edge
2.833,5,R00785,Reaction present,3,6,278.4451804,416.9737443,330.0032447,311.7547181,287.1945235,162.4340852,219.3079942,NA,map00910,Nitrogen metabolism,,edge
4,3.333,R10164,Reaction present,3,4,4.830133788,4.848206266,3.656382458,2.572482005,2.865842038,6.108140249,6.120803144,NA,map00910,Nitrogen metabolism,,edge
