query,ko,name
Curcumin,cpd:C10443,Curcumin; Kacha haldi
Acetovanillone,cpd:C11380,Apocynin; Acetovanillone
Hexadecanedioic acid,cpd:C19615,Hexadecanedioate; Hexadecanedioic acid
Umbelliferone,cpd:C09315,Umbelliferone; 7-Hydroxycoumarin
(-)-Corey lactone,NA,NA
(+/-)-strobide B,NA,NA
Ferulic acid,cpd:C01494,Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate
"(10,15-Dihydroxy-6,14,18,18,22-pentamethyl-8,19-dioxo-7,13-dioxapentacyclo[12.8.0.03,12.04,9.017,22]docosa-3(12),4(9),10,20-tetraen-5-yl) acetate",NA,NA
Caffeic acid,cpd:C01197,"Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate"
Caffeic acid,cpd:C01481,"Caffeate; Caffeic acid; 3,4-Dihydroxycinnamic acid"
Caffeic acid,cpd:C10431,Caffeic acid 3-glucoside
Vanillic acid,cpd:C06672,Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid
Syringic acid,cpd:C10833,"Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether"
Maleic acid,cpd:C01384,Maleic acid; Maleate; cis-Butenedioic acid
Sucrose,cpd:C00089,Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid",NA,NA
D-Glutamic acid,cpd:C00217,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid
"(16,17-Dimethoxy-12-oxo-6-prop-1-en-2-yl-2,7,20-trioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3,8,10,14,16,18-hexaen-10-yl) acetate",NA,NA
"(1beta,4alpha,5alpha,6beta,8alpha,10b)-1,10:4,5-Diepoxy-6-hydroxy-7(11)-germacren-12,8-olide",NA,NA
"(1R,4S)-7,7-Dimethyl-2-oxobicyclo[2.2.1]heptane-1-carboxylic acid",NA,NA
3-hydroxybutyric acid,cpd:C01089,(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid; D-beta-Hydroxybutyric acid
2-Methylsuccinic acid,cpd:C02614,(S)-2-Methylmalate; (S)-2-Methylmalic acid; (S)-Citramalate; (S)-Citramalic acid; (S)-alpha-Hydroxypyrotartaric acid; L-Citramalate; L-Citramalic acid; L-alpha-Hydroxypyrotartaric acid; (2S)-2-Hydroxy-2-methylbutanedioate; (S)-2-Hydroxy-2-methylsuccinic acid
"(1S,9R,10R)-3,4-dihydroxy-11,11-dimethyl-5-propan-2-yl-16-oxatetracyclo[7.5.2.01,10.02,7]hexadeca-2,4,6-triene-8,15-dione",NA,NA
Adenine,cpd:C00147,Adenine; 6-Aminopurine
Adenine,cpd:C00821,DNA adenine; Adenine in DNA
Adenine,cpd:C20648,Adenine in rRNA
Adenine,cpd:C21798,Adenine in U6 snRNA; Adenine(43) in U6 snRNA
Adenine,cpd:C21844,Adenine in mRNA
Adenine,cpd:C22573,Adenine in double-stranded RNA
Succinic acid,cpd:C00042,Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid
Uridine,cpd:C00299,Uridine
2'-Deoxyinosine,cpd:C05512,Deoxyinosine; 2'-Deoxyinosine
Allantoin,cpd:C01551,Allantoin; 5-Ureidohydantoin; Glyoxyldiureide
Allantoin,cpd:C02348,(R)(-)-Allantoin; (R)-Allantoin
Allantoin,cpd:C02350,(S)-Allantoin; (S)(+)-Allantoin
