KEGG_ID,PubChem_CID,query
not found,21635171,Waraterpol
not found,14704458,villosinol
not found,44557644,Ustusorane A
not found,14391671,Tsibulin 2
not found,72942156,"Trimethyl 5-methoxybenzene-1,2,4-tricarboxylate"
not found,78093701,Trichocyalide B
not found,824901,Triacetylphloroglucinol
not found,18047,Toliprolol
not found,139586543,Territrem E
not found,77461064,Sterenin F
not found,475769,Sporovexin C
not found,596344,Sparassol
not found,5376187,Sorbicillin
not found,5460955,solatriose
not found,139025367,S-methylergothioneine
not found,10036567,Senkyunolide H
C09276,334704,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one"
C04462,440349,(2S)-2-(3-carboxypropanamido)-6-oxoheptanedioic acid
not found,5316704,Senkyunolide H
not found,73211861,Saccharonol B
not found,6708539,Rotenonic acid
not found,86863,Ritalinic acid
not found,76450517,Pseudoalteromone A
C06034,440894,"(2S,4S)-4-amino-2-hydroxy-2-methylpentanedioic acid"
C00666,439283,"(2S,6S)-2,6-diaminoheptanedioic acid"
not found,5283037,Prostaglandin K2
not found,3056739,"Propiophenone, 2',4'-dimethoxy-3-(2-methylpiperidino)-"
not found,3838871,Pro-Asp
not found,10890323,Preremirol
not found,146684996,Prenylterphenyllin J
C03652,440075,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid"
not found,10712965,pongachalcone II
not found,14890279,Piperenol A triacetate
not found,5312495,Pinolenic acid
not found,101876422,Phomopsolidone A
not found,76347,Phloroglucinol triacetate
not found,11149722,Peucedanol
not found,52920647,Pestalotiopyrone H
not found,75368817,Peruvinine
not found,316180,Pentahydroxybenzene
not found,16681748,Peniprequinolone
not found,71664848,Penicimarin E
not found,154035,p-Cresol glucuronide
not found,135410277,Parasperone A
not found,71464537,O-sebacoylcarnitine
not found,132487830,Ochracene D
not found,5354677,O-acetylferulic acid
not found,5288346,O-(3-O-beta-D-galactosyl-N-acetyl-alpha-D-galactosaminyl)-L-serine
not found,132725,O-(2-O-Mannopyranosyl-mannopyranosyl)serine
not found,134715173,Nuezhenidic acid
not found,25202447,"N-succinyl-L,L-2,6-diaminopimelate"
NA,15560601,NP-022068
NA,129008970,NP-021074
NA,125416500,NP-021018
NA,129008942,NP-020902
NA,102571668,NP-020400
NA,102571659,NP-020364
NA,129008906,NP-020353
NA,102571644,NP-020240
NA,128964456,NP-020236
NA,102571597,NP-020206
NA,102571596,NP-020205
NA,75528932,NP-019992
NA,75411942,NP-019547
NA,75411933,NP-019509
NA,56773904,NP-016564
NA,45359531,NP-014287
NA,45359494,NP-012972
NA,45359427,NP-012042
NA,538589,NP-011223
NA,53851542,NP-008993
NA,45359318,NP-008095
NA,45782826,NP-005088
NA,11241847,NP-004713
C21896,16547,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one"
NA,44566996,NP-003672
NA,23789035,NP-002322
NA,75368714,NP-001608
not found,76500,"Nonanamide, N,N-bis(2-hydroxyethyl)-"
C16223,260003,1-(Carboxymethyl)cyclohexanecarboxylic acid
not found,131770417,N-lactoyl-Valine
not found,12313376,Nimbolide
C04547,5280698,"1,2-Bis(4-hydroxy-3-methoxyphenyl)ethylene"
not found,131752605,Neocretanin
not found,679011,"N-cycloheptyl-3,4-dimethoxybenzamide"
not found,90658871,N-acetyl-L-glutaminyl-L-glutamine
C10343,3220,"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione"
not found,9800166,N-Acetyl-D-lactosamine
not found,248869,N6-Me-dA
not found,2817699,N1-(1H-indol-4-yl)cyclohexane-1-carboxamide
not found,25389102,"N-{[(2R,4S,5R)-5-Ethyl-1-azabicyclo[2.2.2]oct-2-yl]methyl}-2-thiophenesulfonamide"
not found,4869777,"N-(sec-butyl)-2-(7,8-dimethoxy-4-methyl-2-oxo-2H-chromen-3-yl)acetamide"
not found,42506534,N-(2-methoxyphenyl)-N~3~-9H-purin-6-yl-beta-alaninamide
not found,74049867,N-(2-hydroxyethyl)-N-[(2S)-2-hydroxypropyl]octanamide
not found,8899,N-(2-Hydroxyethyl)dodecanamide
not found,73254404,N-(2-amino-9H-purin-6-yl)alanine
not found,131752244,N-(1-Deoxy-1-fructosyl)leucine
not found,9888014,Myrtucommulone B
not found,11355498,Methylbetain
not found,591773,Methyl Haematommate
not found,5357283,Methyl ferulate
not found,78385296,Methyl 6-O-galloyl-b-D-glucopyranoside
C14829,10236635,12(13)-DiHOME
not found,101316749,"methyl 5,7-dimethoxy-6-methyl-1-oxo-3H-2-benzofuran-4-carboxylate"
not found,2739565,methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate
not found,518900,Methyl 4-hydroxyphenylacetate
C15009,239804,"17beta-Hydroxyandrost-4-ene-3,11-dione propionate"
not found,16830,Methyl 4-hydroxy-3-methoxy-cinnamate
not found,14299523,"Methyl 4-acetyloxy-3,5-dimethoxybenzoate"
not found,296952,Methyl 3-Methoxy-2-naphthoate
not found,15956,"Methyl 3,4,5-trimethoxybenzoate"
C14222,195081,1-Guanidino-2-(4-imidazole)propionic acid
not found,4661376,"Methyl 2-methyl-4,6-dioxocyclohexanecarboxylate"
not found,3015902,Methyl 2-butyl-3-oxocyclopentanecarboxylate
C15255,222846,"1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol"
not found,76658,"Methyl 2,4-dihydroxy-6-methylbenzoate"
not found,78435,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate"
not found,101675306,"methyl (E)-3-(7-methoxy-1,3-benzodioxol-5-yl)prop-2-enoate"
not found,21762755,methyl (E)-3-(5-methyl-6-oxopyran-2-yl)but-2-enoate
not found,847,Methionine sulfoxide
C17686,46173978,"2(3H)-Furanone, dihydro-4-((4-hydroxy-3-(2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-1-(hydroxymethyl)ethyl)-5-methoxyphenyl)methyl)-3-((4-hydroxy-3-methoxyphenyl)methyl)-, (3R,4R)-"
not found,101395619,methadone-d9
not found,91753566,"Megastigma-4,6(E),8(Z)-triene"
not found,25774975,Lignicol
not found,11579,Levulinic acid
not found,5351619,L-Ergothioneine
not found,74539953,Laminaripentaose
not found,83525,L-Alanyl-L-proline
not found,129634007,l-Alanyl-d-alanyl-l-alanine
not found,11536624,Lachnone C
D10610,77534,"2,3-Dihydroxy-4-methoxybenzoic acid"
not found,91820288,L-2-amino-8-oxodecanoic acid
not found,34059,Kotanin
not found,23624765,Kioukasin A
not found,114778,Kahweol
C12835,5282172,"2,5-Dichloro-4-oxohex-2-enedioate"
not found,5318650,Isorhapontigenin
not found,521840,Isopropylidene-succinic acid
not found,74336861,Isophysalin G
not found,13938912,Isomaltotetraose
not found,162344837,Isomaltotetraose
not found,9852757,Isomaltotetraose
not found,13938911,Isomaltotetraose
not found,132274967,Isomaltotetraose
not found,25227053,Isoleucyl-hydroxyproline
not found,22935676,Isoleucylglutamine
not found,16105144,Isobisvertinol
not found,53387507,Ieodomycin D
not found,14340,Hydroferulic acid
not found,7010718,H-Lys-Thr-OH
not found,54750156,Hexaketide pyrone
not found,4643333,"Heteropeucenin, methyl ether"
not found,45480574,Hep-Hep
not found,173069,Helenalin methacrylate
not found,10688914,hamilcone
C00330,135398592,2-Deoxyguanosine
not found,6710680,Haematommic Acid
not found,6710680,Haematommic acid
not found,135764860,Guanosine dialdehyde
not found,10243103,Gtri-02
not found,9993900,Gonioheptolide A
not found,192765,glyceryl sulfoquinovoside
not found,515717,Glu-Tyr
C21297,11671,2-Methyllactic acid
not found,6998031,Glu-Thr
C11544,5460194,2-O-alpha-mannosyl-D-glycerate
not found,7940,Glutaric anhydride
not found,6992567,glutamylvaline
C07212,7237,2-xylene
not found,433630,glutamylvaline
not found,433630,Glutamylvaline
not found,122304,Glucosylgalactosylhydroxylysine
not found,57262456,Gln-Val
not found,7020029,Gln-Glu
not found,9841618,GlcA(b1-4)a-Glc
not found,100920977,Glc(b1-4)Glc(b1-3)Glc(b1-4)Glc(b1-4)Glc(b1-3)Glc
not found,11034886,Gibberellin A88
not found,10916629,Garcimangosone C
C11457,91,3-(3-Hydroxyphenyl)propionic Acid
not found,317611,Gangetin
not found,7009567,gamma-Glutamylmethionine
not found,151023,gamma-Glu-leu
not found,71581117,fumicycline A
not found,71297246,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)Glc
not found,12180841,"formyl 2Z,4E,6Z-decatrienoate"
not found,5317361,Floridinine
not found,9828326,F13459
not found,10119161,F13459
not found,5317271,Eugenone
NA,448830,Ethyldimethyl(3-sulfopropyl)azanium
NA,13942820,"Ethyl 6-ethyl-2,4-dihydroxy-3-methylbenzoate"
NA,100968,Ethyl 2-methyl-4-oxo-6-pentylcyclohex-2-ene-1-carboxylate
NA,11687311,"Ethanone, 1-[2,4,6-trihydroxy-3-(3-methyl-2-butenyl)phenyl]-"
NA,53481559,"Estrone-2,3-quinone"
NA,14704460,Erythynone
NA,132282054,Erucifoline N-oxide
NA,44258367,embigenin
NA,1780,Eicosatetraynoic acid
NA,13970420,Dukunolide D
NA,6997253,D-Pantothenate
NA,91696349,D-Melezitose
NA,555,DL-Stachydrine
NA,9952605,Dimethoxycurcumin
NA,76551322,Dihydrodeoxy-8-epiaustdiol
NA,8021,Diethamine
C15215,251869,"3-Hydroxy-estra-1,3,5(10)-trien-16-one"
NA,443223,"D-Glycero-D-manno-heptose 1,7-bisphosphate"
NA,10192839,d-Galactopyranose-2-sulfate
NA,146672858,Dehydrocitreoisocoumarin
NA,9920917,Dehydrochorismic acid
NA,122201239,Dehydroaustin
NA,13387679,Decarboxythamnolic acid
NA,11708501,"Decanoic acid, 2-amino-8-oxo-, (2S)-"
NA,277822,DeazaUrd
NA,99841,"Daphnetoxin,12-hydroxy"
NA,182000,dalpanol
NA,182000,Dalpanol
not found,54301978,D-(+)-Turanose
not found,16220012,D-(+)-Turanose
not found,10236867,D-(+)-Turanose
not found,91746259,D-(+)-Turanose
C03663,6990,4-Acetylresorcinol
NA,534634,Cyclohexadec-8-en-1-one
C15080,5838784,"4-Benzyloxy-2'-hydroxy-3',4',5',6'-tetramethoxychalcone"
NA,101995281,Coriandrone D
NA,131750936,Coriandrone D
NA,139583741,Colisiderin A
C01179,979,4-Hydroxyphenylpyruvic acid
NA,44254692,Clinopodic Acid B
NA,85149847,Citbismine C
C10480,4276,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole"
NA,5356697,"cis-2,4-Pentadienal"
NA,85857,"Cinnamic acid, p-hydroxy-, acetate"
NA,23815258,"Cembratetraene-16,2:19,6-diolide"
