CHEBI_ID,PubChem_CID,query
CHEBI:86612,14340,Hydroferulic acid
CHEBI:1427,91,3-(3-Hydroxyphenyl)propionic Acid
CHEBI:18414,6990,4-Acetylresorcinol
CHEBI:36219,84571,alpha-D-Lactose
CHEBI:37788,30819,O-Phospho-L-tyrosine
CHEBI:45630,11579,Levulinic acid
CHEBI:50129,11671,2-Methyllactic acid
CHEBI:17172,135398592,2-Deoxyguanosine
CHEBI:16964,78168,5-(Hydroxymethyl)uracil
CHEBI:167719,2724453,(-)-Corey lactone
CHEBI:139445,24066906,"(15Z)-9,12,13-Trihydroxy-15-octadecenoic acid"
CHEBI:177850,6439847,(±)9-HpODE
CHEBI:190537,45359610,"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one"
CHEBI:143735,260003,1-(Carboxymethyl)cyclohexanecarboxylic acid
CHEBI:183359,75411985,"1,5,8-Trihydroxy-9-oxo-9H-xanthen-3-yl beta-D-glucopyranoside"
CHEBI:165310,16061098,19(R)-Hydroxy prostaglandin A2
CHEBI:167739,17760167,2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid
CHEBI:144161,6710680,Haematommic Acid
CHEBI:144161,6710680,Haematommic acid
CHEBI:139272,107802,3-Hydroxyvaleric acid
CHEBI:89628,107802,3-Hydroxyvaleric acid
CHEBI:190617,5715152,"4,5-diphenyl-2,3-dihydro-1H-pyrazolo[3,4-c]pyridazin-3-one"
CHEBI:181884,23986038,"4-[2-(2,3-Dihydroxy-5,6,8a-trimethyloctahydro-2H-spiro[naphthalene-1,2'-oxiran]-5-yl)ethyl]-5-hydroxy-2(5H)-furanone"
CHEBI:149776,8485,4-Dodecylbenzenesulfonic acid
CHEBI:15999,979,4-Hydroxyphenylpyruvic acid
CHEBI:176669,5354284,"5,7-Dihydroxy-4-methylcoumarin"
CHEBI:201659,824901,Triacetylphloroglucinol
CHEBI:68578,354316,5-Aminonicotinic acid
CHEBI:167482,7940,Glutaric anhydride
CHEBI:140775,7427,alpha-alpha-Trehalose
CHEBI:16551,7427,alpha-alpha-Trehalose
CHEBI:205239,10119161,F13459
CHEBI:167830,5318650,Isorhapontigenin
CHEBI:189117,101395619,methadone-d9
CHEBI:68078,518900,Methyl 4-hydroxyphenylacetate
CHEBI:168804,10688914,hamilcone
CHEBI:42223,3220,"1,3,8-trihydroxy-6-methyl-anthracene-9,10-dione"
CHEBI:172577,101995281,Coriandrone D
CHEBI:185370,131750936,Coriandrone D
CHEBI:185370,131750936,"3-Hydroxy-1-(8-hydroxy-6-methoxy-3-methyl-1-oxo-3,4-dihydro-1H-2-benzopyran-7-yl)-3-methylbutan-2-yl acetate"
CHEBI:72665,10236635,12(13)-DiHOME
CHEBI:61695,6426709,Prolylglycine
CHEBI:165341,5283037,Prostaglandin K2
CHEBI:69908,53387507,Ieodomycin D
CHEBI:207686,21635171,Waraterpol
CHEBI:174146,9920917,Dehydrochorismic acid
CHEBI:213627,71664848,Penicimarin E
CHEBI:86582,5354677,O-acetylferulic acid
CHEBI:194956,80652,3-(2-Methoxyphenyl)propanoic acid
CHEBI:68051,68184,Rotenalone
CHEBI:144178,138756195,9'-Methylprotocetraric acid
CHEBI:71493,25245604,(R)-rosmarinate
CHEBI:204862,11536624,Lachnone C
CHEBI:144224,13387679,Decarboxythamnolic acid
CHEBI:144173,591773,Methyl Haematommate
CHEBI:59488,45480574,Hep-Hep
CHEBI:68433,151023,gamma-Glu-leu
CHEBI:68846,6992567,glutamylvaline
CHEBI:32491,5460955,solatriose
CHEBI:17596,135398641,inosinum
CHEBI:60114,3035534,Trehalose 2-sulfate
CHEBI:149185,71297246,Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)Glc
CHEBI:62171,52921661,alpha-D-ManAc-(1-P-6)-alpha-D-ManAc
CHEBI:73707,150914,gamma-Glutamylglutamine
CHEBI:59493,45480578,beta-D-Glc-(1->4)-[L-alpha-D-Hep-(1->3)]-L-alpha-D-Hep
CHEBI:154635,13938912,Isomaltotetraose
CHEBI:153878,9852757,Isomaltotetraose
CHEBI:231624,25245002,2-methyl-muconate
CHEBI:17057,439178,D-(+)-Cellobiose
CHEBI:23673,865,"2,6-Diaminopimelic Acid"
CHEBI:16634,439242,D-(+)-Raffinose
CHEBI:16634,439242,D-Raffinose
CHEBI:47977,439213,D-(+)-Glucosamine
CHEBI:27248,736715,trans-Urocanic Acid
CHEBI:30817,736715,trans-Urocanic Acid
CHEBI:49033,847,Methionine sulfoxide
CHEBI:82546,11016,Triethylenephosphoramide
