kegg_cid,month,month_mean_int,log_int
C00042,August,34222158.7991736,26.028427434869545
C00042,July_1,13927403.751794249,24.731423010197847
C00042,July_2,17151963.478190064,25.0318704031813
C00042,July_3,13785519.1327116,24.71665026134466
C00042,June,19613045.955411244,25.225310271313216
C00042,May,18882144.286119986,25.170519272941515
C00042,October,29280596.233392417,25.803441595367666
C00042,September,10902680.661496792,24.378179560825604
C00089,August,321662351.95671946,29.260971848885738
C00089,July_1,5346189.8293783115,23.350079634185484
C00089,July_2,10280890.047219718,24.293461832549333
C00089,July_3,5590694.105627696,23.414595979509226
C00089,June,35414097.6073202,26.07782044540845
C00089,May,25662760.76069098,25.61317304592172
C00089,October,29800867.6388315,25.828850998926402
C00089,September,14778967.972622417,24.817042192642553
C00147,August,11122050.252651198,24.40691942499645
C00147,July_1,5439193.3806131715,23.374961288433553
C00147,July_2,4451294.002866172,23.085793361614982
C00147,July_3,3227957.8931041914,22.622190328916986
C00147,June,3820170.8850839874,22.865205744116402
C00147,May,4354635.43400549,23.054120512128108
C00147,October,4370500.412186436,23.05936704375209
C00147,September,3437242.4653996164,22.71282019330431
C00212,August,7976596.503525862,23.927341870296534
C00212,July_1,9417361.2165522445,24.166891436688015
C00212,July_2,10352355.104133783,24.303455674501024
C00212,July_3,7041650.760387846,23.747482246006797
C00212,June,14409637.543192223,24.78053071095142
C00212,May,12823001.756646084,24.612230688454225
C00212,October,12251946.906873198,24.546507684436307
C00212,September,5371721.716272462,23.356953136756545
C00217,August,24210053.73285729,25.52910294553272
C00217,July_1,13126644.791405076,24.645994870512656
C00217,July_2,13912095.440528426,24.729836399259128
C00217,July_3,11458986.430211795,24.44997610474828
C00217,June,18479864.771804173,25.139450863943793
C00217,May,13666081.181789849,24.704096266326815
C00217,October,17769200.804171212,25.082875459715027
C00217,September,7815689.700137997,23.89794175963986
C00294,August,15796405.749112021,24.913092994903757
C00294,July_1,13532882.121472325,24.689965789524013
C00294,July_2,19283921.230801553,25.200895106081568
C00294,July_3,12494532.161003929,24.57479354709789
C00294,June,22866116.4807417,25.446708027349633
C00294,May,21242801.14156803,25.34047068113492
C00294,October,31292419.181987587,25.899309860244625
C00294,September,14427703.09843769,24.782338304147828
C00299,August,46794494.66745764,26.479835472157948
C00299,July_1,30355273.722133055,25.855443846650196
C00299,July_2,41333604.915019095,26.300811858222087
C00299,July_3,29355369.910293713,25.807121100573237
C00299,June,57714606.133654356,26.782433139580387
C00299,May,57642258.11344188,26.780623517858352
C00299,October,64381566.67656726,26.940144348343274
C00299,September,32711371.64489459,25.963288919621164
C00330,August,13702496.825537806,24.707935464668473
C00330,July_1,12456966.534006061,24.570449456557427
C00330,July_2,17466170.02013337,25.05805995313417
C00330,July_3,10456129.350306567,24.31784555780752
C00330,June,12966692.195294112,24.628307159060817
C00330,May,9076137.756138261,24.113647075490587
C00330,October,17426416.32086725,25.054772579189283
C00330,September,9914308.82703887,24.24108076824722
C00387,August,3331097.4214257086,22.66756611707783
C00387,July_1,3147794.4508881993,22.585909906114292
C00387,July_2,4156110.7897857996,22.98680268211881
C00387,July_3,2829196.108003609,22.431960751091438
C00387,June,3426802.515784705,22.708431622077857
C00387,May,3853943.8190150997,22.87790411017966
C00387,October,4543097.270955669,23.115244764180225
C00387,September,2897158.8674667804,22.4662073671608
C00392,August,22555243.36223903,25.426959516467043
C00392,July_1,4313623.190329634,23.040468727003436
C00392,July_2,1589857.3362835464,21.6004658823368
C00392,July_3,8023508.159306699,23.93580174084292
C00392,June,5433576.681975796,23.373470742060462
C00392,May,2672000.1663075173,22.349488666930736
C00392,October,8121498.545576755,23.953314521464105
C00392,September,5941687.358189321,23.50244126425579
C00418,August,2258250.8610975347,22.106774328224635
C00418,July_1,3109193.090188256,22.568108784461483
C00418,July_2,2880922.764700965,22.45809955280828
C00418,July_3,3054093.080690757,22.54231260166349
C00418,June,3886563.7942631515,22.89006376623022
C00418,May,3361061.633343041,22.68048556757949
C00418,October,3303739.6331376336,22.655668562140157
C00418,September,3365431.915926365,22.68236023997789
C00492,August,37365105.76690136,26.155188270257412
C00492,July_1,44394963.44473806,26.40389267805143
C00492,July_2,43522980.81695418,26.375274031980172
C00492,July_3,29091275.66767672,25.794083224970112
C00492,June,85706463.1837011,27.352900667283095
C00492,May,70758722.47868781,27.076404665175186
C00492,October,71758474.28868634,27.096645880561994
C00492,September,38693471.10379814,26.205586819707904
C00645,August,8204658.593592741,23.96801187191408
C00645,July_1,3997171.303421558,22.930547971780076
C00645,July_2,5889913.11838128,23.489814922462276
C00645,July_3,5342498.985255411,23.349083298186414
C00645,June,11063816.607434792,24.399345812061934
C00645,May,12564583.00189227,24.582859455518843
C00645,October,9224745.331918478,24.137077652480976
C00645,September,4465957.861649439,23.090538208062682
C00785,August,3006669.5921517895,22.519734905824563
C00785,July_1,3359327.0045789755,22.67974080696932
C00785,July_2,2848044.1137608867,22.441540061910544
