query,ko,name
Curcumin,cpd:C10443,Curcumin; Kacha haldi
Curcumin,cpd:C17742,Demethoxycurcumin
Curcumin,cpd:C17743,Bisdemethoxycurcumin
Curcumin,cpd:C17749,Curcumin monoglucoside
Curcumin,cpd:C17750,Curcumin diglucoside
Curcumin,cpd:C17826,Hexahydrocurcumin
Acetovanillone,cpd:C11380,Apocynin; Acetovanillone
Hexadecanedioic acid,cpd:C19615,Hexadecanedioate; Hexadecanedioic acid
Umbelliferone,cpd:C03081,4-Methylumbelliferone; Hymecromone
Umbelliferone,cpd:C09315,Umbelliferone; 7-Hydroxycoumarin
Umbelliferone,cpd:C11584,4-Methylumbelliferone glucuronide; 4-Methylumbelliferyl glucuronide
Umbelliferone,cpd:C11585,4-Methylumbelliferone sulfate; 4-Methylumbelliferyl sulfate
Umbelliferone,cpd:C21495,8-Geranylumbelliferone
Ferulic acid,cpd:C01494,Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate
Ferulic acid,cpd:C05619,5-Hydroxyferulic acid; 5-Hydroxyferulate
Ferulic acid,cpd:C10446,Diferulic acid
Ferulic acid,cpd:C10470,Isoferulic acid
Ferulic acid,cpd:C18087,2'-Hydroxyferulic acid
Suberic acid,cpd:C08278,"Suberic acid; Cork acid; 1,8-Octanedioic acid; Octanedioic acid; 1,6-Hexanedicarboxylic acid"
Caffeic acid,cpd:C01197,"Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate"
Caffeic acid,cpd:C01481,"Caffeate; Caffeic acid; 3,4-Dihydroxycinnamic acid"
Caffeic acid,cpd:C10431,Caffeic acid 3-glucoside
Caffeic acid,cpd:C10447,"3,4-Dihydroxyphenylpropanoate; Dihydrocaffeic acid; 3,4-Dihydroxyphenylpropionic acid; 3-(3,4-Dihydroxyphenyl)propanoate"
Caffeic acid,cpd:C10484,Phenethyl caffeate; Caffeic acid phenethyl ester
Caffeic acid,cpd:C16828,Caffeoquinone; Caffeic acid quinone
Caffeic acid,cpd:C18086,2'-Hydroxy caffeic acid
Vanillic acid,cpd:C05582,Homovanillate; Homovanillic acid; 3-Methoxy-4-hydroxyphenylacetate
Vanillic acid,cpd:C05616,"3-O-Methylgallate; 3-O-Methylgallic acid; 5-Hydroxyvanillic acid; 3,4-Dihydroxy-5-methoxybenzoate"
Vanillic acid,cpd:C06672,Vanillate; Vanillic acid; 4-Hydroxy-3-methoxybenzoate; 4-Hydroxy-3-methoxybenzoic acid
Vanillic acid,cpd:C18338,"5-Carboxyvanillic acid; 5-Carboxyvanillate; 4-Hydroxy-5-methoxy-1,3-benzenedicarboxylate; 4-Hydroxy-5-methoxyisophthalate"
Syringic acid,cpd:C10833,"Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether"
Maleic acid,cpd:C00922,"2,3-Dimethylmaleate; Dimethylmaleic acid"
Maleic acid,cpd:C01384,Maleic acid; Maleate; cis-Butenedioic acid
Maleic acid,cpd:C02226,2-Methylmaleate; Citraconate; Citraconic acid; Methylmaleic acid
Maleic acid,cpd:C05126,"Dimethyl citraconate; Citraconic acid dimethyl ester; 2-Butenedioic acid, 2-methyl-, dimethyl ester, (Z)-; Citraconate de dimethyle; Citraconic acid, dimethyl ester; Dimethyl methylmaleate; Methylmaleic acid, dimethyl ester"
Sucrose,cpd:C00089,Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside
Sucrose,cpd:C00492,Raffinose; Melitose; Melitriose; Gossypose; 6G-alpha-D-galactosylsucrose
Sucrose,cpd:C02591,Sucrose 6'-phosphate; Sucrose 6F-phosphate
Sucrose,cpd:C03661,1F-beta-D-Fructosylsucrose; beta-D-Fructofuranosyl-(2->1)-beta-D-fructofuranosyl alpha-D-glucopyranoside; 1-Kestose
Sucrose,cpd:C03848,6F-alpha-D-Galactosylsucrose; Planteose
Sucrose,cpd:C05731,3-Ketosucrose; 3'-Dehydrosucrose; 3-Dehydro-alpha-D-glucosyl-beta-D-fructofuranoside
Sucrose,cpd:C16688,Sucrose 6-phosphate; 6-Phosphosucrose; 6-O-Phosphonosucrose; beta-D-Fructofuranosyl-6-O-phosphono-alpha-D-glucopyranoside
Sucrose,cpd:C19519,"Saccharated iron oxide; Ferric oxide, saccharated; Iron sucrose"
D-Glutamic acid,cpd:C00217,D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid
D-Glutamic acid,cpd:C01682,"Nopaline; D-Nopaline; N2-(D-1,3-Dicarboxypropyl)-L-arginine; N-[(1S)-4-Carbamimidamido-1-carboxybutyl]-D-glutamic acid"
D-Glutamic acid,cpd:C22611,N-Acetyl-D-glutamate; N-Acetyl-D-glutamic acid
3-hydroxybutyric acid,cpd:C00188,L-Threonine; 2-Amino-3-hydroxybutyric acid
3-hydroxybutyric acid,cpd:C00820,D-Threonine; D-2-Amino-3-hydroxybutyric acid
3-hydroxybutyric acid,cpd:C01089,(R)-3-Hydroxybutanoate; (R)-3-Hydroxybutanoic acid; (R)-3-Hydroxybutyric acid; D-beta-Hydroxybutyric acid
2-Methylsuccinic acid,cpd:C02614,(S)-2-Methylmalate; (S)-2-Methylmalic acid; (S)-Citramalate; (S)-Citramalic acid; (S)-alpha-Hydroxypyrotartaric acid; L-Citramalate; L-Citramalic acid; L-alpha-Hydroxypyrotartaric acid; (2S)-2-Hydroxy-2-methylbutanedioate; (S)-2-Hydroxy-2-methylsuccinic acid
Adenine,cpd:C00003,NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+
Adenine,cpd:C00004,NADH; DPNH; Reduced nicotinamide adenine dinucleotide
Adenine,cpd:C00005,NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate
Adenine,cpd:C00006,NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+
Adenine,cpd:C00016,FAD; Flavin adenine dinucleotide
Adenine,cpd:C00147,Adenine; 6-Aminopurine
Adenine,cpd:C00371,Zeatin; N6-(4-Hydroxyisopentenyl)adenine; (E)-2-Methyl-4-(1H-purin-6-ylamino)but-2-en-1-ol; trans-Zeatin
Adenine,cpd:C00821,DNA adenine; Adenine in DNA
Adenine,cpd:C00857,Deamino-NAD+; Deamido-NAD+; Deamido-NAD; Nicotinic acid adenine dinucleotide
Adenine,cpd:C00913,3-Methyladenine
Adenine,cpd:C01804,Discadenine; 3-(3-Amino-3-carboxypropyl)-N6-(Delta2-isopentenyl)-adenine
Adenine,cpd:C02029,Dihydrozeatin; 2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol; N6-(4-Hydroxyisopentanyl)adenine
Adenine,cpd:C02216,1-Methyladenine
Adenine,cpd:C02241,7-Methyladenine
Adenine,cpd:C03391,DNA 6-methylaminopurine; N6-Methyladenine in DNA
Adenine,cpd:C04083,"N6-(Delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine; N6-Prenyladenine"
Adenine,cpd:C04154,rRNA containing N6-methyladenine; rRNA(N6-methyladenine); N6-Methyladenine in rRNA
Adenine,cpd:C04156,tRNA containing N1-methyladenine
Adenine,cpd:C04159,tRNA containing N6-methyladenine
Adenine,cpd:C04378,7-alpha-D-Ribosyladenine 5'-phosphate
Adenine,cpd:C04432,tRNA containing 6-isopentenyladenosine; N6-(3-Methylbut-2-en-1-yl)-adenosine in tRNA; N6-(3-Methylbut-2-en-1-yl)-adenine in tRNA; N6-Dimethylallyladenine in tRNA
