Compound,Kegg,Pathways of compound,InChI-Key,compound,kegg_cid,Common-Name,Engineered?
CPD-10358,C12127,PWY-6029,InChIKey=XMOCLSLCDHWDHP-SWLSCSKDSA-N,Gallocatechin,C12127,"2,3-<i>trans</i>-flavanols biosynthesis",NA
CPD-8191,C09276,PWY-5365,InChIKey=FWYSBEAFFPBAQU-LBPRGKRZSA-N,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one",C09276,linear furanocoumarin biosynthesis,NA
CPD-734,C08491,PWY-735,InChIKey=ZNJFBWYDHIGLCU-HWKXXFMVSA-M,Jasmonic acid,C08491,jasmonic acid biosynthesis,NA
CPD-734,C08491,PWY-6297,InChIKey=ZNJFBWYDHIGLCU-HWKXXFMVSA-M,Jasmonic acid,C08491,tuberonate glucoside biosynthesis,NA
CPD-4122,C16223,PWY-2561,InChIKey=PVEMGMOWXQUWRD-NJAOXFEXSA-N,1-(Carboxymethyl)cyclohexanecarboxylic acid,C16223,medicarpin conjugates interconversion,NA
CPD-61,C03652,PWY-5055,InChIKey=WTIIULQJLZEHGZ-CVYQJGLWSA-L,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C03652,nicotinate degradation III,NA
CPD-61,C03652,PWY-5062,InChIKey=WTIIULQJLZEHGZ-CVYQJGLWSA-L,"(3S)-2-hydroxy-2,3-dimethylbutanedioic acid",C03652,superpathway of nicotinate degradation,NA
CIS-4-HYDROXY-D-PROLINE,C03440,PWY-5159,InChIKey=PMMYEEVYMWASQN-QWWZWVQMSA-N,cis-4-Hydroxy-D-proline,C03440,<i>trans</i>-4-hydroxy-L-proline degradation II,NA
CPD-335,C01089,PWY66-368,InChIKey=WHBMMWSBFZVSSR-GSVOUGTGSA-M,3-hydroxybutyric acid,C01089,ketolysis,NA
CPD-335,C01089,PWY66-367,InChIKey=WHBMMWSBFZVSSR-GSVOUGTGSA-M,3-hydroxybutyric acid,C01089,ketogenesis,NA
MEVALONATE,C00418,PWY-5074,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate degradation,NA
MEVALONATE,C00418,PWY-8125,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway IV (archaea),NA
MEVALONATE,C00418,PWY-7524,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway III (Thermoplasma),NA
MEVALONATE,C00418,PWY-922,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway I (eukaryotes and bacteria),NA
MEVALONATE,C00418,PWY-6146,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism,NA
MEVALONATE,C00418,PWY66-5,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,superpathway of cholesterol biosynthesis,NA
MEVALONATE,C00418,PWY-5910,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),NA
MEVALONATE,C00418,ERGOSTEROL-SYN-PWY,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,superpathway of ergosterol biosynthesis I,NA
MEVALONATE,C00418,PWY-6174,InChIKey=KJTLQQUUPVSXIM-ZCFIWIBFSA-M,Mevalonic acid,C00418,mevalonate pathway II (haloarchaea),NA
S-ALLANTOIN,C02350,PWY-5691,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,urate degradation I (to allantoin),NA
S-ALLANTOIN,C02350,URSIN-PWY,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,ureide biosynthesis,NA
S-ALLANTOIN,C02350,PWY-7849,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,urate degradation III (to allantoin),NA
S-ALLANTOIN,C02350,PWY-7394,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,urate degradation II (to allantoin),NA
S-ALLANTOIN,C02350,PWY-5698,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to ureidoglycolate II (ammonia producing),NA
S-ALLANTOIN,C02350,PWY-5692,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to glyoxylate II,NA
S-ALLANTOIN,C02350,PWY-5705,InChIKey=POJWUDADGALRAB-SFOWXEAESA-N,Allantoin,C02350,allantoin degradation to glyoxylate III,NA
