Pathways,month,path_expr_month,Common-Name,Engineered?
12DICHLORETHDEG-PWY,August,8.681987213125707,"1,2-dichloroethane degradation",NA
12DICHLORETHDEG-PWY,July_1,8.711477103582443,"1,2-dichloroethane degradation",NA
12DICHLORETHDEG-PWY,July_2,10.738240645803335,"1,2-dichloroethane degradation",NA
12DICHLORETHDEG-PWY,July_3,8.354624198444583,"1,2-dichloroethane degradation",NA
12DICHLORETHDEG-PWY,May,19.92714343070367,"1,2-dichloroethane degradation",NA
12DICHLORETHDEG-PWY,May_22,12.275331172169277,"1,2-dichloroethane degradation",NA
12DICHLORETHDEG-PWY,October,13.529954225087073,"1,2-dichloroethane degradation",NA
1CMET2-PWY,August,95.10717593749311,folate transformations III (<i>E. coli</i>),NA
1CMET2-PWY,July_1,170.75348265192557,folate transformations III (<i>E. coli</i>),NA
1CMET2-PWY,July_2,97.49159874402005,folate transformations III (<i>E. coli</i>),NA
1CMET2-PWY,July_3,125.85225490111148,folate transformations III (<i>E. coli</i>),NA
1CMET2-PWY,May,28.8094775174316,folate transformations III (<i>E. coli</i>),NA
1CMET2-PWY,May_22,18.862635416812726,folate transformations III (<i>E. coli</i>),NA
1CMET2-PWY,October,58.697021173909135,folate transformations III (<i>E. coli</i>),NA
2AMINOBENZDEG-PWY,August,15.230621953143578,anthranilate degradation III (anaerobic),NA
2AMINOBENZDEG-PWY,July_1,12.365080241269208,anthranilate degradation III (anaerobic),NA
2AMINOBENZDEG-PWY,July_2,13.338978838872048,anthranilate degradation III (anaerobic),NA
2AMINOBENZDEG-PWY,July_3,11.1083190812761,anthranilate degradation III (anaerobic),NA
2AMINOBENZDEG-PWY,May,3.4945194062449363,anthranilate degradation III (anaerobic),NA
2AMINOBENZDEG-PWY,May_22,3.0496716439113962,anthranilate degradation III (anaerobic),NA
2AMINOBENZDEG-PWY,October,4.112634934083088,anthranilate degradation III (anaerobic),NA
2PHENDEG-PWY,August,115.90548158864662,phenylethylamine degradation I,NA
2PHENDEG-PWY,July_1,105.5066216528426,phenylethylamine degradation I,NA
2PHENDEG-PWY,July_2,119.81444401415006,phenylethylamine degradation I,NA
2PHENDEG-PWY,July_3,128.01812050487294,phenylethylamine degradation I,NA
2PHENDEG-PWY,May,194.81801187684263,phenylethylamine degradation I,NA
2PHENDEG-PWY,May_22,159.86084661996296,phenylethylamine degradation I,NA
2PHENDEG-PWY,October,155.81309562616974,phenylethylamine degradation I,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,August,15.833345470994972,4-hydroxyphenylacetate degradation,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,July_1,8.562852345098136,4-hydroxyphenylacetate degradation,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,July_2,15.038784056194363,4-hydroxyphenylacetate degradation,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,July_3,16.28123513780324,4-hydroxyphenylacetate degradation,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,May,5.815011225802525,4-hydroxyphenylacetate degradation,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,May_22,15.00856334253709,4-hydroxyphenylacetate degradation,NA
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,October,11.388166341130596,4-hydroxyphenylacetate degradation,NA
4AMINOBUTMETAB-PWY,August,197.86732355711797,superpathway of 4-aminobutanoate degradation to succinate,NA
