Reaction,Pathways,n_reaction
6PGLUCONOLACT-RXN,PWY-8004,9
6PGLUCONOLACT-RXN,PENTOSE-P-PWY,8
6PGLUCONOLACT-RXN,PWY-6901,17
6PGLUCONOLACT-RXN,P122-PWY,17
6PGLUCONOLACT-RXN,RUMP-PWY,6
6PGLUCONOLACT-RXN,GLYCOLYSIS-E-D,16
6PGLUCONOLACT-RXN,OXIDATIVEPENT-PWY,3
GLU6PDEHYDROG-RXN,PWY-7245,7
GLU6PDEHYDROG-RXN,PWY-8004,9
GLU6PDEHYDROG-RXN,PENTOSE-P-PWY,8
GLU6PDEHYDROG-RXN,PWY-6901,17
GLU6PDEHYDROG-RXN,P122-PWY,17
GLU6PDEHYDROG-RXN,RUMP-PWY,6
GLU6PDEHYDROG-RXN,PWY-7268,4
GLU6PDEHYDROG-RXN,GLYCOLYSIS-E-D,16
GLU6PDEHYDROG-RXN,OXIDATIVEPENT-PWY,3
TRANSALDOL-RXN,PWY-5723,10
TRANSALDOL-RXN,PWY-1861,9
TRANSALDOL-RXN,PENTOSE-P-PWY,8
TRANSALDOL-RXN,P185-PWY,11
TRANSALDOL-RXN,PWY-6901,17
TRANSALDOL-RXN,P124-PWY,15
TRANSALDOL-RXN,NONOXIPENT-PWY,5
PGLUCISOM-RXN,OANTIGEN-PWY,10
PGLUCISOM-RXN,ANAGLYCOLYSIS-PWY,11
PGLUCISOM-RXN,PWY-6142,15
PGLUCISOM-RXN,GLYCOLYSIS,12
PGLUCISOM-RXN,ANAEROFRUCAT-PWY,12
PGLUCISOM-RXN,PWY-3801,4
PGLUCISOM-RXN,PWY-7385,5
PGLUCISOM-RXN,PWY-6146,46
PGLUCISOM-RXN,PWY-7345,18
PGLUCISOM-RXN,P341-PWY,9
PGLUCISOM-RXN,PWY-7238,7
PGLUCISOM-RXN,PWY-8013,3
PGLUCISOM-RXN,UDPNAGSYN-PWY,5
PGLUCISOM-RXN,PWY-621,4
PGLUCISOM-RXN,PWY-5054,1
PGLUCISOM-RXN,PWY-7323,8
PGLUCISOM-RXN,P124-PWY,15
PGLUCISOM-RXN,COLANSYN-PWY,9
PGLUCISOM-RXN,PWY-6992,4
PGLUCISOM-RXN,P122-PWY,17
PGLUCISOM-RXN,PWY-7332,14
PGLUCISOM-RXN,PWY-622,8
PGLUCISOM-RXN,PWY-6981,7
PGLUCISOM-RXN,RUMP-PWY,6
PGLUCISOM-RXN,GLYCOLYSIS-TCA-GLYOX-BYPASS,21
PGLUCISOM-RXN,PWY-5384,4
PGLUCISOM-RXN,SUCSYN-PWY,8
PGLUCISOM-RXN,GLUCONEO-PWY,13
PGLUCISOM-RXN,PWY66-399,11
PGLUCISOM-RXN,PWY-7347,2
PGLUCISOM-RXN,PWY-5659,4
PGLUCISOM-RXN,GLYCOLYSIS-E-D,16
PGLUCISOM-RXN,UDPNACETYLGALSYN-PWY,5
PGLUCISOM-RXN,PWY-6404,24
PGLUCISOM-RXN,PWY-5514,6
2TRANSKETO-RXN,PWY-5723,10
2TRANSKETO-RXN,PWY-8178,6
2TRANSKETO-RXN,PWY-1861,9
2TRANSKETO-RXN,PENTOSE-P-PWY,8
2TRANSKETO-RXN,PWY-7218,19
2TRANSKETO-RXN,P185-PWY,11
2TRANSKETO-RXN,PWY-6901,17
2TRANSKETO-RXN,PWY-7124,19
2TRANSKETO-RXN,PWY-6886,19
2TRANSKETO-RXN,P21-PWY,3
2TRANSKETO-RXN,CALVIN-PWY,12
2TRANSKETO-RXN,NONOXIPENT-PWY,5
2TRANSKETO-RXN,PHOTOALL-PWY,13
1TRANSKETO-RXN,PWY-5723,10
1TRANSKETO-RXN,PWY-8178,6
1TRANSKETO-RXN,PWY-1861,9
1TRANSKETO-RXN,PENTOSE-P-PWY,8
1TRANSKETO-RXN,PWY-7218,19
1TRANSKETO-RXN,P185-PWY,11
1TRANSKETO-RXN,PWY-6901,17
1TRANSKETO-RXN,P124-PWY,15
1TRANSKETO-RXN,PWY-7124,19
1TRANSKETO-RXN,PWY-6886,19
1TRANSKETO-RXN,P21-PWY,3
1TRANSKETO-RXN,CALVIN-PWY,12
1TRANSKETO-RXN,NONOXIPENT-PWY,5
1TRANSKETO-RXN,PHOTOALL-PWY,13
6PFRUCTPHOS-RXN,ANAGLYCOLYSIS-PWY,11
6PFRUCTPHOS-RXN,GLYCOLYSIS,12
6PFRUCTPHOS-RXN,ANAEROFRUCAT-PWY,12
6PFRUCTPHOS-RXN,PWY-5484,11
6PFRUCTPHOS-RXN,PWY-7385,5
6PFRUCTPHOS-RXN,PWY-1861,9
6PFRUCTPHOS-RXN,HEXITOLDEGSUPER-PWY,16
6PFRUCTPHOS-RXN,P461-PWY,19
6PFRUCTPHOS-RXN,PWY-7345,18
6PFRUCTPHOS-RXN,GLYCOLYSIS-TCA-GLYOX-BYPASS,21
6PFRUCTPHOS-RXN,GLYCOLYSIS-E-D,16
6PFRUCTPHOS-RXN,P441-PWY,21
RXN-21730,PWY-8178,6
2.7.1.90-RXN,PWY-1042,7
2.7.1.90-RXN,PWY-5464,16
CYSTEINE--TRNA-LIGASE-RXN,TRNA-CHARGING-PWY,21
RXN3O-4113,PWY-6802,3
RXN3O-4113,PWY3O-4108,2
ALCOHOL-DEHYDROG-RXN,PWY0-1477,5
ALCOHOL-DEHYDROG-RXN,PWY-6333,1
ALCOHOL-DEHYDROG-RXN,PWY-6604,12
ALCOHOL-DEHYDROG-RXN,PWY-5486,2
ALCOHOL-DEHYDROG-RXN,P461-PWY,19
ALCOHOL-DEHYDROG-RXN,PWY-7345,18
ALCOHOL-DEHYDROG-RXN,P161-PWY,4
ALCOHOL-DEHYDROG-RXN,PWY-5480,3
ALCOHOL-DEHYDROG-RXN,ETOH-ACETYLCOA-ANA-PWY,2
ALCOHOL-DEHYDROG-RXN,P122-PWY,17
ALCOHOL-DEHYDROG-RXN,FERMENTATION-PWY,13
ALCOHOL-DEHYDROG-RXN,PWY-6587,3
ALCOHOL-DEHYDROG-RXN,PWY4LZ-257,8
ALCOHOL-DEHYDROG-RXN,PWY66-21,3
