kegg_cid,month,month_mean_int,log_int
C00064,August,69608938.54352826,27.052769239889255
C00064,July_1,39873952.943353444,26.24894329962159
C00064,July_2,52839742.512167305,26.655120100566823
C00064,July_3,39912826.44219567,26.25034911168397
C00064,June,62130144.58647747,26.888790075870023
C00064,May,68730632.6975895,27.034449904318382
C00064,October,52436533.4521843,26.644068977218737
C00064,September,31595046.654206812,25.913195060349477
C00073,August,12081159.515613316,24.52625559132039
C00073,July_1,10597895.701439867,24.337274498577866
C00073,July_2,10829620.612393444,24.368479366972576
C00073,July_3,10240371.731941435,24.28776475123836
C00073,June,9533130.603584765,24.18451863074096
C00073,May,4469421.5235359315,23.091656685043198
C00073,October,9350473.327247173,24.156607966365986
C00073,September,6668561.678553916,23.66894419385504
C00078,August,31770192.715030614,25.921170505543262
C00078,July_1,26108547.607896827,25.63801886842817
C00078,July_2,26231213.778039627,25.644781230146265
C00078,July_3,25815160.90379196,25.621715254539332
C00078,June,23285059.501906987,25.472901232991916
C00078,May,12701180.3916166,24.598459245145754
C00078,October,22511419.341466974,25.424153685567866
C00078,September,14614634.53334848,24.80091041648118
C00082,August,37700804.77879582,26.16809198446902
C00082,July_1,28656982.10047185,25.77238334994793
C00082,July_2,32683143.95451639,25.9620434343972
C00082,July_3,30551096.170629106,25.8647208089547
C00082,June,27592162.93324247,25.717755217341804
C00082,May,14822028.658067837,24.821239583828103
C00082,October,26961853.673842736,25.684416351908137
C00082,September,21782654.026441526,25.376676408785823
C00089,August,111875198.76494353,27.73731500466635
C00089,July_1,40650929.54837386,26.276785006413352
C00089,July_2,41357615.2680216,26.30164966465676
C00089,July_3,41684908.62408133,26.313021836997155
C00089,June,66113185.42910135,26.978434691710735
C00089,May,77751910.28212442,27.212374785380074
C00089,October,69892445.63426068,27.058633193704075
C00089,September,48687287.04491024,26.537041777143504
C00106,August,6662766.874993921,23.66768998504129
C00106,July_1,6652287.557241345,23.66541910241711
C00106,July_2,8464940.99577676,24.013068581284795
C00106,July_3,5664904.400527802,23.43362017902431
C00106,June,10645950.339300448,24.343801405791215
C00106,May,9576865.56396848,24.191122119309433
C00106,October,11299317.07508039,24.429732243739764
C00106,September,6467927.297404235,23.624872031644745
C00114,August,32217311.660232026,25.941332779104442
C00114,July_1,27575742.08602873,25.71689637466747
C00114,July_2,27100528.2777935,25.69181763890229
C00114,July_3,19874793.427335113,25.244436529745236
C00114,June,34288831.53968038,26.031235406611927
C00114,May,35776040.36732756,26.092490385348256
C00114,October,29065088.692216933,25.792783975176874
C00114,September,25260567.593256045,25.59038372039068
C00120,August,7059490.219748277,23.75113257661739
C00120,July_1,6338981.796766285,23.59581969443245
C00120,July_2,5610212.8360324325,23.419624073075184
C00120,July_3,6530526.1772285905,23.638767806531703
C00120,June,7623693.682726643,23.862058722768097
C00120,May,6324148.151570213,23.59243973446387
C00120,October,4924231.657269504,23.23146720339116
C00120,September,5715715.877802299,23.446502772693997
C00147,August,25442607.03908037,25.600743171691025
C00147,July_1,14645138.82456958,24.80391853312488
C00147,July_2,13066437.581413154,24.63936252422961
C00147,July_3,8907541.481750937,24.08659586622073
C00147,June,10024292.1399158,24.256997029341715
C00147,May,10663101.841016984,24.346123835865008
C00147,October,11182897.446791353,24.41479069770052
C00147,September,10340368.857902182,24.30178431407859
C00148,August,43826297.86091348,26.385293479435454
C00148,July_1,34463895.09057394,26.038582427593624
C00148,July_2,37840938.169973925,26.1734445212924
C00148,July_3,29565632.920024708,25.817417825833193
C00148,June,31283859.652250845,25.898915180618076
