FeatureID,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,dbcan_sub,Substrate,cazy_fam,cazy_sub
DNA-4_bin_14_1_k127_15537935_9,30.558550686741437,-3.6677146593385785,0.4321607641318927,5.6340510386255866e-18,1.4022527029468126e-16,month_July_1_vs_May,GH13_e182,"sucrose, starch, starch",Glycoside Hydrolases,GH13
DNA-4_bin_14_1_k127_17078048_3,48.391184846174674,6.593468402644569,1.265625038144799,1.954396529754073e-8,1.7748033351280228e-7,month_July_1_vs_May,AA7_e0,glucooligosaccharide,Auxiliary Activities,AA7
DNA-4_bin_14_1_k127_20254833_6,14.183450150265118,-5.699852316860128,0.8877465295692301,7.135435473959336e-11,7.991687730834455e-10,month_July_1_vs_May,GT2,-,Glycosyl Transferases,GT2
bco_bin_153_k125_11000158_8,11.128840969492863,3.658416739134226,0.8937270472184736,1.453210622131887e-5,8.773086348425837e-5,month_July_1_vs_May,GH15_e22,trehalose,Glycoside Hydrolases,GH15
DNA-1_bin_54_k127_11727323_9,21.67390799923748,-2.08290229169622,0.3813850388189204,9.644387508895616e-9,5.78663250533737e-8,month_July_1_vs_May,GH65_e15,"exo-polysaccharide, alpha-glucan",Glycoside Hydrolases,GH65
DNA-1_bin_54_k127_22188022_10,22.451048607196395,-5.356261644072874,0.6375195264454935,9.241129478223875e-17,1.130261220798151e-15,month_July_1_vs_May,GH65_e1,-,Glycoside Hydrolases,GH65
DNA-1_bin_54_k127_24042148_15,7.706623225625147,2.5812850663041647,1.1501234640223408,0.00376582517106809,0.00950422543174328,month_July_1_vs_May,GH15_e59,starch,Glycoside Hydrolases,GH15
DNA-1_bin_54_k127_5552435_5,5.825389965542324,3.190800449587677,1.2604959095115011,6.315211565417153e-4,0.00194032645935676,month_July_1_vs_May,GT2,-,Glycosyl Transferases,GT2
bco_bin_115_k125_24871650_6,14.635570637255816,-3.112121590836297,0.5473167291118164,1.736210247890638e-9,1.0541276505050302e-8,month_July_1_vs_May,GH3_e77,-,Glycoside Hydrolases,GH3
DNA-1-22_bin_3_k127_1825_5,23.36709697162113,-6.580406683838279,0.7108594617111389,1.26115438012497e-20,1.8136601085606712e-19,month_July_1_vs_May,GH23_e852,-,Glycoside Hydrolases,GH23
DNA-1-22_bin_3_k127_5399144_13,7.204130309244295,5.163033880086544,2.418164252787933,6.0832985288605454e-5,2.0876774496771415e-4,month_July_1_vs_May,GH15_e59,starch,Glycoside Hydrolases,GH15
bcn_bin_19_k125_31793876_7,3.9778952204228775,3.868623228049052,2.2550519755074903,0.00111110607578759,0.00280059613623175,month_July_1_vs_May,GH15_e59,starch,Glycoside Hydrolases,GH15
bcn_bin_19_k125_60211222_1,39.04640210748869,-4.244686421672304,0.6052525168722549,1.1298689940201219e-13,9.899804519033449e-13,month_July_1_vs_May,AA4_e1,-,Auxiliary Activities,AA4
bcn_bin_97_k125_37597234_3,36.74137756890731,-5.1569096365051506,0.6611279836289672,3.9310624325474087e-16,5.713144068635568e-15,month_July_1_vs_May,GT9_e77,-,Glycosyl Transferases,GT9
bcn_bin_97_k125_46318269_4,40.096782096740235,-4.127267894795528,0.3367462296404388,1.1600006324751282e-35,3.1610017234947243e-34,month_July_1_vs_May,AA4_e1,-,Auxiliary Activities,AA4
bcn_bin_97_k125_51500926_3,17.309016513757868,-3.277872257080695,0.4563378782082389,3.761150323123464e-14,4.4320582185995424e-13,month_July_1_vs_May,GH13_e0,"sucrose, starch",Glycoside Hydrolases,GH13
bco_bin_55_1_k125_11719234_1,8.99769558684116,-2.0055877029817193,0.5105801092111956,1.0817137776180564e-5,6.178602424699747e-5,month_July_1_vs_May,GH13_e48,"sucrose, starch, starch",Glycoside Hydrolases,GH13
bco_bin_55_1_k125_17687456_3,42.14205478517239,-5.861034954999649,0.9553200990807056,1.1601394226444252e-10,1.1170485298033463e-9,month_July_1_vs_May,GT4_e1685,-,Glycosyl Transferases,GT4
DNA-6_bin_44_1_k127_23392908_1,33.29755395178113,2.4142076092775637,0.6636535777815238,6.494442024980356e-5,2.113877208130861e-4,month_July_1_vs_May,GT2,-,Glycosyl Transferases,GT2
DNA-6_bin_44_1_k127_276472_3,9.51263713070783,-2.0858942415483734,0.4528714721220214,7.185036567269651e-7,3.2235569463966543e-6,month_July_1_vs_May,GH3_e77,-,Glycoside Hydrolases,GH3
bco_bin_79_k125_64664911_1,11.680974815768849,3.1889265363917336,0.9616273959293968,3.443561711208537e-4,9.838747746310106e-4,month_July_1_vs_May,GT2,-,Glycosyl Transferases,GT2
