Geneid,dbcan_sub,Substrate,sampleid,geTMM,cazy_fam,cazy_sub,ko_id,fasta,name,pathway,reaction,brite,db_links
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP1-S1,2.423167161464289,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP1-S1-22,0.7366650986796354,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP1-S2,3.232045132811049,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP1-S2-22,0.8388452248513186,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP1-S3-22,1.0238205982664828,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP1-S4-22,1.5657983301263094,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP3-S2,0.24855836021236155,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP3-S3,0.7668324286977507,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP3-S4,1.1261414049596143,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
DNA-1-22_bin_2_k127_10715854_8,GT4_e255,-,SAMP4-S3,0.24449910395974775,Glycosyl Transferases,GT4,K16703,DNA-1-22_bin_2,colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK [EC:2.4.-.-],Exopolysaccharide biosynthesis,NA,"KEGG Orthology (KO) [BR:ko00001]; 09100 Metabolism;  09107 Glycan biosynthesis and metabolism;   00543 Exopolysaccharide biosynthesis;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK; 09180 Brite Hierarchies;  09181 Protein families: metabolism;   01003 Glycosyltransferases;    K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK;Glycosyltransferases [BR:ko01003]; Others;  Other glycosyltransferases;   K16703  wcaL, amsK, cpsK; colanic acid/amylovoran/stewartan biosynthesis glycosyltransferase WcaL/AmsK/CpsK",COG: COG0438;CAZy: GT4
