...1,ko_id,fasta
DNA-1-22_bin_14_k127_100282_2,K01055,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_100282_3,K05366,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10045576_2,K01142,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10045576_4,K00335,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_100491_2,K02601,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_100491_6,K02519,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10078743_1,K02654,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10078743_3,K02341,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10078743_4,K01874,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10121054_1,K09703,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10139689_4,K09022,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10172701_4,K02016,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10217749_2,K02518,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10237993_2,K02481,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10329939_1,K01883,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10329939_2,K01895,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10353401_2,K05794,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10353401_3,K03717,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10377761_2,K01474,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10377761_3,K01474,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10382672_2,K08223,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10382672_6,K10106,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10382672_7,K01426,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10396422_2,K15866,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10396422_3,K07305,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10414869_2,K03060,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10414869_6,K02533,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10414869_8,K07096,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10414869_9,K16167,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10568429_1,K00549,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10568429_2,K00450,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10568429_3,K00297,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10568429_5,K07068,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10568429_6,K00249,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10660409_1,K02687,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10660409_2,K09761,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10660409_3,K01920,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10660409_4,K00320,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10690677_4,K03787,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10690677_5,K00573,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_10690677_6,K04487,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11293406_2,K19997,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11293406_4,K01464,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11293406_6,K22373,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11300819_2,K01858,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11300819_5,K13038,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11374238_3,K13995,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11374238_9,K01754,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11792700_2,K12234,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11792700_3,K14941,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11792700_4,K11212,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11871462_2,K01424,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11871462_3,K18911,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11871462_4,K18802,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11930112_3,K07184,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11930112_4,K00320,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11930112_5,K01027,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_11930112_9,K01095,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12132917_2,K04771,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12144148_5,K23541,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12190240_2,K18904,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12190240_4,K09857,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_1223406_3,K18890,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12324318_2,K03736,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12324318_3,K03735,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12338279_1,K07494,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12338279_2,K06041,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12338279_3,K03702,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12366675_2,K11473,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12380892_4,K07497,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12412463_3,K02342,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12485458_2,K01953,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12485458_3,K08678,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12542769_1,K07068,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12588994_1,K03752,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12588994_2,K00335,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12630720_1,K02453,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12630720_2,K02452,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12630720_3,K04567,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12728573_2,K03703,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12728573_3,K01841,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_2,K00640,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_3,K01649,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_4,K00928,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_5,K06925,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_6,K23997,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_7,K03431,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12815868_9,K18672,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12817897_3,K03734,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12976783_2,K23464,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12976783_3,K00451,DNA-1-22_bin_14
DNA-1-22_bin_14_k127_12983828_2,K00793,DNA-1-22_bin_14
